trade_date,vt_symbol,reference_date,window,ma5,minute_bar_count,missing_reason
2026-01-08,688005.SSE,2026-01-07,14:30-14:57,35.17,0,no_tail_window_minute_bars
2026-01-08,688150.SSE,2026-01-07,14:30-14:57,27.378000000000004,0,no_tail_window_minute_bars
2026-01-08,688158.SSE,2026-01-07,14:30-14:57,29.322000000000003,0,no_tail_window_minute_bars
2026-01-08,688261.SSE,2026-01-07,14:30-14:57,90.47,0,no_tail_window_minute_bars
2026-01-08,688295.SSE,2026-01-07,14:30-14:57,32.626,0,no_tail_window_minute_bars
2026-01-08,688387.SSE,2026-01-07,14:30-14:57,12.516,0,no_tail_window_minute_bars
2026-01-08,688433.SSE,2026-01-07,14:30-14:57,72.33200000000001,0,no_tail_window_minute_bars
2026-01-08,688568.SSE,2026-01-07,14:30-14:57,58.376,0,no_tail_window_minute_bars
2026-01-09,600118.SSE,2026-01-08,14:30-14:57,100.728,0,no_tail_window_minute_bars
2026-01-09,600343.SSE,2026-01-08,14:30-14:57,46.528,0,no_tail_window_minute_bars
2026-01-09,688072.SSE,2026-01-08,14:30-14:57,356.794,0,no_tail_window_minute_bars
2026-01-09,688150.SSE,2026-01-08,14:30-14:57,27.354000000000003,0,no_tail_window_minute_bars
2026-01-09,688239.SSE,2026-01-08,14:30-14:57,68.104,0,no_tail_window_minute_bars
2026-01-09,688376.SSE,2026-01-08,14:30-14:57,61.19,0,no_tail_window_minute_bars
2026-01-09,688379.SSE,2026-01-08,14:30-14:57,56.605999999999995,0,no_tail_window_minute_bars
2026-01-09,688568.SSE,2026-01-08,14:30-14:57,59.952,0,no_tail_window_minute_bars
2026-01-12,600343.SSE,2026-01-09,14:30-14:57,46.013999999999996,0,no_tail_window_minute_bars
2026-01-12,688172.SSE,2026-01-09,14:30-14:57,35.126,0,no_tail_window_minute_bars
2026-01-12,688295.SSE,2026-01-09,14:30-14:57,32.666,0,no_tail_window_minute_bars
2026-01-12,688323.SSE,2026-01-09,14:30-14:57,23.518,0,no_tail_window_minute_bars
2026-01-12,688390.SSE,2026-01-09,14:30-14:57,71.658,0,no_tail_window_minute_bars
2026-01-12,688433.SSE,2026-01-09,14:30-14:57,76.75,0,no_tail_window_minute_bars
2026-01-12,688456.SSE,2026-01-09,14:30-14:57,68.824,0,no_tail_window_minute_bars
2026-01-12,688627.SSE,2026-01-09,14:30-14:57,237.93,0,no_tail_window_minute_bars
2026-01-13,688017.SSE,2026-01-12,14:30-14:57,195.076,0,no_tail_window_minute_bars
2026-01-13,688037.SSE,2026-01-12,14:30-14:57,191.56,0,no_tail_window_minute_bars
2026-01-13,688090.SSE,2026-01-12,14:30-14:57,49.23,0,no_tail_window_minute_bars
2026-01-13,688150.SSE,2026-01-12,14:30-14:57,27.79,0,no_tail_window_minute_bars
2026-01-13,688361.SSE,2026-01-12,14:30-14:57,180.392,0,no_tail_window_minute_bars
2026-01-13,688498.SSE,2026-01-12,14:30-14:57,704.14,0,no_tail_window_minute_bars
2026-01-13,688629.SSE,2026-01-12,14:30-14:57,106.388,0,no_tail_window_minute_bars
2026-01-13,688720.SSE,2026-01-12,14:30-14:57,74.64000000000001,0,no_tail_window_minute_bars
2026-01-14,000592.SZSE,2026-01-13,14:30-14:57,15.347999999999999,0,no_tail_window_minute_bars
2026-01-14,688002.SSE,2026-01-13,14:30-14:57,106.328,0,no_tail_window_minute_bars
2026-01-14,688102.SSE,2026-01-13,14:30-14:57,47.884,0,no_tail_window_minute_bars
2026-01-14,688143.SSE,2026-01-13,14:30-14:57,56.82000000000001,0,no_tail_window_minute_bars
2026-01-14,688158.SSE,2026-01-13,14:30-14:57,30.354000000000003,0,no_tail_window_minute_bars
2026-01-14,688353.SSE,2026-01-13,14:30-14:57,110.64200000000001,0,no_tail_window_minute_bars
2026-01-14,688361.SSE,2026-01-13,14:30-14:57,181.368,0,no_tail_window_minute_bars
2026-01-14,688385.SSE,2026-01-13,14:30-14:57,88.812,0,no_tail_window_minute_bars
2026-01-15,000592.SZSE,2026-01-14,14:30-14:57,15.319999999999999,0,no_tail_window_minute_bars
2026-01-15,002792.SZSE,2026-01-14,14:30-14:57,63.577999999999996,0,no_tail_window_minute_bars
2026-01-15,688019.SSE,2026-01-14,14:30-14:57,267.844,0,no_tail_window_minute_bars
2026-01-15,688090.SSE,2026-01-14,14:30-14:57,49.076,0,no_tail_window_minute_bars
2026-01-15,688158.SSE,2026-01-14,14:30-14:57,30.582,0,no_tail_window_minute_bars
2026-01-15,688333.SSE,2026-01-14,14:30-14:57,123.02000000000001,0,no_tail_window_minute_bars
2026-01-15,688361.SSE,2026-01-14,14:30-14:57,181.644,0,no_tail_window_minute_bars
2026-01-15,688498.SSE,2026-01-14,14:30-14:57,709.332,0,no_tail_window_minute_bars
2026-01-16,002195.SZSE,2026-01-15,14:30-14:57,11.758,0,no_tail_window_minute_bars
2026-01-16,002759.SZSE,2026-01-15,14:30-14:57,44.882,0,no_tail_window_minute_bars
2026-01-16,688017.SSE,2026-01-15,14:30-14:57,199.914,0,no_tail_window_minute_bars
2026-01-16,688027.SSE,2026-01-15,14:30-14:57,622.324,0,no_tail_window_minute_bars
2026-01-16,688172.SSE,2026-01-15,14:30-14:57,33.7,0,no_tail_window_minute_bars
2026-01-16,688261.SSE,2026-01-15,14:30-14:57,94.856,0,no_tail_window_minute_bars
2026-01-16,688353.SSE,2026-01-15,14:30-14:57,107.694,0,no_tail_window_minute_bars
2026-01-16,688390.SSE,2026-01-15,14:30-14:57,72.164,0,no_tail_window_minute_bars
2026-01-19,300456.SZSE,2026-01-16,14:30-14:57,60.355999999999995,0,no_tail_window_minute_bars
2026-01-19,688261.SSE,2026-01-16,14:30-14:57,97.13,0,no_tail_window_minute_bars
