vt_symbol,name,date,ym,组,出手,通道,位置,夹层,曾收顶上,res,D1开%,D1收%,板留%,距顶%,坑深%,弹回%,坑宽,ma_st,上波高,昨幅%,昨上影%,昨涨停家,is_wv,v3grp,is_lim,n1_lim,prev_lim
000520.SZSE,凤凰航运,2024-05-09,2024-05,2板补涨阴,True,U坑,U坑内,,False,封D1正,2.87,1.08,1.08,-17.8,-21.04,4.1,11,--+,2,-0.39,2.35,37.0,False,,True,False,False
000520.SZSE,凤凰航运,2024-05-20,2024-05,2板补涨阴,False,,U坑内,,False,封D1负,-1.63,-1.31,-1.31,-10.03,-21.04,13.93,18,+++,2,-2.8,3.15,61.0,False,,True,False,False
000520.SZSE,凤凰航运,2026-06-15,2026-06,2板补涨阴,False,,U坑内,,True,封D1正,-3.94,0.22,0.22,-9.78,-9.78,0.0,6,++-,2,-0.95,2.86,83.0,False,,True,False,False
000522.SZSE,白云山A,2012-05-16,2012-05,2板补涨阴,False,,U坑内,,False,封D1负,-5.46,-5.01,-5.01,-8.91,-8.91,0.0,2,+++,2,-8.91,0.0,0.0,False,,True,False,False
000523.SZSE,红棉股份,2025-12-26,2025-12,2板补涨阴,False,,U坑内,,False,封D1负,2.96,-3.46,-3.46,-10.24,-10.24,0.0,4,+++,2,-2.65,0.53,72.0,False,,True,False,False
000526.SZSE,学大教育,2023-06-14,2023-06,2板补涨阴,False,,U突破,,True,封D1负,-2.49,-6.53,-6.53,-1.05,-7.48,6.95,12,+++,2,-2.57,1.5,35.0,False,,True,False,False
000530.SZSE,冰山冷热,2024-11-25,2024-11,2板补涨阴,False,,U坑内,,True,炸板,-3.2,-3.73,-3.73,-10.96,-12.0,1.19,12,-++,2,-4.3,1.12,60.0,False,,False,False,False
000530.SZSE,冰山冷热,2025-12-05,2025-12,2板补涨阴,False,,无U,,True,炸板,-7.06,-6.2,-6.2,-1.48,-1.48,0.0,3,+--,2,-4.68,1.95,30.0,False,,False,False,False
000530.SZSE,冰山冷热,2025-12-17,2025-12,2板补涨阴,False,,无U,,True,炸板,-8.1,-9.31,-9.31,0.94,-1.48,2.45,11,++-,2,-4.93,3.54,38.0,False,,False,False,False
000530.SZSE,冰山冷热,2025-12-30,2025-12,2板补涨阴,False,,U坑内,,True,封D1负,0.13,-2.66,-2.66,-8.19,-8.19,0.0,20,--+,2,-4.2,0.28,64.0,False,,True,False,False
000533.SZSE,顺钠股份,2025-11-13,2025-11,2板补涨阴,False,,无U,,False,封D1负,-1.06,-10.03,-10.03,8.02,3.55,4.31,5,+++,2,-4.84,3.83,48.0,False,,True,False,False
000534.SZSE,万泽股份,2025-08-08,2025-08,2板补涨阴,False,,U坑内,,False,封D1负,0.0,-0.87,-0.87,-9.42,-9.42,0.0,4,+++,2,-2.97,3.28,47.0,False,,True,False,False
000534.SZSE,万泽股份,2026-04-01,2026-04,2板补涨阴,False,,U坑内,,True,封D1负,1.8,-1.56,-1.56,-21.87,-21.87,0.0,17,--+,2,-1.45,0.44,44.0,False,,True,False,False
000539.SZSE,粤电力Ａ,2026-04-23,2026-04,2板补涨阴,False,,U坑内,,True,炸板,-5.96,-9.02,-9.02,-12.2,-28.42,22.66,20,+-+,2,2.5,1.72,49.0,False,,False,False,False
000545.SZSE,金浦钛业,2026-02-27,2026-02,2板补涨阴,False,,无U,,False,炸板,-1.63,-5.69,-5.69,-2.05,-2.05,0.0,2,++-,2,-2.05,2.34,52.0,False,,False,False,False
000545.SZSE,金浦钛业,2026-03-06,2026-03,2板补涨阴,False,,无U,,True,封D1负,0.27,-3.47,-3.47,-0.29,-2.05,1.79,7,+++,2,0.29,1.18,55.0,False,,True,False,False
000545.SZSE,金浦钛业,2026-03-11,2026-03,2板补涨阴,False,,无U,,False,封D1正,8.62,2.87,2.87,1.75,-2.05,3.88,10,+++,2,-3.87,0.28,49.0,False,,True,False,False
000550.SZSE,江铃汽车,2023-07-25,2023-07,2板补涨阴,False,,U坑内,,True,封D1正,2.56,3.58,3.58,-7.46,-7.46,0.0,5,+++,2,-3.5,0.84,19.0,False,,True,False,False
000550.SZSE,江铃汽车,2023-11-17,2023-11,2板补涨阴,False,,无U,,True,封D1负,-1.54,-6.68,-6.68,4.06,4.06,0.0,2,+++,2,4.06,3.2,25.0,False,,True,False,False
000551.SZSE,创元科技,2024-10-18,2024-10,2板补涨阴,False,,无U,,True,封D1正,1.91,2.42,2.42,7.93,3.66,4.12,8,+++,2,-0.96,2.72,41.0,False,,True,False,False
000554.SZSE,泰山石油,2025-06-23,2025-06,2板补涨阴,False,,U坑内,,True,封D1负,-10.04,-10.04,-10.04,-4.45,-4.45,0.0,5,+++,2,-7.73,2.21,36.0,False,,True,False,False
000555.SZSE,神州信息,2024-10-29,2024-10,2板补涨阴,True,U坑,U坑内,,False,封D1负,1.85,-4.0,-4.0,-5.14,-15.09,11.72,15,+++,2,-0.34,0.42,179.0,False,,True,False,False
000555.SZSE,神州信息,2025-11-03,2025-11,2板补涨阴,False,,无U,,True,封D1正,-4.12,5.04,5.04,2.99,2.99,0.0,2,+++,2,2.99,1.3,47.0,False,,True,False,False
000559.SZSE,万向钱潮,2025-10-31,2025-10,2板补涨阴,False,,U坑内,,True,封D1负,9.88,-0.8,-0.8,-12.1,-16.33,5.06,18,+-+,2,-5.7,0.0,42.0,False,,True,False,False
