vt_symbol,name,date,ym,组,出手,通道,位置,夹层,曾收顶上,res,D1开%,D1收%,板留%,距顶%,坑深%,弹回%,坑宽,ma_st,上波高,昨幅%,昨上影%,昨涨停家,is_wv,v3grp,is_lim,n1_lim,prev_lim
600425.SSE,青松建化,2025-08-22,2025-08,2板补涨阴,True,U坑,U坑内,,False,封D1正,1.05,3.8,3.8,-11.13,-11.75,0.7,9,-++,2,-1.15,0.46,37.0,False,,True,False,False
600435.SSE,北方导航,2025-06-30,2025-06,2板补涨阴,False,,无U,,False,封D1负,0.0,-3.78,-3.78,-0.84,-0.84,0.0,2,+++,2,-0.84,3.08,42.0,False,,True,False,False
600435.SSE,北方导航,2025-07-24,2025-07,2板补涨阴,False,,无U,,False,炸板,-3.44,-4.18,-4.18,3.43,-1.96,5.5,20,+++,2,-4.89,0.0,43.0,False,,False,False,False
600470.SSE,六国化工,2026-03-06,2026-03,2板补涨阴,False,,无U,,True,封D1正,4.54,3.35,3.35,-2.93,-3.19,0.26,7,+++,2,-3.91,0.25,55.0,False,,True,False,False
600470.SSE,六国化工,2026-07-01,2026-07,2板补涨阴,False,,U坑内,,False,封D1正,0.0,0.31,0.31,-10.77,-10.77,0.0,6,+++,2,-2.36,1.35,114.0,False,,True,False,False
600470.SSE,六国化工,2026-07-06,2026-07,2板补涨阴,False,,U坑内,,True,封D1正,-0.45,3.14,3.14,-6.46,-10.77,4.83,9,-++,2,-5.0,0.94,92.0,False,,True,False,False
600481.SSE,双良节能,2026-02-12,2026-02,2板补涨阴,False,,U坑内,,True,封D1负,-2.8,-9.99,-9.99,-12.33,-12.33,0.0,6,+++,2,-6.17,0.77,46.0,False,,True,False,False
600481.SSE,双良节能,2026-02-27,2026-02,2板补涨阴,False,,U坑内,,False,炸板,-11.91,-11.91,-11.91,-21.69,-21.69,0.0,11,-++,2,-3.01,0.33,52.0,False,,False,False,False
600488.SSE,津药药业,2026-06-08,2026-06,2板补涨阴,False,,U坑内,,True,封D1负,0.0,-4.57,-4.57,-28.79,-30.58,2.58,19,+--,2,-5.31,2.56,63.0,False,,True,False,False
600490.SSE,鹏欣资源,2025-01-16,2025-01,2板补涨阴,False,,U坑内,,True,封D1正,0.89,0.0,0.0,-19.47,-22.37,3.73,18,--+,2,-1.29,0.32,54.0,False,,True,False,False
600498.SSE,烽火通信,2026-01-14,2026-01,2板补涨阴,False,,无U,,True,炸板,-11.65,-11.65,-11.65,25.59,-0.03,25.62,7,+++,2,3.5,0.0,52.0,False,,False,False,False
600503.SSE,华丽家族,2025-09-16,2025-09,2板补涨阴,False,,U突破,,True,炸板,-6.52,-5.26,-5.26,1.11,-16.99,21.81,19,+++,2,-2.42,1.08,56.0,False,,False,False,False
600503.SSE,华丽家族,2026-06-01,2026-06,2板补涨阴,False,,U坑内,,False,封D1负,1.03,-2.4,-2.4,-7.34,-7.34,0.0,5,+++,2,-1.85,3.33,46.0,False,,True,False,False
600505.SSE,西昌电力,2025-05-20,2025-05,2板补涨阴,False,,U坑内,,True,封D1正,0.0,3.12,3.12,-20.43,-20.43,0.0,14,--+,2,-1.88,0.71,66.0,False,,True,False,False
600509.SSE,天富能源,2024-10-31,2024-10,2板补涨阴,False,,无U,,True,炸板,-5.79,-11.58,-11.58,-3.53,-3.53,0.0,3,+++,2,-5.38,3.59,118.0,False,,False,False,False
600513.SSE,联环药业,2025-07-10,2025-07,2板补涨阴,False,,U坑内,,False,连板,4.85,9.99,8.88,-5.35,-5.35,0.0,2,+++,2,-5.35,0.0,40.0,True,03,True,True,False
600513.SSE,联环药业,2026-07-30,2026-07,2板补涨阴,True,U坑,U坑内,,False,封D1正,-4.47,3.34,3.34,-10.56,-11.62,1.2,13,--+,2,-3.73,0.0,73.0,False,,True,False,False
600516.SSE,方大炭素,2025-11-11,2025-11,2板补涨阴,False,,无U,,True,封D1负,0.89,-5.06,-5.06,-2.24,-3.68,1.5,9,+++,2,-4.68,1.72,56.0,False,,True,False,False
600516.SSE,方大炭素,2025-11-25,2025-11,2板补涨阴,False,,U坑内,,True,封D1负,0.61,-1.54,-1.54,-5.28,-5.28,0.0,19,-++,2,-2.95,0.82,56.0,False,,True,False,False
600520.SSE,三佳科技,2026-06-15,2026-06,2板补涨阴,False,,U坑内,,False,封D1正,0.0,2.23,2.23,-26.97,-26.97,0.0,14,--+,2,-6.53,1.18,83.0,False,,True,False,False
600527.SSE,江南高纤,2024-11-26,2024-11,2板补涨阴,False,,U坑内,,True,封D1负,5.05,-2.75,-2.75,-7.04,-9.86,3.12,18,+-+,2,0.0,1.01,132.0,False,,True,False,False
600527.SSE,江南高纤,2024-11-28,2024-11,2板补涨阴,False,,U突破,,False,封D1负,0.86,-1.29,-1.29,-0.47,-9.86,10.42,20,+-+,2,-2.75,0.0,77.0,False,,True,False,False
600527.SSE,江南高纤,2026-04-13,2026-04,2板补涨阴,False,,U突破,,True,封D1负,1.07,-2.14,-2.14,0.39,-10.63,12.33,12,-++,2,-2.3,0.77,53.0,False,,True,False,False
600536.SSE,中国软件,2024-11-01,2024-11,2板补涨阴,False,,U突破,,True,炸板,-8.11,-8.15,-8.15,-1.3,-13.97,14.73,18,+++,2,-1.34,0.72,141.0,False,,False,False,False
600536.SSE,中国软件,2024-11-05,2024-11,2板补涨阴,False,,U突破,,True,封D1正,2.83,7.38,7.38,-0.28,-13.97,15.91,20,+++,2,-2.19,2.36,122.0,False,,True,False,False
600539.SSE,狮头股份,2026-03-27,2026-03,2板补涨阴,False,,无U,,True,连板,0.0,9.99,3.24,0.08,0.08,0.0,2,-++,2,0.08,2.94,36.0,True,01,True,True,False
600539.SSE,狮头股份,2026-04-14,2026-04,2板补涨阴,True,U坑,U坑内,,False,封D1正,2.82,0.06,0.06,-7.23,-10.43,3.57,10,-++,2,-1.96,1.83,52.0,False,,True,False,False
600539.SSE,狮头股份,2026-06-01,2026-06,2板补涨阴,False,,U坑内,,False,封D1负,-0.12,-4.87,-4.87,-10.89,-10.89,0.0,5,+-+,2,-6.61,0.19,46.0,False,,True,False,False
600539.SSE,狮头股份,2026-06-08,2026-06,2板补涨阴,False,,U坑内,,False,封D1正,5.0,2.08,2.08,-14.32,-14.32,0.0,10,---,2,-5.08,2.71,63.0,False,,True,False,False
600539.SSE,狮头股份,2026-06-12,2026-06,2板补涨阴,False,,U坑内,,True,封D1负,3.37,-0.24,-0.24,-9.12,-14.32,6.07,14,---,2,-0.13,3.09,55.0,False,,True,False,False
600545.SSE,卓郎智能,2024-02-21,2024-02,2板补涨阴,False,,无U,,True,封D1负,1.91,-0.48,-0.48,0.53,0.53,0.0,2,---,2,0.53,1.06,80.0,False,,True,False,False
600545.SSE,卓郎智能,2026-03-04,2026-03,2板补涨阴,False,,U坑内,,True,连板,9.91,9.91,13.41,-4.88,-10.06,5.76,8,+++,2,-6.87,0.3,67.0,True,05,True,True,False
600545.SSE,卓郎智能,2026-06-18,2026-06,2板补涨阴,False,,无U,,True,封D1正,-1.52,1.24,1.24,0.15,0.15,0.0,2,--+,2,0.15,3.95,67.0,False,,True,False,False
600545.SSE,卓郎智能,2026-06-30,2026-06,2板补涨阴,False,,无U,,True,炸板,-7.04,-12.01,-12.01,13.83,-3.8,18.33,9,++-,2,5.49,0.0,89.0,False,,False,False,False
600550.SSE,保变电气,2025-05-26,2025-05,2板补涨阴,False,,U坑内,,True,封D1正,1.7,3.29,3.29,-8.93,-8.93,0.0,4,+++,2,-4.46,3.68,34.0,False,,True,False,False
600550.SSE,保变电气,2025-11-12,2025-11,2板补涨阴,False,,无U,,True,炸板,-7.82,-0.08,-0.08,3.49,1.28,2.17,4,+++,2,-4.41,2.46,52.0,False,,False,False,False
600551.SSE,时代出版,2025-06-05,2025-06,2板补涨阴,False,,U坑内,,False,封D1负,-3.37,-6.08,-6.08,-14.33,-14.33,0.0,3,+++,2,-6.79,1.45,60.0,False,,True,False,False
600553.SSE,太行水泥,2008-05-19,2008-05,2板补涨阴,False,,U坑内,,False,连板,5.11,9.94,9.67,-5.46,-5.46,0.0,2,++-,2,-5.46,0.0,0.0,True,01,True,True,False
600553.SSE,太行水泥,2009-02-11,2009-02,2板补涨阴,False,,无U,,True,封D1正,7.32,1.2,1.2,5.89,-3.26,9.46,13,+++,2,-1.01,0.0,0.0,False,,True,False,False
600556.SSE,天下秀,2026-01-14,2026-01,2板补涨阴,False,,无U,,False,封D1负,-3.54,-9.97,-9.97,-1.4,-1.4,0.0,2,+++,2,-1.4,1.74,52.0,False,,True,False,False
600563.SSE,法拉电子,2026-05-22,2026-05,2板补涨阴,False,,无U,,False,封D1负,1.03,-1.02,-1.02,-2.46,-2.46,0.0,2,+++,2,-2.46,2.26,32.0,False,,True,False,False
600563.SSE,法拉电子,2026-06-15,2026-06,2板补涨阴,False,,U坑内,,True,封D1正,2.35,6.99,6.99,-11.92,-11.92,0.0,18,--+,2,-4.83,0.74,83.0,False,,True,False,False
600571.SSE,信雅达,2024-10-23,2024-10,2板补涨阴,True,U坑,U坑内,,False,封D1负,0.38,-4.77,-4.77,-6.09,-11.25,5.81,11,+++,2,-4.98,0.0,85.0,False,,True,False,False
600571.SSE,信雅达,2025-07-09,2025-07,2板补涨阴,False,,无U,,False,封D1负,-3.17,-0.41,-0.41,-2.94,-2.94,0.0,2,+++,2,-2.94,1.72,57.0,False,,True,False,False
600576.SSE,祥源文旅,2024-08-28,2024-08,2板补涨阴,False,,U坑内,,True,封D1负,-1.76,-1.32,-1.32,-14.67,-14.67,0.0,16,-++,2,-3.5,1.4,23.0,False,,True,False,False
600577.SSE,精达股份,2024-03-28,2024-03,2板补涨阴,False,,无U,,True,炸板,-3.0,-3.0,-3.0,-3.77,-3.77,0.0,3,+++,2,-8.66,2.82,39.0,False,,False,False,False
600579.SSE,中化装备,2025-02-10,2025-02,2板补涨阴,False,,U坑内,,True,封D1正,1.41,1.51,1.51,-17.47,-18.94,1.82,7,---,2,-0.71,2.48,63.0,False,,True,False,False
600584.SSE,长电科技,2024-10-18,2024-10,2板补涨阴,False,,U坑内,,True,炸板,0.74,-1.84,-1.84,-4.79,-5.94,1.23,8,+++,2,-0.48,0.73,41.0,False,,False,False,False
600584.SSE,长电科技,2026-06-03,2026-06,2板补涨阴,False,,U坑内,,False,炸板,-4.69,-3.39,-3.39,-14.56,-14.56,0.0,6,+++,2,-0.4,0.9,56.0,False,,False,False,False
600584.SSE,长电科技,2026-06-24,2026-06,2板补涨阴,False,,U突破,,False,连板,5.6,10.0,6.54,-2.38,-21.85,24.91,20,+-+,2,-5.74,0.0,87.0,True,02,True,True,False
600584.SSE,长电科技,2026-07-09,2026-07,2板补涨阴,False,,U坑内,,True,封D1负,5.18,-2.33,-2.33,-9.66,-12.76,3.55,10,-++,2,-6.81,1.76,41.0,False,,True,False,False
600589.SSE,大位科技,2025-03-28,2025-03,2板补涨阴,False,,U坑内,,True,连板,-4.42,9.99,3.0,-25.58,-25.58,0.0,13,-++,2,-7.95,0.87,41.0,True,05,True,True,False
600589.SSE,大位科技,2025-04-28,2025-04,2板补涨阴,False,,U坑内,,True,封D1正,1.43,5.71,5.71,-17.51,-24.38,9.09,19,+--,2,-0.78,1.4,59.0,False,,True,False,False
600592.SSE,龙溪股份,2025-03-04,2025-03,2板补涨阴,False,,U坑内,,False,连板,7.12,10.03,26.73,-10.55,-10.55,0.0,3,+++,2,-2.57,1.49,51.0,True,03,True,True,False
600594.SSE,益佰制药,2026-04-09,2026-04,2板补涨阴,False,,U坑内,,True,封D1负,-3.75,-4.94,-4.94,-4.17,-4.17,0.0,4,+++,2,-8.18,2.2,108.0,False,,True,False,False
600594.SSE,益佰制药,2026-04-15,2026-04,2板补涨阴,False,,U坑内,,False,封D1负,-1.26,-1.68,-1.68,-9.79,-9.79,0.0,8,+++,2,-2.04,1.36,49.0,False,,True,False,False
600601.SSE,方正科技,2025-01-16,2025-01,2板补涨阴,False,,U坑内,,False,封D1正,0.18,3.51,3.51,-6.11,-7.82,1.86,4,+++,2,-7.34,1.51,54.0,False,,True,False,False
600601.SSE,方正科技,2025-08-22,2025-08,2板补涨阴,False,,无U,,True,封D1正,4.06,1.9,1.9,-3.5,-3.5,0.0,4,+++,2,-5.41,2.11,37.0,False,,True,False,False
600601.SSE,方正科技,2025-09-05,2025-09,2板补涨阴,False,,无U,,True,封D1负,-1.97,-3.73,-3.73,17.9,-3.5,22.18,14,+++,2,-3.95,3.07,33.0,False,,True,False,False
600601.SSE,方正科技,2025-09-10,2025-09,2板补涨阴,False,,无U,,False,炸板,-0.42,9.02,26.65,15.21,-3.5,19.39,17,+++,2,-7.76,1.08,45.0,False,,False,True,False
600602.SSE,云赛智联,2024-02-27,2024-02,2板补涨阴,False,,U坑内,,False,炸板,-3.3,-8.73,-8.73,-4.07,-4.07,0.0,2,+--,2,-4.07,0.0,72.0,False,,False,False,False
600602.SSE,云赛智联,2024-10-23,2024-10,2板补涨阴,False,,U突破,,True,炸板,-7.21,-12.33,-12.33,7.5,-7.08,15.69,11,+++,2,-3.1,0.0,85.0,False,,False,False,False
600604.SSE,市北高新,2024-11-13,2024-11,2板补涨阴,False,,无U,,True,炸板,-2.31,-11.55,-11.55,-0.97,-0.97,0.0,12,+++,2,-2.29,0.0,65.0,False,,False,False,False
600609.SSE,金杯汽车,2024-11-11,2024-11,2板补涨阴,False,,U突破,,True,封D1负,8.09,-4.86,-4.86,26.08,-7.6,36.45,8,+++,2,2.96,2.82,95.0,False,,True,False,False
600609.SSE,金杯汽车,2024-11-14,2024-11,2板补涨阴,False,,U突破,,False,炸板,-11.56,-13.68,-13.68,33.16,-7.6,44.11,11,+++,2,0.92,1.83,50.0,False,,False,False,False
600609.SSE,金杯汽车,2024-11-19,2024-11,2板补涨阴,False,,U突破,,False,封D1正,0.0,0.0,0.0,16.58,-7.6,26.17,14,+++,2,-7.79,1.91,74.0,False,,True,False,False
600610.SSE,中毅达,2025-04-28,2025-04,2板补涨阴,False,,U坑内,,True,封D1正,0.81,7.86,7.86,-16.09,-16.09,0.0,9,-++,2,-6.04,3.02,59.0,False,,True,False,False
600610.SSE,中毅达,2025-06-16,2025-06,2板补涨阴,False,,U坑内,,True,封D1负,1.71,-2.26,-2.26,-17.24,-18.73,1.84,19,--+,2,-6.47,1.27,39.0,False,,True,False,False
600611.SSE,大众交通,2024-08-21,2024-08,2板补涨阴,False,,U坑内,,False,炸板,-5.23,-1.28,-1.28,-9.71,-13.73,4.66,16,--+,2,-2.02,2.77,17.0,False,,False,False,False
600617.SSE,国新能源,2025-10-17,2025-10,2板补涨阴,False,,无U,,False,连板,1.75,10.0,16.0,-1.62,-1.62,0.0,2,+++,2,-1.62,0.54,36.0,True,01,True,True,False
600619.SSE,海立股份,2025-03-10,2025-03,2板补涨阴,False,,U坑内,,False,封D1正,-2.96,3.25,3.25,-6.94,-6.94,0.0,4,+++,2,-3.74,0.38,45.0,False,,True,False,False
600629.SSE,华建集团,2026-07-30,2026-07,2板补涨阴,True,U坑,U坑内,,False,封D1正,0.43,4.95,4.95,-9.69,-15.89,7.37,13,+--,2,-5.66,1.27,73.0,False,,True,False,False
600630.SSE,龙头股份,2023-12-06,2023-12,2板补涨阴,False,,U坑内,,False,连板,2.52,9.98,1.49,-30.8,-31.68,1.28,20,--+,2,-3.76,0.61,32.0,True,05,True,True,False
600630.SSE,龙头股份,2024-01-26,2024-01,2板补涨阴,True,U坑,U坑内,,False,炸板,-4.34,2.59,2.59,-8.33,-15.99,9.12,7,-++,2,-0.79,2.5,90.0,False,,False,False,False
600635.SSE,大众公用,2025-10-20,2025-10,2板补涨阴,False,,U坑内,,True,封D1正,4.81,3.35,3.35,-12.24,-12.24,0.0,6,+++,2,-4.73,1.07,34.0,False,,True,False,False
600641.SSE,先导基电,2024-11-04,2024-11,2板补涨阴,False,,U突破,,False,炸板,-2.63,3.43,3.43,5.32,-9.79,16.75,19,-++,2,-2.24,2.57,74.0,False,,False,False,False
600644.SSE,乐山电力,2024-05-24,2024-05,2板补涨阴,False,,U坑内,,True,封D1负,0.86,-1.36,-1.36,-4.91,-9.95,5.6,9,+++,2,-3.29,0.66,16.0,False,,True,False,False
600644.SSE,乐山电力,2026-07-22,2026-07,2板补涨阴,False,,无U,,False,封D1负,-3.77,-1.6,-1.6,-2.72,-2.72,0.0,2,++-,2,-2.72,2.32,83.0,False,,True,False,False
600644.SSE,乐山电力,2026-07-29,2026-07,2板补涨阴,False,,U坑内,,False,炸板,-3.4,-9.0,-9.0,-8.27,-8.27,0.0,7,++-,2,-3.09,0.64,57.0,False,,False,False,False
600665.SSE,天地源,2026-07-10,2026-07,2板补涨阴,False,,U坑内,,False,炸板,-8.18,-11.52,-11.52,-26.29,-28.99,3.81,20,+--,2,-1.96,0.0,63.0,False,,False,False,False
600666.SSE,奥瑞德,2024-12-05,2024-12,2板补涨阴,False,,U坑内,,False,封D1正,1.05,3.5,3.5,-7.47,-11.74,4.84,19,--+,2,-4.06,3.32,69.0,False,,True,False,False
600666.SSE,奥瑞德,2026-03-27,2026-03,2板补涨阴,False,,无U,,True,封D1正,-4.61,2.63,2.63,4.73,4.73,0.0,2,+++,2,4.73,0.0,36.0,False,,True,False,False
600666.SSE,奥瑞德,2026-04-01,2026-04,2板补涨阴,False,,无U,,True,封D1负,0.0,-1.59,-1.59,7.95,4.73,3.07,5,+++,2,-8.65,1.6,44.0,False,,True,False,False
600666.SSE,奥瑞德,2026-04-16,2026-04,2板补涨阴,False,,无U,,True,封D1正,0.0,3.5,3.5,17.99,4.73,12.66,15,+++,2,-3.86,3.7,53.0,False,,True,False,False
600667.SSE,太极实业,2023-04-19,2023-04,2板补涨阴,False,,U坑内,,True,炸板,-9.33,-7.38,-7.38,-12.03,-12.03,0.0,9,,2,-1.96,0.42,15.0,False,,False,False,False
600667.SSE,太极实业,2023-04-27,2023-04,2板补涨阴,False,,U坑内,,True,炸板,-6.12,-6.12,-6.12,-19.92,-19.92,0.0,15,,2,-3.33,0.3,39.0,False,,False,False,False
600681.SSE,百川能源,2025-11-03,2025-11,2板补涨阴,False,,U坑内,,True,封D1正,1.29,3.88,3.88,-16.1,-16.1,0.0,9,-++,2,-4.52,0.0,47.0,False,,True,False,False
600681.SSE,百川能源,2025-11-11,2025-11,2板补涨阴,False,,U坑内,,True,连板,7.03,10.04,6.22,-9.94,-16.1,7.35,15,+++,2,-2.16,1.51,56.0,True,02,True,True,False
600683.SSE,京投发展,2023-08-16,2023-08,2板补涨阴,False,,U坑内,,False,封D1正,-1.8,4.02,4.02,-22.76,-22.76,0.0,8,-++,2,-1.36,0.15,21.0,False,,True,False,False
600683.SSE,京投发展,2023-08-25,2023-08,2板补涨阴,False,,U坑内,,True,封D1正,9.99,7.39,7.39,-17.33,-22.76,7.02,15,+-+,2,-2.37,0.97,28.0,False,,True,False,False
600683.SSE,京投发展,2023-08-29,2023-08,2板补涨阴,False,,U突破,,True,炸板,-6.15,-5.49,-5.49,-2.36,-22.76,26.41,17,+++,2,7.39,0.0,28.0,False,,False,False,False
600686.SSE,金龙汽车,2024-07-25,2024-07,2板补涨阴,False,,U坑内,,False,连板,7.95,9.98,22.45,-7.83,-7.83,0.0,2,+++,2,-7.83,2.21,20.0,True,05,True,True,False
600691.SSE,潞化科技,2026-03-17,2026-03,2板补涨阴,False,,无U,,False,封D1负,-2.54,-6.36,-6.36,-3.16,-3.16,0.0,2,+++,2,-3.16,1.58,39.0,False,,True,False,False
600691.SSE,潞化科技,2026-04-07,2026-04,2板补涨阴,False,,U坑内,,False,封D1负,-4.19,-1.2,-1.2,-31.38,-31.38,0.0,16,--+,2,-5.88,0.31,26.0,False,,True,False,False
600692.SSE,亚通股份,2025-01-14,2025-01,2板补涨阴,True,U坑,U坑内,,False,封D1负,0.77,-0.22,-0.22,-13.9,-16.29,2.85,11,---,2,-1.78,1.66,42.0,False,,True,False,False
600693.SSE,东百集团,2024-12-16,2024-12,2板补涨阴,False,,无U,,True,封D1负,-1.1,-10.07,-10.07,5.31,5.31,0.0,3,+++,2,-1.0,0.0,84.0,False,,True,False,False
600693.SSE,东百集团,2025-03-10,2025-03,2板补涨阴,False,,U突破,,True,炸板,-5.43,2.23,2.23,-3.69,-5.6,2.03,6,++-,2,-3.83,3.53,45.0,False,,False,False,False
600693.SSE,东百集团,2025-05-08,2025-05,2板补涨阴,False,,U坑内,,True,封D1负,-1.96,-6.29,-6.29,-5.25,-8.75,3.83,18,--+,2,-0.61,0.76,50.0,False,,True,False,False
600697.SSE,欧亚集团,2024-01-08,2024-01,2板补涨阴,True,U坑,U坑内,,False,炸板,-1.51,6.37,-4.24,-18.43,-23.96,7.27,14,+-+,2,-2.21,3.02,18.0,False,,False,True,False
600698.SSE,湖南天雁,2024-09-09,2024-09,2板补涨阴,False,,U突破,,False,封D1负,1.39,-5.77,-5.77,-3.43,-4.66,1.29,3,+++,2,1.29,3.08,26.0,False,,True,False,False
600698.SSE,湖南天雁,2024-09-23,2024-09,2板补涨阴,False,,U突破,,False,封D1正,3.06,2.41,2.41,1.72,-4.66,6.68,11,+++,2,-3.26,1.4,40.0,False,,True,False,False
600698.SSE,湖南天雁,2025-08-13,2025-08,2板补涨阴,False,,无U,,True,封D1正,0.0,0.78,0.78,-1.45,-2.52,1.1,5,+++,2,-3.88,3.43,42.0,False,,True,False,False
600703.SSE,三安光电,2026-06-22,2026-06,2板补涨阴,False,,无U,,True,封D1正,1.09,2.8,2.8,4.16,1.9,2.21,3,-+-,2,2.21,1.69,75.0,False,,True,False,False
600705.SSE,中航产融,2024-11-07,2024-11,2板补涨阴,False,,无U,,True,封D1正,6.56,0.2,0.2,-2.2,-2.2,0.0,4,+++,2,-5.73,1.06,104.0,False,,True,False,False
600706.SSE,曲江文旅,2025-06-26,2025-06,2板补涨阴,False,,U坑内,,False,封D1负,-1.71,-3.7,-3.7,-19.63,-21.81,2.79,11,--+,2,0.31,0.31,50.0,False,,True,False,False
600707.SSE,彩虹股份,2026-04-27,2026-04,2板补涨阴,False,,U坑内,,True,封D1负,0.34,-2.48,-2.48,-5.83,-5.83,0.0,5,+++,2,-5.39,1.17,50.0,False,,True,False,False
600707.SSE,彩虹股份,2026-05-07,2026-05,2板补涨阴,True,U坑,U坑内,,False,封D1负,-0.88,-1.77,-1.77,-4.08,-5.83,1.86,10,+++,2,1.61,2.84,88.0,False,,True,False,False
600711.SSE,盛屯矿业,2024-07-15,2024-07,2板补涨阴,False,,无U,,True,炸板,-2.9,-2.56,-2.56,3.69,3.69,0.0,2,+++,2,3.69,2.72,28.0,False,,False,False,False
600711.SSE,盛屯矿业,2025-10-15,2025-10,2板补涨阴,False,,U坑内,,False,炸板,-1.75,-6.2,-6.2,-8.19,-8.19,0.0,4,+++,2,-6.13,2.88,34.0,False,,False,False,False
600714.SSE,金瑞矿业,2024-02-28,2024-02,2板补涨阴,False,,无U,,True,炸板,-13.77,-6.63,-6.63,21.61,2.68,18.43,7,+--,2,-0.41,0.0,69.0,False,,False,False,False
600714.SSE,金瑞矿业,2025-03-11,2025-03,2板补涨阴,False,,U坑内,,False,炸板,-5.32,-6.53,-6.53,-7.07,-7.07,0.0,2,++-,2,-7.07,2.56,65.0,False,,False,False,False
600719.SSE,大连热电,2026-05-22,2026-05,2板补涨阴,False,,U坑内,,True,封D1正,3.16,3.72,3.72,-14.07,-14.07,0.0,11,-++,2,-3.36,3.36,32.0,False,,True,False,False
600722.SSE,金牛化工,2026-02-24,2026-02,2板补涨阴,False,,U坑内,,False,封D1正,3.59,2.05,2.05,-6.84,-6.84,0.0,5,+++,2,-4.94,0.11,29.0,False,,True,False,False
600722.SSE,金牛化工,2026-07-22,2026-07,2板补涨阴,False,,无U,,False,连板,0.0,9.99,15.34,-3.94,-3.94,0.0,2,+--,2,-3.94,0.0,83.0,True,01,True,True,False
600722.SSE,金牛化工,2026-08-18,2026-08,2板补涨阴,False,,U突破,,True,封D1负,-3.23,-1.38,-1.38,8.62,-15.05,27.86,18,+++,2,4.96,0.09,93.0,False,,True,False,False
600723.SSE,首商股份,2020-06-30,2020-06,2板补涨阴,True,U坑,U坑内,,False,封D1正,0.48,2.39,2.39,-8.85,-9.33,0.53,9,-++,2,-1.3,0.0,0.0,False,,True,False,False
600723.SSE,首商股份,2021-02-18,2021-02,2板补涨阴,False,,U坑内,,False,封D1负,-1.11,-0.44,-0.44,-19.09,-19.09,0.0,7,-+-,2,-7.05,0.11,0.0,False,,True,False,False
600724.SSE,宁波富达,2024-10-30,2024-10,2板补涨阴,False,,U坑内,,False,炸板,-5.16,3.13,3.13,-6.26,-6.26,0.0,2,+++,2,-6.26,0.19,93.0,False,,False,False,False
600748.SSE,上实发展,2025-10-20,2025-10,2板补涨阴,False,,无U,,True,炸板,-6.4,6.69,12.35,8.13,8.13,0.0,2,+++,2,8.13,0.0,34.0,False,,False,True,False
600748.SSE,上实发展,2025-10-29,2025-10,2板补涨阴,False,,无U,,True,封D1正,4.94,3.05,3.05,8.13,8.13,0.0,9,+++,2,-2.34,1.88,48.0,False,,True,False,False
600748.SSE,上实发展,2026-05-29,2026-05,2板补涨阴,False,,U坑内,,False,炸板,-9.33,-9.52,-9.52,-24.05,-24.05,0.0,14,---,2,-1.51,0.43,88.0,False,,False,False,False
600760.SSE,中航沈飞,2024-11-08,2024-11,2板补涨阴,False,,U坑内,,False,封D1负,-0.18,-1.95,-1.95,-5.9,-5.9,0.0,2,+++,2,-5.9,0.0,157.0,False,,True,False,False
600769.SSE,祥龙电业,2024-11-13,2024-11,2板补涨阴,False,,U突破,,False,封D1正,-0.38,6.57,6.57,3.21,-6.34,10.19,12,+++,2,-6.38,2.13,65.0,False,,True,False,False
600769.SSE,祥龙电业,2026-03-27,2026-03,2板补涨阴,True,U坑,U坑内,,False,封D1正,-1.03,2.94,2.94,-17.71,-20.44,3.43,12,--+,2,-1.59,0.24,36.0,False,,True,False,False
600769.SSE,祥龙电业,2026-06-25,2026-06,2板补涨阴,False,,U坑内,,True,炸板,-3.12,-5.84,-5.84,-4.74,-4.74,0.0,3,++-,2,-8.6,3.1,87.0,False,,False,False,False
600770.SSE,综艺股份,2024-10-11,2024-10,2板补涨阴,False,,无U,,True,封D1负,-0.27,-4.01,-4.01,-2.86,-2.86,0.0,3,+++,2,-6.08,2.49,51.0,False,,True,False,False
600770.SSE,综艺股份,2026-04-28,2026-04,2板补涨阴,False,,无U,,False,封D1正,-4.44,3.0,3.0,-0.14,-0.14,0.0,2,+++,2,-0.14,2.01,54.0,False,,True,False,False
600770.SSE,综艺股份,2026-05-06,2026-05,2板补涨阴,False,,无U,,True,封D1负,-1.79,-2.51,-2.51,9.33,-0.14,9.48,5,+++,2,-3.42,2.28,69.0,False,,True,False,False
600770.SSE,综艺股份,2026-05-11,2026-05,2板补涨阴,False,,无U,,False,炸板,-4.18,-6.38,-6.38,12.48,-0.14,12.64,8,+++,2,-4.04,2.08,89.0,False,,False,False,False
600774.SSE,汉商集团,2024-05-29,2024-05,2板补涨阴,False,,U坑内,,True,封D1正,0.0,1.56,1.56,-15.74,-16.08,0.4,14,+++,2,-4.04,0.38,18.0,False,,True,False,False
600774.SSE,汉商集团,2024-06-04,2024-06,2板补涨阴,False,,U坑内,,True,封D1正,2.16,4.1,4.1,-11.42,-16.08,5.55,18,+++,2,-3.97,0.0,10.0,False,,True,False,False
600775.SSE,南京熊猫,2024-11-29,2024-11,2板补涨阴,False,,U坑内,,False,封D1正,2.04,4.93,4.93,-12.16,-12.16,0.0,4,+++,2,-4.21,1.88,75.0,False,,True,False,False
600775.SSE,南京熊猫,2024-12-18,2024-12,2板补涨阴,False,,U坑内,,True,封D1正,1.9,0.0,0.0,-9.7,-12.16,2.81,17,+++,2,-6.23,0.0,25.0,False,,True,False,False
