vt_symbol,name,date,ym,res,D1开%,D1收%,板留%,地基,回撤%,蹲深%,弹回%,低点位置,振幅%,破顶,断板,上波高,昨幅%,昨上影%,昨涨停家,is_wv,is_lim,n1_lim
000070.SZSE,特发信息,2025-12-10,2025-12,封D1负,4.71,-9.97,-9.97,HIGH·新高贴顶,-3.02,-6.11,3.29,0.625,12.78,True,10,4,-7.6,1.3,46.0,False,True,False
000096.SZSE,广聚能源,2025-02-24,2025-02,连板,10.03,10.03,31.34,HIGH·新高贴顶,-0.65,-3.52,2.97,0.0,10.01,True,4,2,-6.39,2.64,82.0,True,True,True
000099.SZSE,中信海直,2024-03-27,2024-03,连板,10.01,10.01,29.87,DN·阴跌到点,-8.87,-8.87,0.0,1.0,13.46,True,10,2,-1.17,2.18,50.0,True,True,True
000099.SZSE,中信海直,2024-04-10,2024-04,封D1负,-3.32,-2.82,-2.82,DN·阴跌到点,-16.14,-16.14,0.0,1.0,16.34,False,5,4,-3.14,2.87,48.0,False,True,False
000099.SZSE,中信海直,2024-04-15,2024-04,封D1正,-4.16,0.84,0.84,MID·中位浅调,-12.78,-16.14,4.0,0.5,16.34,False,8,4,-2.71,3.61,47.0,False,True,False
000099.SZSE,中信海直,2024-11-18,2024-11,封D1正,-0.76,2.85,2.85,DN·阴跌到点,-11.85,-11.85,0.0,1.0,25.05,True,8,2,-5.16,1.04,53.0,False,True,False
000156.SZSE,华数传媒,2025-02-21,2025-02,炸板,-3.78,-6.7,-6.7,LB·L趴底,-9.66,-12.02,2.68,0.6,15.0,True,7,2,0.0,3.92,76.0,False,False,False
000410.SZSE,沈阳机床,2023-06-14,2023-06,炸板,-5.79,1.06,1.06,LB·L趴底,-12.7,-14.74,2.39,0.4166666666666667,13.83,False,14,2,-0.39,0.52,35.0,False,False,False
000421.SZSE,南京公用,2024-07-29,2024-07,连板,1.66,9.98,3.14,MID·中位浅调,-13.53,-16.34,3.36,0.6666666666666666,24.79,True,8,2,-2.19,0.4,44.0,True,True,True
000421.SZSE,南京公用,2024-12-26,2024-12,连板,10.03,10.03,13.43,DN·阴跌到点,-23.9,-23.9,0.0,1.0,37.86,True,20,2,-6.36,0.0,31.0,True,True,True
000428.SZSE,华天酒店,2026-08-10,2026-08,封D1负,-2.55,-0.23,-0.23,HIGH·新高贴顶,-2.72,-5.2,2.61,0.0,9.92,True,8,3,-0.76,1.52,59.0,False,True,False
000428.SZSE,华天酒店,2026-08-25,2026-08,连板,4.17,9.95,9.95,HIGH·新高贴顶,-2.72,-5.2,2.61,0.0,19.58,True,19,3,-1.26,0.5,41.0,True,True,True
000504.SZSE,南华生物,2024-03-04,2024-03,封D1正,5.19,1.18,1.18,HIGH·新高贴顶,9.21,-0.42,9.67,0.0,24.04,True,10,2,-1.41,1.28,56.0,False,True,False
000504.SZSE,南华生物,2024-03-08,2024-03,封D1正,1.03,0.34,0.34,HIGH·新高贴顶,13.03,-0.42,13.51,0.0,24.04,True,14,2,-4.2,0.72,44.0,False,True,False
000506.SZSE,招金黄金,2026-07-02,2026-07,连板,5.08,9.99,3.97,DN·阴跌到点,-24.11,-24.11,0.0,1.0,34.9,True,12,2,-2.22,1.96,130.0,True,True,True
000510.SZSE,新金路,2025-06-03,2025-06,封D1负,2.82,-0.33,-0.33,DN·阴跌到点,-7.28,-7.28,0.0,1.0,14.42,True,5,2,-4.03,1.23,32.0,False,True,False
000510.SZSE,新金路,2025-12-12,2025-12,封D1正,-0.41,3.48,3.48,HIGH·新高贴顶,4.59,3.3,1.25,0.2222222222222222,18.7,True,11,3,-2.84,1.86,27.0,False,True,False
000510.SZSE,新金路,2025-12-19,2025-12,封D1正,5.01,5.86,5.86,HIGH·新高贴顶,13.31,3.3,9.69,0.14285714285714285,18.7,True,16,3,0.63,3.77,52.0,False,True,False
000510.SZSE,新金路,2026-06-01,2026-06,封D1正,0.44,6.88,6.88,FLAT·横盘平台,-7.86,-7.86,0.0,1.0,8.11,False,4,3,-6.2,0.9,46.0,False,True,False
000510.SZSE,新金路,2026-06-11,2026-06,连板,3.41,9.99,30.32,DN·阴跌到点,-11.4,-11.4,0.0,1.0,22.3,True,12,3,-4.7,3.75,63.0,True,True,True
000510.SZSE,新金路,2026-07-01,2026-07,炸板,-10.4,-16.22,-16.22,HIGH·新高贴顶,16.56,3.33,12.81,0.1111111111111111,19.44,True,11,3,-5.55,0.84,114.0,False,False,False
