vt_symbol,name,g2,n1_date,touch,seal,ret_d1,ret_bw
600563.SSE,法拉电子,yin2,2026-06-15,10:30,True,0.06986649713922422,0.06986649713922422
600571.SSE,信雅达,yin2,2024-10-23,09:45,True,-0.047655068078668705,-0.047655068078668705
600571.SSE,信雅达,yang2,2024-12-19,14:00,True,-0.016014234875444844,-0.016014234875444844
600571.SSE,信雅达,yin2,2025-07-09,10:45,True,-0.004134129536058739,-0.004134129536058739
600576.SSE,祥源文旅,yin2,2024-08-28,09:45,True,-0.013215859030836885,-0.013215859030836885
600579.SSE,中化装备,yin2,2025-02-10,10:15,True,0.015135135135135203,0.015135135135135203
600580.SSE,卧龙电驱,yang2,2025-09-12,10:30,True,0.0013001083423618276,0.0013001083423618276
600584.SSE,长电科技,yin2,2024-10-18,14:30,False,-0.01842751842751844,-0.01842751842751844
600584.SSE,长电科技,yin2,2026-06-03,11:00,False,-0.03390034986126189,-0.03390034986126189
600584.SSE,长电科技,yang2,2026-06-22,14:45,True,-0.057374356728347675,-0.057374356728347675
600584.SSE,长电科技,yin2,2026-06-24,10:00,True,0.10000000000000009,0.06536430834213292
600584.SSE,长电科技,yin2,2026-07-09,13:15,True,-0.023280525502318405,-0.023280525502318405
600588.SSE,用友网络,yang2,2024-11-05,11:30,False,-0.023121387283236983,-0.023121387283236983
600589.SSE,大位科技,yin2,2025-03-28,09:45,True,0.09985734664764623,0.029957203994293913
600589.SSE,大位科技,yin2,2025-04-28,09:45,True,0.05714285714285716,0.05714285714285716
600592.SSE,龙溪股份,yin2,2025-03-04,10:00,True,0.10025220680958391,0.2673392181588905
600593.SSE,大连圣亚,yang2,2024-11-25,10:00,True,0.09996743731683488,0.13936828394659728
600593.SSE,大连圣亚,yang2,2024-12-05,14:45,True,0.06395348837209314,0.06395348837209314
600593.SSE,大连圣亚,yang2,2024-12-12,10:45,True,0.09993538660348911,0.08895110919664018
600594.SSE,益佰制药,yin2,2026-04-09,09:45,True,-0.04940711462450598,-0.04940711462450598
600594.SSE,益佰制药,yin2,2026-04-15,13:30,True,-0.01680672268907568,-0.01680672268907568
600594.SSE,益佰制药,yang2,2026-04-21,09:45,False,-0.05753968253968256,-0.05753968253968256
600601.SSE,方正科技,yang2,2024-12-26,10:00,True,0.018750000000000044,0.018750000000000044
600601.SSE,方正科技,yin2,2025-01-16,09:45,True,0.03512014787430684,0.03512014787430684
600601.SSE,方正科技,yin2,2025-08-22,10:00,True,0.019011406844106293,0.019011406844106293
600601.SSE,方正科技,yin2,2025-09-05,14:15,True,-0.03734439834024905,-0.03734439834024905
600601.SSE,方正科技,yin2,2025-09-10,14:15,False,0.09023354564755826,0.26645435244161364
600601.SSE,方正科技,yang2,2025-09-11,09:45,True,0.1002921129503409,0.1616358325219085
600601.SSE,方正科技,yang2,2025-09-30,14:30,False,-0.042720139494333065,-0.042720139494333065
600601.SSE,方正科技,yang2,2026-09-04,09:45,False,,
600602.SSE,云赛智联,yin2,2024-10-23,11:00,False,-0.12332751599767311,-0.12332751599767311
600604.SSE,市北高新,yin2,2024-11-13,09:45,False,-0.11545293072824148,-0.11545293072824148
600609.SSE,金杯汽车,yang2,2024-11-06,15:00,True,0.07587253414264028,0.07587253414264028
600609.SSE,金杯汽车,yang2,2024-11-08,09:45,False,0.029487179487179382,-0.02051282051282055
