vt_symbol,name,g4,trade_date,n1_date,h,seal,a1,a2,st3,st3c,bias10,bias20,bias30,vr_d0,vr_tm1,touch,tseg
603933.SSE,睿能科技,yin2,2026-04-28,2026-04-29,1,True,False,False,++,全多(10>20>30),-5~0,0~5,0~5,0.9058509727591396,0.6098051737037401,09:45,早09:30~10:30
603936.SSE,博敏电子,yang2,2026-06-10,2026-06-11,1,True,False,False,-+,混合,>5,>5,>5,1.1623781781285973,0.7588293176373013,10:45,中10:30~11:30
603936.SSE,博敏电子,yang2,2026-06-17,2026-06-18,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.2323319780310547,1.1765336511091669,13:45,午13:00~14:00
603938.SSE,三孚股份,yin2,2023-12-25,2023-12-26,0,False,False,False,--,全空(10<20<30),0~5,-5~0,-5~0,2.0640580992062567,0.776283985325882,,
603950.SSE,长源东谷,yin4,2026-04-14,2026-04-15,1,True,False,False,-+,混合,>5,>5,>5,0.7618084241150422,3.275066012502222,09:45,早09:30~10:30
603950.SSE,长源东谷,yang4,2026-04-22,2026-04-23,0,False,False,False,++,全多(10>20>30),>5,>5,>5,0.7504714234136756,1.0284382436274297,09:45,早09:30~10:30
603950.SSE,长源东谷,yang4,2026-05-06,2026-05-07,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.4642860472270647,1.2746272740352524,11:00,中10:30~11:30
603950.SSE,长源东谷,yang4,2026-05-11,2026-05-12,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.1459995706292383,1.3987606606637228,10:45,中10:30~11:30
603950.SSE,长源东谷,yang2,2026-07-03,2026-07-06,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.4132154763177036,0.9750171086028119,10:00,早09:30~10:30
603950.SSE,长源东谷,yin2,2026-07-15,2026-07-16,0,False,False,False,-+,混合,<-5,<-5,<-5,1.3644765513465935,0.6073410915206382,10:00,早09:30~10:30
603955.SSE,大千生态,yin2,2025-04-25,2025-04-28,1,True,False,False,+-,混合,>5,>5,>5,0.60080091580637,0.7045187539732994,10:30,早09:30~10:30
603955.SSE,大千生态,yin2,2025-04-29,2025-04-30,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.746736593338082,0.8795149342248461,11:15,中10:30~11:30
603955.SSE,大千生态,yin2,2025-05-16,2025-05-19,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.3033062702559695,0.7160534470295183,13:45,午13:00~14:00
603956.SSE,威派格,yin4,2025-03-07,2025-03-10,1,True,False,False,++,全多(10>20>30),-5~0,-5~0,>5,1.0949518670729774,0.7509197252401241,13:45,午13:00~14:00
603956.SSE,威派格,yin2,2026-07-30,2026-07-31,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.0626365763570613,0.707247265383891,13:15,午13:00~14:00
603956.SSE,威派格,yang2,2026-08-12,2026-08-13,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.9133864627645253,0.9910342843562772,09:45,早09:30~10:30
603958.SSE,哈森股份,yang4,2024-11-11,2024-11-12,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.6068744222464084,0.842281751142402,09:45,早09:30~10:30
603958.SSE,哈森股份,yin2,2025-03-31,2025-04-01,1,True,False,False,-+,混合,0~5,0~5,>5,1.4701233672223428,0.800320666297219,14:45,尾14:00~15:00
603958.SSE,哈森股份,yang2,2026-02-05,2026-02-06,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.029757004404107,0.6726490805510779,11:15,中10:30~11:30
603958.SSE,哈森股份,yin2,2026-02-25,2026-02-26,1,True,False,False,++,全多(10>20>30),0~5,>5,>5,1.1348866890420974,0.9154155534215055,13:15,午13:00~14:00
603958.SSE,哈森股份,yin2,2026-08-19,2026-08-20,3,True,True,True,++,全多(10>20>30),>5,>5,>5,1.9787114320547687,10.463724173483646,09:45,早09:30~10:30
603967.SSE,中创物流,yin2,2025-04-15,2025-04-16,1,True,False,False,++,全多(10>20>30),0~5,>5,>5,1.1933504879239702,0.5754471635086214,09:45,早09:30~10:30
603978.SSE,深圳新星,yang2,2024-10-18,2024-10-21,2,True,True,False,++,全多(10>20>30),>5,>5,>5,1.5867990678054427,0.6825218632034038,09:45,早09:30~10:30
603978.SSE,深圳新星,yang2,2024-10-24,2024-10-25,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.000522732719231,0.9207111367211079,10:00,早09:30~10:30
603978.SSE,深圳新星,yin2,2025-11-10,2025-11-11,0,False,False,False,++,全多(10>20>30),>5,>5,>5,2.8072818853351054,2.8798939742951006,11:30,中10:30~11:30
603978.SSE,深圳新星,yin2,2025-11-19,2025-11-20,1,True,False,False,++,全多(10>20>30),-5~0,>5,>5,0.8730330367441094,0.5667670947897917,09:45,早09:30~10:30
603980.SSE,吉华集团,yin2,2025-06-06,2025-06-09,2,True,True,False,-+,混合,>5,>5,>5,3.6499453461181908,1.0761639709252833,13:15,午13:00~14:00
603980.SSE,吉华集团,yang2,2025-06-23,2025-06-24,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.382535160479821,1.4585753720697572,13:15,午13:00~14:00
603982.SSE,泉峰汽车,yin2,2025-06-18,2025-06-19,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.919008121848588,0.7773045777839058,09:45,早09:30~10:30
