vt_symbol,name,g4,trade_date,n1_date,h,seal,a1,a2,st3,st3c,bias10,bias20,bias30,vr_d0,vr_tm1,touch,tseg
000006.SZSE,深振业Ａ,yin2,2025-10-20,2025-10-21,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.6399738212682266,0.9425742314424895,11:15,中10:30~11:30
000008.SZSE,神州高铁,yin4,2024-12-23,2024-12-24,1,True,False,False,++,全多(10>20>30),0~5,0~5,>5,2.1528415588453447,0.9107689278931745,10:00,早09:30~10:30
000011.SZSE,深物业A,yin2,2025-08-13,2025-08-14,0,False,False,False,++,全多(10>20>30),>5,>5,>5,2.3516277423203547,3.433336953373878,09:45,早09:30~10:30
000012.SZSE,南 玻Ａ,yang2,2026-06-15,2026-06-16,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.7333442187377518,0.7876837508891172,09:45,早09:30~10:30
000012.SZSE,南 玻Ａ,yin2,2026-06-18,2026-06-22,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.0592527519105526,1.3967462343345827,10:15,早09:30~10:30
000017.SZSE,深中华A,yang4,2024-02-19,2024-02-20,2,True,True,False,-+,混合,0~5,-5~0,>5,0.8112054219180763,0.898834656681105,,
000017.SZSE,深中华A,yin4,2024-02-23,2024-02-26,1,True,False,False,-+,混合,>5,>5,>5,1.044282316542786,0.9242807966207083,,
000017.SZSE,深中华A,yang2,2026-07-08,2026-07-09,0,False,False,False,++,全多(10>20>30),>5,>5,>5,2.536378833485575,0.8411483785347484,10:15,早09:30~10:30
000017.SZSE,深中华A,yang2,2026-07-22,2026-07-23,1,True,False,False,-+,混合,0~5,-5~0,0~5,0.7614904886869749,0.7314297036068191,10:00,早09:30~10:30
000020.SZSE,深华发Ａ,yin2,2024-09-06,2024-09-09,2,True,True,False,++,全多(10>20>30),>5,>5,>5,0.8464670516565361,0.8677622561026905,10:15,早09:30~10:30
000020.SZSE,深华发Ａ,yang2,2024-09-18,2024-09-19,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.0886844550428851,0.7362080693617193,14:45,尾14:00~15:00
000021.SZSE,深科技,yang2,2024-11-08,2024-11-11,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.1646094510603107,0.9518408399551442,15:00,尾14:00~15:00
000029.SZSE,深深房Ａ,yang2,2024-10-23,2024-10-24,0,False,False,False,++,全多(10>20>30),>5,>5,>5,2.4567190180732803,0.68541838143321,10:30,早09:30~10:30
000029.SZSE,深深房Ａ,yang2,2024-10-30,2024-10-31,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.8974929791186372,0.6977249341603465,09:45,早09:30~10:30
000029.SZSE,深深房Ａ,yin2,2026-06-08,2026-06-09,2,True,True,False,-+,混合,0~5,-5~0,0~5,0.9411190596589001,1.059803668302764,10:00,早09:30~10:30
000029.SZSE,深深房Ａ,yin2,2026-06-15,2026-06-16,1,True,False,False,--,全空(10<20<30),>5,>5,>5,1.0764114333224049,0.907881867147011,10:45,中10:30~11:30
000032.SZSE,深桑达Ａ,yang2,2025-03-11,2025-03-12,0,False,False,False,-+,混合,0~5,-5~0,>5,1.4232582053494278,0.6061682632734401,13:45,午13:00~14:00
000032.SZSE,深桑达Ａ,yang4,2026-06-17,2026-06-18,0,False,False,False,+-,混合,>5,>5,>5,1.462324257783295,2.192048826236699,10:00,早09:30~10:30
000032.SZSE,深桑达Ａ,yin4,2026-06-23,2026-06-24,1,True,False,False,+-,混合,>5,>5,>5,0.8939238652875977,0.6956020284491932,10:00,早09:30~10:30
000032.SZSE,深桑达Ａ,yin4,2026-07-08,2026-07-09,0,False,False,False,-+,混合,-5~0,-5~0,>5,1.6189914588938725,0.7815292922920484,10:15,早09:30~10:30
000034.SZSE,神州数码,yang2,2025-02-12,2025-02-13,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.351649838251152,1.244599701089555,13:45,午13:00~14:00
000034.SZSE,神州数码,yang2,2025-02-13,2025-02-14,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.6759376008807906,1.351649838251152,10:15,早09:30~10:30
000035.SZSE,中国天楹,yin2,2026-03-05,2026-03-06,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.451536794645618,1.1610204517220186,10:15,早09:30~10:30
000035.SZSE,中国天楹,yin2,2026-03-23,2026-03-24,1,True,False,False,++,全多(10>20>30),-5~0,0~5,>5,1.6659723951481495,0.6823957665056304,09:45,早09:30~10:30
000036.SZSE,华联控股,yin2,2026-02-24,2026-02-25,1,True,False,False,--,全空(10<20<30),>5,0~5,-5~0,2.306276177710413,0.8394403273453407,11:15,中10:30~11:30
000037.SZSE,深南电A,yang4,2023-07-06,2023-07-07,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.276498975748247,0.5838199240707981,,
000037.SZSE,深南电A,yang4,2023-07-07,2023-07-10,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.2451750415187692,1.276498975748247,,
000037.SZSE,深南电A,yang2,2026-07-31,2026-08-03,1,True,False,False,+-,混合,>5,>5,>5,1.4974121455781964,0.7140820063060475,10:00,早09:30~10:30
000039.SZSE,中集集团,yang2,2026-02-25,2026-02-26,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.2628555734595246,1.3097663537593403,14:45,尾14:00~15:00
000058.SZSE,深 赛 格,yin2,2024-09-05,2024-09-06,0,False,False,False,++,全多(10>20>30),>5,>5,>5,2.4939993431945844,3.052666867231718,10:45,中10:30~11:30
000061.SZSE,农 产 品,yang2,2025-09-09,2025-09-10,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.0602416033409336,0.8324005516354921,10:45,中10:30~11:30
000062.SZSE,深圳华强,yin4,2024-08-29,2024-08-30,6,True,True,True,++,全多(10>20>30),>5,>5,>5,1.0366102987554435,2.3716277143486484,10:00,早09:30~10:30
000062.SZSE,深圳华强,yin4,2024-09-20,2024-09-23,0,False,False,False,++,全多(10>20>30),-5~0,>5,>5,1.5998335785371967,0.7151226562878779,11:15,中10:30~11:30
000062.SZSE,深圳华强,yang4,2024-09-27,2024-09-30,2,True,True,False,-+,混合,0~5,<-5,>5,1.0927497155254224,1.0133898641604113,15:00,尾14:00~15:00
000062.SZSE,深圳华强,yang2,2025-04-30,2025-05-06,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.3653856735901528,1.3003925796402667,13:45,午13:00~14:00
000062.SZSE,深圳华强,yin2,2026-05-08,2026-05-11,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.7926390034172591,0.7555157297075515,10:30,早09:30~10:30
000065.SZSE,北方国际,yin2,2025-02-21,2025-02-24,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.6284434898211764,1.035626650585373,09:45,早09:30~10:30
000066.SZSE,中国长城,yang4,2024-11-05,2024-11-06,3,True,True,True,++,全多(10>20>30),>5,>5,>5,1.4551921488917023,1.5225889872214597,13:45,午13:00~14:00
000068.SZSE,华控赛格,yang2,2024-09-03,2024-09-04,0,False,False,False,++,全多(10>20>30),0~5,>5,>5,1.4977654593545144,0.8937475890332421,10:00,早09:30~10:30
000068.SZSE,华控赛格,yang2,2024-09-09,2024-09-10,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.6762877993451324,0.5356651781360271,09:45,早09:30~10:30
000068.SZSE,华控赛格,yang2,2026-06-30,2026-07-01,1,True,False,False,-+,混合,0~5,<-5,-5~0,0.8138448496802955,0.5655428726292928,09:45,早09:30~10:30
000070.SZSE,特发信息,yang2,2023-06-07,2023-06-08,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.0368281193689903,0.47959453339334673,,
000070.SZSE,特发信息,yang2,2025-08-22,2025-08-25,2,True,True,False,++,全多(10>20>30),0~5,>5,>5,0.7639495713339997,0.40092890274347465,10:00,早09:30~10:30
000070.SZSE,特发信息,yang2,2025-09-11,2025-09-12,1,True,False,False,-+,混合,>5,>5,>5,1.0883144112372585,1.1704885655656208,09:45,早09:30~10:30
000070.SZSE,特发信息,yin4,2025-12-09,2025-12-10,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.9273628518033655,0.9940841268299655,14:15,尾14:00~15:00
000070.SZSE,特发信息,yang4,2025-12-19,2025-12-22,1,True,False,False,-+,混合,0~5,-5~0,>5,0.8084173586364037,0.5056345078091707,09:45,早09:30~10:30
000096.SZSE,广聚能源,yin2,2025-02-19,2025-02-20,1,True,False,False,++,全多(10>20>30),>5,>5,>5,3.9431660078385256,3.2392664393308808,14:15,尾14:00~15:00
000096.SZSE,广聚能源,yin2,2025-02-21,2025-02-24,4,True,True,True,++,全多(10>20>30),>5,>5,>5,1.1179933460299547,1.402429769815485,10:00,早09:30~10:30
000099.SZSE,中信海直,yang2,2024-03-15,2024-03-18,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.2687953212093506,1.0262671846295088,,
000099.SZSE,中信海直,yin2,2024-03-26,2024-03-27,4,True,True,True,++,全多(10>20>30),0~5,>5,>5,1.0807709155742637,0.5358316129432684,,
000099.SZSE,中信海直,yin4,2024-04-09,2024-04-10,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.877832477956019,0.8309217290009082,,
000099.SZSE,中信海直,yin4,2024-04-12,2024-04-15,1,True,False,False,++,全多(10>20>30),0~5,>5,>5,1.3531725957768383,0.9132794585629659,,
000099.SZSE,中信海直,yin4,2024-04-25,2024-04-26,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.2475113986519129,0.9590788883710513,,
000099.SZSE,中信海直,yin2,2024-11-15,2024-11-18,1,True,False,False,++,全多(10>20>30),-5~0,>5,>5,1.1194306413696737,0.5850102383998883,15:00,尾14:00~15:00
000151.SZSE,中成股份,yang4,2024-02-20,2024-02-21,0,False,False,False,--,全空(10<20<30),-5~0,<-5,<-5,1.5028728294177733,0.9364894571449787,,
000156.SZSE,华数传媒,yin2,2025-02-20,2025-02-21,0,False,False,False,++,全多(10>20>30),0~5,>5,>5,1.0715440724422358,0.399555567562357,09:45,早09:30~10:30
000158.SZSE,常山北明,yang2,2023-10-25,2023-10-26,0,False,False,False,++,全多(10>20>30),0~5,>5,>5,1.5519905348540923,1.0066522895901964,,
000158.SZSE,常山北明,yang2,2025-02-21,2025-02-24,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.3933690424401883,0.9323811717730169,14:45,尾14:00~15:00
000409.SZSE,云鼎科技,yang4,2025-03-11,2025-03-12,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.596697235075496,1.904718967634561,09:45,早09:30~10:30
000410.SZSE,沈阳机床,yin2,2023-06-13,2023-06-14,0,False,False,False,-+,混合,0~5,0~5,>5,2.4873017823365413,0.7172668668038698,,
000421.SZSE,南京公用,yin2,2024-07-26,2024-07-29,2,True,True,False,++,全多(10>20>30),0~5,>5,>5,0.8185554931445145,0.7079552275237547,,
000421.SZSE,南京公用,yin2,2024-12-25,2024-12-26,3,True,True,True,-+,混合,0~5,<-5,-5~0,0.7992175273865415,1.0707704505917894,09:45,早09:30~10:30
000422.SZSE,湖北宜化,yang2,2024-05-29,2024-05-30,0,False,False,False,++,全多(10>20>30),0~5,>5,>5,3.14166301675107,0.6281199387508735,,
000428.SZSE,华天酒店,yin2,2026-09-03,2026-09-04,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.8579613117852337,0.8166140988994409,10:00,早09:30~10:30
000430.SZSE,张家界,yang2,2024-10-28,2024-10-29,0,False,False,False,-+,混合,>5,0~5,>5,2.4197571252377466,1.1382674693191168,10:00,早09:30~10:30
000503.SZSE,国新健康,yang2,2024-10-22,2024-10-23,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.3555412802209368,1.2880897384479406,10:45,中10:30~11:30
000504.SZSE,南华生物,yin2,2024-02-20,2024-02-21,1,True,False,False,--,全空(10<20<30),>5,<-5,<-5,0.5813269320447297,0.5585496423590804,,
000504.SZSE,南华生物,yin2,2024-03-01,2024-03-04,1,True,False,False,+-,混合,0~5,>5,-5~0,1.3612757078299365,0.6092180559446156,,
000504.SZSE,南华生物,yin2,2024-03-07,2024-03-08,1,True,False,False,+-,混合,>5,>5,>5,0.6159657466534855,0.8841898893712365,,
000504.SZSE,南华生物,yin2,2024-03-12,2024-03-13,0,False,False,False,+-,混合,>5,>5,>5,1.5152280231937998,0.9797246564568799,,
000506.SZSE,招金黄金,yang2,2025-06-27,2025-06-30,0,False,False,False,++,全多(10>20>30),>5,>5,>5,2.0070457418955856,1.683061028638782,09:45,早09:30~10:30
000506.SZSE,招金黄金,yang4,2026-02-27,2026-03-02,1,True,False,False,-+,混合,>5,0~5,>5,2.7984308588203235,1.0235202388462035,14:30,尾14:00~15:00
000506.SZSE,招金黄金,yin2,2026-07-01,2026-07-02,2,True,True,False,--,全空(10<20<30),-5~0,<-5,<-5,1.4350334828862215,0.9546421979553553,10:45,中10:30~11:30
000506.SZSE,招金黄金,yang2,2026-07-21,2026-07-22,1,True,False,False,+-,混合,0~5,0~5,-5~0,1.4154870571972342,1.199279290495384,11:30,中10:30~11:30
000506.SZSE,招金黄金,yang2,2026-07-29,2026-07-30,0,False,False,False,--,全空(10<20<30),>5,0~5,0~5,1.6177537184148632,0.6353910495236132,09:45,早09:30~10:30
000509.SZSE,华塑控股,yang2,2026-03-19,2026-03-20,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.1438139956333713,0.6575594565980002,10:00,早09:30~10:30
000510.SZSE,新金路,yin2,2025-05-30,2025-06-03,1,True,False,False,+-,混合,>5,>5,>5,0.9489935414015753,0.6411124359798677,09:45,早09:30~10:30
000514.SZSE,渝 开 发,yin2,2025-04-21,2025-04-22,0,False,False,False,+-,混合,>5,>5,>5,2.6578513196853115,3.0620077573211835,10:30,早09:30~10:30
000514.SZSE,渝 开 发,yin2,2025-04-23,2025-04-24,1,True,False,False,+-,混合,>5,>5,>5,0.44906641622730387,1.2932760867587503,09:45,早09:30~10:30
000514.SZSE,渝 开 发,yang2,2025-05-06,2025-05-07,0,False,False,False,++,全多(10>20>30),0~5,>5,>5,1.3515474615474394,0.8311372054082945,09:45,早09:30~10:30
000516.SZSE,国际医学,yang2,2026-01-12,2026-01-13,2,True,True,False,+-,混合,>5,>5,>5,1.0298669694094391,0.835434532040623,10:15,早09:30~10:30
000518.SZSE,四环生物,yin2,2024-08-09,2024-08-12,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.5380543349105229,0.5611571816020625,,
000518.SZSE,四环生物,yang2,2024-11-20,2024-11-21,0,False,False,False,++,全多(10>20>30),0~5,>5,>5,1.5988178826311765,0.8116572675130391,10:45,中10:30~11:30
000518.SZSE,四环生物,yang4,2026-06-02,2026-06-03,1,True,False,False,++,全多(10>20>30),0~5,>5,>5,1.328942642821578,0.5541473879032283,10:30,早09:30~10:30
000520.SZSE,凤凰航运,yin2,2024-05-08,2024-05-09,1,True,False,False,-+,混合,>5,>5,>5,2.3262085556879954,0.7243421792804372,,
000520.SZSE,凤凰航运,yin2,2024-05-17,2024-05-20,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.5327328195544775,0.5262177040961157,,
000520.SZSE,凤凰航运,yin2,2026-06-12,2026-06-15,1,True,False,False,+-,混合,>5,>5,>5,0.3579044736607851,0.4649655154753366,09:45,早09:30~10:30
000520.SZSE,凤凰航运,yang2,2026-06-30,2026-07-01,2,True,True,False,-+,混合,0~5,-5~0,0~5,1.5682916872124772,0.8582786353385894,10:00,早09:30~10:30
000523.SZSE,红棉股份,yin2,2025-12-25,2025-12-26,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.4358151723453043,0.6579899358798409,09:45,早09:30~10:30
000523.SZSE,红棉股份,yang2,2026-01-19,2026-01-20,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.896403960748743,0.589163254384109,11:15,中10:30~11:30
000526.SZSE,学大教育,yang2,2023-05-10,2023-05-11,1,True,False,False,+-,混合,>5,>5,,0.40618970349609085,1.7825480149452664,,
000526.SZSE,学大教育,yang2,2023-05-25,2023-05-26,2,True,True,False,++,全多(10>20>30),>5,>5,>5,1.382577459617266,0.6751904562389904,,
000526.SZSE,学大教育,yin2,2023-06-13,2023-06-14,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.7121588467748546,0.9567881440871603,,
000530.SZSE,冰山冷热,yin2,2024-11-22,2024-11-25,0,False,False,False,++,全多(10>20>30),0~5,>5,>5,2.4051989953913515,0.9733973490090887,14:45,尾14:00~15:00
000530.SZSE,冰山冷热,yin2,2025-12-04,2025-12-05,0,False,False,False,--,全空(10<20<30),>5,>5,>5,1.1638386887784276,1.6026733354696234,10:00,早09:30~10:30
000530.SZSE,冰山冷热,yin2,2025-12-16,2025-12-17,0,False,False,False,++,全多(10>20>30),0~5,>5,>5,0.7981838466504606,0.5989251826035713,09:45,早09:30~10:30
000530.SZSE,冰山冷热,yin2,2025-12-29,2025-12-30,1,True,False,False,-+,混合,0~5,0~5,>5,1.4240002082195338,0.837285352122509,11:00,中10:30~11:30
000532.SZSE,华金资本,yang2,2024-01-23,2024-01-24,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.0574167688085645,0.8796099614212769,,
000532.SZSE,华金资本,yang2,2024-05-06,2024-05-07,1,True,False,False,+-,混合,>5,>5,>5,2.832820996021299,2.8419014992755027,,
000533.SZSE,顺钠股份,yin2,2025-11-12,2025-11-13,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.6182214086913616,0.9879600543998143,10:00,早09:30~10:30
000533.SZSE,顺钠股份,yin4,2026-08-14,2026-08-17,0,False,False,False,++,全多(10>20>30),-5~0,>5,>5,0.9207527034624692,0.8081716482899723,10:15,早09:30~10:30
000533.SZSE,顺钠股份,yang2,2026-08-25,2026-08-26,1,True,False,False,-+,混合,0~5,-5~0,>5,1.9279484928013517,0.6002421881531664,11:15,中10:30~11:30
000534.SZSE,万泽股份,yin2,2025-08-07,2025-08-08,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.0186436338551037,0.8076755493379273,13:15,午13:00~14:00
000534.SZSE,万泽股份,yin2,2026-03-31,2026-04-01,1,True,False,False,-+,混合,-5~0,-5~0,-5~0,0.48272225516431944,0.7939702549719412,10:00,早09:30~10:30
000536.SZSE,华映科技,yang4,2024-09-27,2024-09-30,3,True,True,True,++,全多(10>20>30),>5,>5,>5,1.0986198487225307,0.8692499910055776,13:15,午13:00~14:00
000536.SZSE,华映科技,yang4,2024-12-02,2024-12-03,1,True,False,False,-+,混合,>5,-5~0,0~5,1.8150228783169766,1.0442951437582646,13:15,午13:00~14:00
000536.SZSE,华映科技,yang2,2025-02-24,2025-02-25,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.9262417826835359,0.9814456185471796,09:45,早09:30~10:30
000536.SZSE,华映科技,yang2,2025-03-05,2025-03-06,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.230402197483901,0.4901312788287068,11:15,中10:30~11:30
000539.SZSE,粤电力Ａ,yang2,2026-04-20,2026-04-21,1,True,False,False,-+,混合,>5,>5,>5,1.4571924797488502,0.9811760870624058,10:30,早09:30~10:30
000539.SZSE,粤电力Ａ,yin2,2026-04-22,2026-04-23,0,False,False,False,--,全空(10<20<30),>5,>5,>5,2.4268303263870545,3.2404840724779453,13:30,午13:00~14:00
000539.SZSE,粤电力Ａ,yang4,2026-06-16,2026-06-17,0,False,False,False,++,全多(10>20>30),0~5,0~5,>5,2.064523099161672,0.9698674814416678,10:30,早09:30~10:30
000545.SZSE,金浦钛业,yin2,2026-02-26,2026-02-27,0,False,False,False,++,全多(10>20>30),>5,>5,>5,2.1766536273115222,2.8787947742869413,09:45,早09:30~10:30
000545.SZSE,金浦钛业,yin2,2026-03-05,2026-03-06,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.2289093511797877,0.5113952334575976,10:00,早09:30~10:30
000545.SZSE,金浦钛业,yin2,2026-03-10,2026-03-11,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.8596120822195304,0.7702917277338814,10:30,早09:30~10:30
000547.SZSE,航天发展,yang4,2025-12-03,2025-12-04,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.6125040123902894,1.9753976751931603,10:00,早09:30~10:30
000547.SZSE,航天发展,yang4,2025-12-04,2025-12-05,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.2855587073784625,1.6125040123902894,15:00,尾14:00~15:00
000547.SZSE,航天发展,yang4,2025-12-15,2025-12-16,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.225649049092584,0.9630798791320913,14:30,尾14:00~15:00
000550.SZSE,江铃汽车,yin2,2023-07-24,2023-07-25,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.5461323011594637,0.6223764494041817,,
000550.SZSE,江铃汽车,yang2,2023-07-26,2023-07-27,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.4502370492388972,1.219883918445775,,
000550.SZSE,江铃汽车,yin2,2023-11-16,2023-11-17,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.6177065942191426,2.520979106869205,,
000551.SZSE,创元科技,yin2,2024-10-17,2024-10-18,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.0488256318891052,0.6073206462391098,10:45,中10:30~11:30
000551.SZSE,创元科技,yin4,2026-01-13,2026-01-14,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.4175258902735315,0.9046739627673623,11:30,中10:30~11:30
000554.SZSE,泰山石油,yin2,2025-06-20,2025-06-23,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.8717110852601723,0.7680805609095804,11:00,中10:30~11:30
000555.SZSE,神州信息,yin2,2024-10-28,2024-10-29,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.196000675641333,0.9119865397716307,10:45,中10:30~11:30
000555.SZSE,神州信息,yin2,2025-10-31,2025-11-03,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.488023221408375,1.818088890494282,10:00,早09:30~10:30
000558.SZSE,天府文旅,yin4,2024-12-30,2024-12-31,1,True,False,False,-+,混合,-5~0,<-5,-5~0,0.7898338246064823,0.8682514651288133,09:45,早09:30~10:30
000559.SZSE,万向钱潮,yin4,2025-09-25,2025-09-26,2,True,True,False,++,全多(10>20>30),>5,>5,>5,0.5390459350235461,0.769972415041414,09:45,早09:30~10:30
000559.SZSE,万向钱潮,yin2,2025-10-30,2025-10-31,1,True,False,False,-+,混合,>5,>5,>5,0.6380085872009814,1.0270816556485363,09:45,早09:30~10:30
000560.SZSE,我爱我家,yin2,2024-04-30,2024-05-06,0,False,False,False,--,全空(10<20<30),>5,>5,>5,2.4564104551525485,3.175526456455684,,
000560.SZSE,我爱我家,yang2,2024-05-15,2024-05-16,3,True,True,True,+-,混合,>5,>5,>5,0.7377409205598455,1.452689695955631,,
000561.SZSE,烽火电子,yang2,2024-10-30,2024-10-31,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.342065740385093,1.1974572646758521,11:30,中10:30~11:30
000561.SZSE,烽火电子,yin2,2025-06-16,2025-06-17,0,False,False,False,-+,混合,>5,0~5,>5,2.184953563784972,1.0672860028490996,13:45,午13:00~14:00
000561.SZSE,烽火电子,yin2,2025-06-20,2025-06-23,1,True,False,False,-+,混合,0~5,0~5,>5,0.7887381524783181,0.6108117553534242,13:15,午13:00~14:00
000564.SZSE,供销大集,yang4,2024-11-27,2024-11-28,3,True,True,True,++,全多(10>20>30),>5,>5,>5,0.9899494393459033,0.7848111262860284,13:15,午13:00~14:00
000565.SZSE,渝三峡Ａ,yang4,2025-05-09,2025-05-12,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.2003924516927567,1.4867284948824488,14:00,午13:00~14:00
000565.SZSE,渝三峡Ａ,yang4,2025-05-13,2025-05-14,3,True,True,True,++,全多(10>20>30),>5,>5,>5,1.0131206384461156,0.9798432083163406,15:00,尾14:00~15:00
000565.SZSE,渝三峡Ａ,yang4,2025-05-26,2025-05-27,1,True,False,False,++,全多(10>20>30),-5~0,>5,>5,1.2464598646047929,0.5821943578338791,13:45,午13:00~14:00
000565.SZSE,渝三峡Ａ,yang4,2025-06-03,2025-06-04,1,True,False,False,-+,混合,-5~0,-5~0,>5,0.9014988871388985,0.5266737171570168,13:45,午13:00~14:00
000566.SZSE,海南海药,yang4,2024-09-27,2024-09-30,1,True,False,False,++,全多(10>20>30),0~5,>5,>5,1.1958667192408756,0.7209628914266978,14:00,午13:00~14:00
000566.SZSE,海南海药,yang2,2024-10-30,2024-10-31,0,False,False,False,++,全多(10>20>30),>5,>5,>5,0.9523291400665281,0.5539752886007749,13:15,午13:00~14:00
000566.SZSE,海南海药,yang2,2024-11-04,2024-11-05,3,True,True,True,++,全多(10>20>30),>5,>5,>5,0.6340970297025681,0.4309232471511623,10:00,早09:30~10:30
000566.SZSE,海南海药,yang4,2026-07-14,2026-07-15,2,True,True,False,++,全多(10>20>30),-5~0,>5,>5,0.43819279513231973,0.8414002181718537,09:45,早09:30~10:30
000566.SZSE,海南海药,yin4,2026-07-29,2026-07-30,1,True,False,False,-+,混合,>5,>5,>5,2.2667479424735957,1.8838423599862335,10:00,早09:30~10:30
000566.SZSE,海南海药,yin2,2026-08-24,2026-08-25,1,True,False,False,-+,混合,-5~0,<-5,<-5,0.8701145675056559,0.7325733048485944,10:00,早09:30~10:30
000567.SZSE,海德股份,yang2,2024-09-27,2024-09-30,2,True,True,False,+-,混合,>5,>5,>5,1.8090779381663142,2.580766641064595,13:15,午13:00~14:00
000567.SZSE,海德股份,yang2,2024-10-30,2024-10-31,0,False,False,False,++,全多(10>20>30),>5,>5,>5,2.10667306013979,1.4979640411348116,13:45,午13:00~14:00
000567.SZSE,海德股份,yang2,2024-10-31,2024-11-01,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.9534077270711412,2.10667306013979,13:15,午13:00~14:00
000571.SZSE,新大洲A,yin4,2024-03-27,2024-03-28,1,True,False,False,++,全多(10>20>30),-5~0,>5,>5,0.9131495653888657,0.38787244622203004,,
000571.SZSE,新大洲A,yin2,2026-07-14,2026-07-15,1,True,False,False,++,全多(10>20>30),-5~0,0~5,>5,0.7469343943319009,0.669848307196248,10:45,中10:30~11:30
000572.SZSE,海马汽车,yin2,2025-10-30,2025-10-31,4,True,True,True,++,全多(10>20>30),>5,>5,>5,1.0345709204555091,0.805946211354162,09:45,早09:30~10:30
000572.SZSE,海马汽车,yin4,2025-11-17,2025-11-18,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.1799334579336822,1.119176102400697,09:45,早09:30~10:30
000572.SZSE,海马汽车,yin4,2025-12-01,2025-12-02,1,True,False,False,-+,混合,>5,0~5,>5,1.0148060843628284,0.7082755253164226,11:30,中10:30~11:30
000573.SZSE,粤宏远Ａ,yin4,2025-01-22,2025-01-23,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.2602335671805704,1.0455823430585374,15:00,尾14:00~15:00
000576.SZSE,甘化科工,yang2,2024-12-02,2024-12-03,0,False,False,False,-+,混合,>5,>5,>5,5.110582844225767,1.485576376340961,13:30,午13:00~14:00
000586.SZSE,汇源通信,yang4,2024-03-18,2024-03-19,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.5599849194832531,0.775430523815097,,
000586.SZSE,汇源通信,yin2,2024-08-13,2024-08-14,0,False,False,False,+-,混合,0~5,0~5,0~5,1.8074883426567832,0.970319539288371,,
000586.SZSE,汇源通信,yang2,2025-02-25,2025-02-26,0,False,False,False,++,全多(10>20>30),>5,>5,>5,4.277319325536974,0.8876481274687912,14:30,尾14:00~15:00
000592.SZSE,平潭发展,yang2,2024-11-06,2024-11-07,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.661106440526911,0.5678754175696651,09:45,早09:30~10:30
