组,月,触发,炸板,封D1负,好票,连板,差票率%
4板补涨阳,2006-04,3,3,0,3,0,0
4板补涨阳,2006-05,1,0,0,1,0,0
4板补涨阳,2007-10,2,0,1,1,0,50
4板补涨阳,2009-11,1,0,0,1,0,0
4板补涨阳,2015-04,1,0,0,1,0,0
4板补涨阳,2021-06,1,0,0,1,1,0
4板补涨阳,2021-07,1,0,0,1,0,0
4板补涨阳,2023-04,4,1,1,3,1,25
4板补涨阳,2023-05,6,0,2,4,2,33
4板补涨阳,2023-06,11,6,3,3,0,73
4板补涨阳,2023-07,8,5,2,3,0,62
4板补涨阳,2023-08,4,1,2,1,1,75
4板补涨阳,2023-09,3,2,0,2,0,33
4板补涨阳,2023-10,7,5,1,2,1,71
4板补涨阳,2023-11,10,3,1,6,1,40
4板补涨阳,2023-12,15,6,6,6,1,60
4板补涨阳,2024-01,8,4,3,3,0,62
4板补涨阳,2024-02,7,2,2,3,1,57
4板补涨阳,2024-03,12,3,4,5,2,58
4板补涨阳,2024-04,10,4,4,2,0,80
4板补涨阳,2024-05,5,2,1,3,0,40
4板补涨阳,2024-07,4,0,3,1,0,75
4板补涨阳,2024-08,3,2,1,0,0,100
4板补涨阳,2024-09,7,1,1,6,4,14
4板补涨阳,2024-10,24,6,7,11,4,54
4板补涨阳,2024-11,25,6,8,13,2,48
4板补涨阳,2024-12,24,12,8,7,1,71
4板补涨阳,2025-01,16,6,5,5,2,69
4板补涨阳,2025-02,16,4,9,3,1,81
4板补涨阳,2025-03,8,3,1,4,2,50
4板补涨阳,2025-04,11,6,1,4,2,64
4板补涨阳,2025-05,18,3,8,8,5,56
4板补涨阳,2025-06,23,9,5,12,2,48
4板补涨阳,2025-07,6,2,0,4,2,33
4板补涨阳,2025-08,15,2,7,7,3,53
4板补涨阳,2025-09,6,0,2,4,3,33
4板补涨阳,2025-10,10,3,5,3,1,70
4板补涨阳,2025-11,16,5,5,6,3,62
4板补涨阳,2025-12,26,10,6,11,5,58
4板补涨阳,2026-01,19,5,5,9,3,53
4板补涨阳,2026-02,8,2,1,5,0,38
4板补涨阳,2026-03,11,2,4,5,2,55
4板补涨阳,2026-04,8,4,2,2,1,75
4板补涨阳,2026-05,12,4,3,6,2,50
4板补涨阳,2026-06,11,7,1,5,0,55
4板补涨阳,2026-07,7,2,1,4,2,43
4板补涨阳,2026-08,12,1,3,8,4,33
