代码,名称,买入日,组,N,阴阳,首板日,地基涨跌%,距60日新高%,距60日低点%,均线,地基前20日涨幅%,距前波末板,前波60日最高板,前波120日最高板,b1日,b1板型,b1开盘%,b1下影%,b1换手%,b2日,b2板型,b2开盘%,b2下影%,b2换手%,链,买价,买入开盘%,买入换手%,买入量比,买入日涨停家数,昨日涨停家数,封住,次日开%,次日收%,次日连板,持有到断板%,持有天数,未完,最终高度,结果,坏票,月,年,b3日,b3板型,b3开盘%,b3下影%,b3换手%,四组,胜,链组合,均线归并,b1一字,b1开口,b2一字,b2开口,b3一字,b3开口,链一字数,链开口数,竞价梯度,二板梯度,换手梯度
000428.SZSE,华天酒店,2026-07-30,三接四,3,阴,2026-07-27,-1.94,-23.0,2.0,---,-2.3,-1.0,0,0,07-27,下影,6.9,3.0,3.5,07-28,实体,2.4,0.0,3.1,下影+7→实体+2→下影+10,4.44,9.9,10.7,2.39,46,73,False,-14.86,-5.18,True,-10.14,2.0,False,5,炸板,True,2026-07,2026,07-29,下影,10.1,6.0,4.3,三接四阴,False,下影→实体,其他,0,1,0,0,0,1,0,2,7.5,-4.5,-0.3999999999999999
000965.SZSE,天保基建,2025-04-21,三接四,3,阴,2025-04-16,-2.84,-12.3,14.9,+--,-2.2,232.0,0,0,04-16,下影,6.5,0.3,6.9,04-17,下影,1.5,3.5,12.4,下影+6→下影+1→下影+5,4.51,9.51,5.6,0.65,86,50,True,7.32,9.98,True,5.1,2.0,False,5,连板,False,2025-04,2025,04-18,下影,5.1,5.9,14.1,三接四阴,True,下影→下影,纠缠,0,1,0,1,0,1,0,3,8.01,-5.0,5.5
001267.SZSE,汇绿生态,2026-08-07,三接四,3,阴,2026-08-04,-2.25,-58.2,7.5,---,-33.8,188.0,0,0,08-04,下影,3.1,1.0,4.0,08-05,下影,-3.4,1.2,5.0,下影+3→下影-3→下影+2,42.69,5.67,11.8,1.53,59,69,True,5.86,0.66,False,0.66,1.0,False,4,封次日正,False,2026-08,2026,08-06,下影,1.5,1.3,12.2,三接四阴,True,下影→下影,其他,0,1,0,1,0,1,0,3,9.07,-6.5,1.0
001318.SZSE,阳光乳业,2025-03-19,三接四,3,阴,2025-03-14,-0.87,-23.7,12.5,--+,1.6,-1.0,0,0,03-14,下影,3.3,1.1,25.2,03-17,实体,4.6,0.0,28.5,下影+3→实体+5→下影+3,16.65,9.97,23.8,1.15,40,56,True,8.11,-0.84,False,-0.84,1.0,False,4,封次日负,True,2025-03,2025,03-18,下影,3.0,1.5,22.2,三接四阴,False,下影→实体,其他,0,1,0,0,0,1,0,2,5.370000000000001,1.2999999999999998,3.3000000000000007
002081.SZSE,金 螳 螂,2026-05-06,三接四,3,阴,2026-04-28,-9.41,-18.9,40.2,+++,33.0,3.0,5,5,04-28,下影,0.9,1.6,17.8,04-29,实体,-1.4,0.0,11.9,下影+1→实体-1→下影-4,6.49,6.44,10.2,0.67,88,69,True,7.24,10.02,True,4.78,2.0,False,5,连板,False,2026-05,2026,04-30,下影,-3.5,1.9,21.8,三接四阴,True,下影→实体,全多头,0,1,0,0,0,1,0,2,7.84,-2.3,-5.9
002188.SZSE,中天服务,2025-12-22,三接四,3,阴,2025-12-17,-0.53,-17.6,7.9,---,-15.5,387.0,0,0,12-17,下影,0.4,1.6,8.3,12-18,下影,-2.8,2.4,27.4,下影+0→下影-3→实体+5,8.22,10.04,46.4,2.25,72,65,False,-22.99,-20.44,False,-20.44,1.0,False,3,炸板,True,2025-12,2025,12-19,实体,4.9,0.3,15.9,三接四阴,False,下影→下影,其他,0,1,0,1,0,0,0,2,12.84,-3.1999999999999997,19.099999999999998
002202.SZSE,金风科技,2026-01-09,三接四,3,阴,2026-01-06,6.96,-4.2,56.3,+++,45.2,-1.0,0,0,01-06,下影,-2.8,1.9,18.4,01-07,下影,2.1,2.9,20.3,下影-3→下影+2→下影-2,31.94,9.99,16.7,0.9,79,77,True,6.42,9.99,True,6.29,2.0,False,5,连板,False,2026-01,2026,01-08,下影,-1.5,1.8,18.1,三接四阴,True,下影→下影,全多头,0,1,0,1,0,1,0,3,7.890000000000001,4.9,1.9000000000000021
002361.SZSE,神剑股份,2025-12-23,三接四,3,阴,2025-12-18,-3.3,-9.4,11.6,++-,3.8,234.0,0,0,12-18,下影,-0.9,0.7,7.9,12-19,下影,3.6,1.2,31.0,下影-1→下影+4→下影+10,9.89,9.9,41.6,1.74,48,72,True,-3.24,10.01,True,31.85,5.0,False,8,连板,False,2025-12,2025,12-22,下影,10.0,9.1,31.5,三接四阴,True,下影→下影,其他,0,1,0,1,0,1,0,3,6.300000000000001,4.5,23.1
002421.SZSE,达实智能,2026-05-20,三接四,3,阴,2026-05-15,-3.63,-5.2,20.2,+++,7.4,-1.0,0,0,05-15,下影,0.7,1.4,11.4,05-18,下影,0.0,1.9,17.0,下影+1→下影+0→一字+10,4.27,10.05,26.1,2.15,51,75,True,2.58,-7.26,False,-7.26,1.0,False,4,封次日负,True,2026-05,2026,05-19,一字,9.9,0.0,3.1,三接四阴,False,下影→下影,全多头,0,1,0,1,1,0,1,2,10.05,-0.7,5.6
002580.SZSE,圣阳股份,2026-04-14,三接四,3,阴,2026-04-09,-2.55,-19.1,26.3,+++,15.8,270.0,0,0,04-09,下影,-1.1,3.1,25.1,04-10,下影,0.0,2.4,41.6,下影-1→下影+0→下影+2,22.97,9.15,39.0,1.3,49,52,True,6.57,10.01,True,43.67,4.0,False,7,连板,False,2026-04,2026,04-13,下影,2.5,0.5,22.6,三接四阴,True,下影→下影,全多头,0,1,0,1,0,1,0,3,9.15,1.1,16.5
002611.SZSE,东方精工,2024-11-19,三接四,3,阴,2024-11-14,-1.63,-7.0,44.6,+++,24.1,75.0,0,2,11-14,下影,-0.6,1.8,13.0,11-15,下影,2.8,0.6,15.5,下影-1→下影+3→一字+10,10.64,10.03,22.9,1.94,79,74,True,9.96,9.96,True,31.77,5.0,False,8,连板,False,2024-11,2024,11-18,一字,10.0,0.0,1.2,三接四阴,True,下影→下影,全多头,0,1,0,1,1,0,1,2,7.2299999999999995,3.4,2.5
002767.SZSE,先锋电子,2025-01-21,三接四,3,阴,2025-01-16,0.0,-21.7,11.3,+--,-7.8,146.0,0,0,01-16,下影,10.0,1.5,4.0,01-17,下影,0.0,3.1,14.7,下影+10→下影+0→一字+10,19.14,10.0,13.3,1.84,38,62,True,-5.43,-9.98,False,-9.98,1.0,False,4,封次日负,True,2025-01,2025,01-20,一字,10.0,0.0,2.3,三接四阴,False,下影→下影,纠缠,0,1,0,1,1,0,1,2,10.0,-10.0,10.7
600103.SSE,青山纸业,2026-08-28,三接四,3,阴,2026-08-25,-0.69,-32.7,19.2,-++,6.3,86.0,0,2,08-25,下影,0.0,1.0,7.5,08-26,下影,1.6,1.0,10.2,下影+0→下影+2→下影+7,4.2,9.95,33.8,2.82,77,66,False,-12.86,-9.29,False,-9.29,1.0,False,3,炸板,True,2026-08,2026,08-27,下影,6.9,2.9,6.1,三接四阴,False,下影→下影,纠缠,0,1,0,1,0,1,0,3,8.35,1.6,2.6999999999999993
600397.SSE,江钨装备,2026-06-22,三接四,3,阴,2026-06-16,3.06,-14.8,18.8,++-,8.7,75.0,0,2,06-16,下影,-1.1,0.5,6.7,06-17,下影,2.5,3.6,14.7,下影-1→下影+3→下影+0,22.22,8.81,2.5,0.27,122,75,True,9.99,9.99,True,14.81,2.0,False,5,连板,False,2026-06,2026,06-18,下影,0.0,2.1,15.5,三接四阴,True,下影→下影,其他,0,1,0,1,0,1,0,3,6.3100000000000005,3.6,7.999999999999999
600397.SSE,江钨装备,2026-08-07,三接四,3,阴,2026-08-04,0.56,-60.1,4.6,---,-45.1,30.0,5,5,08-04,下影,1.0,0.8,8.0,08-05,实体,0.4,0.1,14.8,下影+1→实体+0→实体+7,18.58,7.28,21.8,2.04,59,69,False,-2.74,-3.71,False,-3.71,1.0,False,3,炸板,True,2026-08,2026,08-06,实体,7.5,0.0,2.4,三接四阴,False,下影→实体,其他,0,1,0,0,0,0,0,1,6.88,-0.6,6.800000000000001
600628.SSE,新世界,2024-11-28,三接四,3,阴,2024-11-25,-2.7,-10.4,24.6,-++,1.9,-1.0,0,0,11-25,下影,0.3,0.9,5.8,11-26,下影,-0.1,2.4,8.7,下影+0→下影-0→下影-1,10.01,7.47,4.1,0.62,75,77,True,9.99,9.99,True,9.29,3.0,False,6,连板,False,2024-11,2024,11-27,下影,-1.1,5.9,13.7,三接四阴,True,下影→下影,纠缠,0,1,0,1,0,1,0,3,7.569999999999999,-0.4,2.8999999999999995
