代码,名称,买入日,组,N,阴阳,首板日,地基涨跌%,距60日新高%,距60日低点%,均线,地基前20日涨幅%,距前波末板,前波60日最高板,前波120日最高板,b1日,b1板型,b1开盘%,b1下影%,b1换手%,b2日,b2板型,b2开盘%,b2下影%,b2换手%,链,买价,买入开盘%,买入换手%,买入量比,买入日涨停家数,昨日涨停家数,封住,次日开%,次日收%,次日连板,持有到断板%,持有天数,未完,最终高度,结果,坏票,月,年,b3日,b3板型,b3开盘%,b3下影%,b3换手%,四组,胜,链组合,均线归并,b1一字,b1开口,b2一字,b2开口,b3一字,b3开口,链一字数,链开口数,竞价梯度,二板梯度,换手梯度
002685.SZSE,华东重机,2024-10-29,二接三,2,阴,2024-10-25,-6.88,-15.3,155.6,+++,109.7,2.0,4,4,10-25,下影,4.3,3.0,25.8,10-28,下影,5.7,2.2,14.6,下影+4→下影+6,9.19,10.06,8.9,0.53,93,179,False,-8.27,3.81,True,11.75,2.0,False,4,炸板,False,2024-10,2024,,,,,,二接三阴,True,下影→下影,全多头,0,1,0,1,0,0,0,2,4.36,1.4000000000000004,-11.200000000000001
002693.SZSE,双成药业,2024-11-21,二接三,2,阴,2024-11-19,1.4,-45.0,420.3,--+,-20.7,16.0,14,14,11-19,下影,3.4,0.8,5.1,11-20,一字,10.0,0.0,1.3,下影+3→一字+10,29.99,10.01,17.0,1.69,88,119,True,-3.3,-9.67,False,-9.67,1.0,False,3,封次日负,True,2024-11,2024,,,,,,二接三阴,False,下影→一字,其他,0,1,1,0,0,0,1,1,0.009999999999999787,6.6,-3.8
002713.SZSE,东易日盛,2024-10-23,二接三,2,阴,2024-10-21,-3.66,-13.4,61.2,+++,30.0,69.0,0,4,10-21,下影,3.2,0.3,8.8,10-22,下影,10.1,4.0,4.7,下影+3→下影+10,4.21,9.92,10.0,1.06,76,85,False,-7.6,0.0,True,16.39,4.0,False,6,炸板,False,2024-10,2024,,,,,,二接三阴,False,下影→下影,全多头,0,1,0,1,0,0,0,2,-0.17999999999999972,6.8999999999999995,-4.1000000000000005
600078.SSE,澄星股份,2026-02-26,二接三,2,阴,2026-02-24,-0.62,-23.5,18.3,--+,10.6,68.0,0,4,02-24,实体,4.0,0.0,2.3,02-25,一字,10.0,0.0,3.2,实体+4→一字+10,14.81,10.03,6.7,1.8,52,61,True,-3.24,-4.39,False,-4.39,1.0,False,3,封次日负,True,2026-02,2026,,,,,,二接三阴,False,实体→一字,其他,0,0,1,0,0,0,1,0,0.02999999999999936,6.0,0.9000000000000004
600579.SSE,中化装备,2024-12-20,二接三,2,阴,2024-12-18,0.12,-9.0,60.0,+++,20.6,37.0,3,3,12-18,下影,5.4,2.1,5.2,12-19,下影,8.9,3.0,10.5,下影+5→下影+9,10.92,0.7,10.0,1.19,68,50,True,-9.98,9.98,True,16.03,3.0,False,5,连板,False,2024-12,2024,,,,,,二接三阴,True,下影→下影,全多头,0,1,0,1,0,0,0,2,-8.200000000000001,3.5,5.3
600590.SSE,泰豪科技,2025-02-21,二接三,2,阴,2025-02-19,2.28,-10.3,44.4,+++,35.3,31.0,3,3,02-19,下影,4.8,2.1,15.8,02-20,实体,2.6,0.0,10.0,下影+5→实体+3,8.36,10.0,8.1,0.76,82,76,True,10.05,10.05,True,7.42,2.0,False,4,连板,False,2025-02,2025,,,,,,二接三阴,True,下影→实体,全多头,0,1,0,0,0,0,0,1,7.4,-2.1999999999999997,-5.800000000000001
600654.SSE,中安科,2024-11-15,二接三,2,阴,2024-11-13,-3.28,-12.2,72.7,+++,54.6,2.0,3,3,11-13,实体,3.1,0.3,10.6,11-14,下影,9.3,5.7,9.3,实体+3→下影+9,4.71,0.47,22.3,1.77,53,27,True,9.98,9.98,True,2.76,2.0,False,4,连板,False,2024-11,2024,,,,,,二接三阴,True,实体→下影,全多头,0,0,0,1,0,0,0,1,-8.83,6.200000000000001,-1.299999999999999
601008.SSE,连云港,2025-05-15,二接三,2,阴,2025-05-13,0.0,-28.8,39.9,--+,-10.4,11.0,6,6,05-13,实体,3.3,0.0,17.0,05-14,下影,3.2,0.9,16.3,实体+3→下影+3,6.77,6.18,8.7,0.8,40,51,True,0.0,10.04,True,9.01,3.0,False,5,连板,False,2025-05,2025,,,,,,二接三阴,True,实体→下影,其他,0,0,0,1,0,0,0,1,2.9799999999999995,-0.09999999999999964,-0.6999999999999993
603106.SSE,恒银科技,2024-10-28,二接三,2,阴,2024-10-24,-0.61,-12.8,143.2,+++,118.9,11.0,8,8,10-24,下影,4.2,5.9,23.4,10-25,下影,-4.0,3.0,21.4,下影+4→下影-4,13.11,9.9,12.2,0.64,179,121,True,9.99,-9.99,False,-9.99,1.0,False,3,封次日负,True,2024-10,2024,,,,,,二接三阴,False,下影→下影,全多头,0,1,0,1,0,0,0,2,13.9,-8.2,-2.0
603488.SSE,展鹏科技,2024-04-24,二接三,2,阴,2024-04-22,-2.23,-24.0,31.9,---,-20.3,99.0,0,4,04-22,下影,3.8,0.8,0.8,04-23,一字,10.0,0.0,0.7,下影+4→一字+10,10.51,10.05,12.6,3.76,31,36,False,-20.08,-18.46,False,-18.46,1.0,False,2,炸板,True,2024-04,2024,,,,,,二接三阴,False,下影→一字,其他,0,1,1,0,0,0,1,1,0.05000000000000071,6.2,-0.10000000000000009
603618.SSE,杭电股份,2026-05-08,二接三,2,阴,2026-05-06,-4.11,-14.7,257.3,+++,-0.4,6.0,4,4,05-06,下影,3.5,0.9,3.8,05-07,下影,4.9,0.5,6.4,下影+4→下影+5,37.62,0.82,13.9,1.45,89,91,True,4.2,-0.85,False,-0.85,1.0,False,3,封次日负,True,2026-05,2026,,,,,,二接三阴,False,下影→下影,全多头,0,1,0,1,0,0,0,2,-4.08,1.4000000000000004,2.6000000000000005
603938.SSE,三孚股份,2026-06-24,二接三,2,阴,2026-06-22,-2.92,-16.9,151.5,-++,6.4,22.0,3,3,06-22,实体,3.2,0.0,5.9,06-23,下影,8.3,7.0,10.0,实体+3→下影+8,71.63,1.66,13.6,1.47,87,87,True,3.64,-2.72,False,-2.72,1.0,False,3,封次日负,True,2026-06,2026,,,,,,二接三阴,False,实体→下影,纠缠,0,0,0,1,0,0,0,1,-6.640000000000001,5.1000000000000005,4.1
603958.SSE,哈森股份,2024-02-05,二接三,2,阴,2024-02-01,-9.99,-45.8,21.9,-++,15.1,6.0,7,7,02-01,实体,4.1,0.0,5.5,02-02,一字,10.0,0.0,1.4,实体+4→一字+10,13.92,2.77,16.8,1.66,15,25,True,-2.08,-9.99,False,-9.99,1.0,False,3,封次日负,True,2024-02,2024,,,,,,二接三阴,False,实体→一字,纠缠,0,0,1,0,0,0,1,0,-7.23,5.9,-4.1
