代码,名称,买入日,组,N,阴阳,首板日,地基涨跌%,距60日新高%,距60日低点%,均线,地基前20日涨幅%,距前波末板,前波60日最高板,前波120日最高板,b1日,b1板型,b1开盘%,b1下影%,b1换手%,b2日,b2板型,b2开盘%,b2下影%,b2换手%,链,买价,买入开盘%,买入换手%,买入量比,买入日涨停家数,昨日涨停家数,封住,次日开%,次日收%,次日连板,持有到断板%,持有天数,未完,最终高度,结果,坏票,月,年,b3日,b3板型,b3开盘%,b3下影%,b3换手%,四组,胜,换手梯度
603099.SSE,长白山,2024-01-05,三接四,3,阳,2024-01-02,3.88,-10.1,23.3,---,-2.6,128.0,0,0,01-02,下影,1.7,1.3,5.0,01-03,实体,0.9,0.0,11.6,下影+2→实体+1→下影+7,21.93,7.17,13.9,1.55,18,37,True,4.01,9.99,True,35.43,4.0,False,7,连板,False,2024-01,2024,01-04,下影,6.8,6.2,12.3,三接四阳,True,6.6
603221.SSE,爱丽家居,2025-04-09,三接四,3,阳,2025-04-03,1.17,-11.0,19.0,--+,-0.7,245.0,0,0,04-03,下影,0.7,0.6,2.9,04-07,一字,10.0,0.0,3.3,下影+1→一字+10→下影+0,13.95,9.62,18.1,2.38,87,99,True,-9.96,-9.25,False,-9.25,1.0,False,4,封次日负,True,2025-04,2025,04-08,下影,0.0,2.0,12.9,三接四阳,False,0.3999999999999999
603332.SSE,苏州龙杰,2025-05-14,三接四,3,阳,2025-05-09,1.87,-12.1,33.0,++-,14.4,322.0,0,0,05-09,下影,0.0,1.0,5.2,05-12,一字,10.0,0.0,0.9,下影+0→一字+10→一字+10,14.36,10.04,21.1,3.41,51,41,True,-4.94,10.03,True,2.3,2.0,False,5,连板,False,2025-05,2025,05-13,一字,10.0,0.0,1.2,三接四阳,True,-4.3
603577.SSE,汇金通,2024-01-03,三接四,3,阳,2023-12-28,2.02,-10.8,2.6,---,-9.7,,0,0,12-28,实体,-0.5,0.0,1.9,12-29,实体,8.1,0.2,2.4,实体-0→实体+8→下影+10,12.58,9.62,3.8,0.87,33,48,True,-1.43,-4.21,False,-4.21,1.0,False,4,封次日负,True,2024-01,2024,01-02,下影,9.6,6.5,13.3,三接四阳,False,0.5
603657.SSE,春光科技,2025-05-09,三接四,3,阳,2025-05-06,0.78,-11.9,25.9,++-,2.6,250.0,0,0,05-06,下影,1.0,0.9,4.8,05-07,下影,3.5,1.4,5.8,下影+1→下影+3→下影+7,24.64,0.0,17.1,2.54,27,51,True,0.24,9.98,True,4.71,2.0,False,5,连板,False,2025-05,2025,05-08,下影,7.0,1.7,3.6,三接四阳,True,1.0
603696.SSE,安记食品,2025-04-18,三接四,3,阳,2025-04-15,2.42,-8.1,16.0,---,-4.8,,0,0,04-15,下影,0.0,0.8,9.4,04-16,下影,0.0,2.7,18.3,下影+0→下影+0→下影+9,12.42,10.01,10.3,1.07,50,78,True,-3.54,9.98,True,8.94,3.0,False,6,连板,False,2025-04,2025,04-17,下影,9.3,2.2,7.0,三接四阳,True,8.9
603696.SSE,安记食品,2025-12-05,三接四,3,阳,2025-12-02,2.62,-8.7,17.5,+-+,10.6,150.0,0,0,12-02,下影,1.2,3.5,11.6,12-03,下影,10.0,10.0,26.0,下影+1→下影+10→实体+6,19.47,-2.03,10.4,0.68,58,30,True,10.02,10.02,True,18.18,3.0,False,6,连板,False,2025-12,2025,12-04,实体,5.7,0.0,19.8,三接四阳,True,14.4
605069.SSE,正和生态,2023-08-23,三接四,3,阳,2023-08-18,0.43,-13.8,15.3,+-+,3.9,,0,0,08-18,实体,-0.2,0.0,9.7,08-21,下影,4.6,0.9,17.5,实体-0→下影+5→下影+9,13.81,5.98,30.3,1.42,25,33,True,-7.31,9.99,True,-1.01,2.0,False,5,连板,False,2023-08,2023,08-22,下影,8.5,9.5,45.7,三接四阳,True,7.800000000000001
605118.SSE,力鼎光电,2024-01-02,三接四,3,阳,2023-12-27,1.28,-9.3,32.6,--+,5.3,141.0,0,0,12-27,实体,-0.6,0.0,5.7,12-28,下影,-2.6,0.9,7.4,实体-1→下影-3→下影-1,26.61,0.99,2.0,0.43,48,54,True,0.26,10.0,True,-1.01,2.0,False,5,连板,False,2024-01,2024,12-29,下影,-0.5,6.7,6.2,三接四阳,True,1.7000000000000002
605136.SSE,丽人丽妆,2025-05-20,三接四,3,阳,2025-05-15,0.91,-12.2,34.1,+-+,12.9,,0,0,05-15,实体,3.3,0.0,6.1,05-16,一字,10.0,0.0,3.1,实体+3→一字+10→下影+0,11.41,4.24,9.5,1.15,61,66,True,9.99,9.99,True,15.6,2.0,False,5,连板,False,2025-05,2025,05-19,下影,0.2,1.4,19.9,三接四阳,True,-2.9999999999999996
605179.SSE,一鸣食品,2024-11-29,三接四,3,阳,2024-11-26,3.27,-14.0,24.2,--+,-1.7,155.0,0,0,11-26,实体,-0.4,0.1,2.3,11-27,下影,0.9,4.0,8.6,实体-0→下影+1→下影-3,14.8,-2.6,8.1,1.39,105,75,True,5.07,10.0,True,106.01,9.0,False,12,连板,False,2024-11,2024,11-28,下影,-2.9,2.1,9.2,三接四阳,True,6.3
