代码,名称,买入日,组,N,阴阳,首板日,地基涨跌%,距60日新高%,距60日低点%,均线,地基前20日涨幅%,距前波末板,前波60日最高板,前波120日最高板,b1日,b1板型,b1开盘%,b1下影%,b1换手%,b2日,b2板型,b2开盘%,b2下影%,b2换手%,链,买价,买入开盘%,买入换手%,买入量比,买入日涨停家数,昨日涨停家数,封住,次日开%,次日收%,次日连板,持有到断板%,持有天数,未完,最终高度,结果,坏票,月,年,b3日,b3板型,b3开盘%,b3下影%,b3换手%,四组,胜,链组合,均线归并,b1一字,b1开口,b2一字,b2开口,b3一字,b3开口,链一字数,链开口数,竞价梯度,二板梯度,换手梯度
000605.SZSE,渤海股份,2024-11-20,二接三,2,阴,2024-11-18,-0.36,-9.4,100.5,+++,60.3,6.0,4,4,11-18,下影,7.1,3.8,17.6,11-19,下影,0.0,7.8,13.6,下影+7→下影+0,11.18,10.04,3.8,0.32,119,79,True,10.02,10.02,True,8.94,3.0,False,5,连板,False,2024-11,2024,,,,,,二接三阴,True,下影→下影,全多头,0,1,0,1,0,0,0,2,10.04,-7.1,-4.000000000000002
000823.SZSE,超声电子,2026-06-26,二接三,2,阴,2026-06-24,-10.02,-14.5,69.4,+++,30.9,-1.0,0,0,06-24,实体,-3.9,0.0,21.8,06-25,下影,6.2,2.0,8.3,实体-4→下影+6,28.46,10.01,17.9,1.02,51,77,True,0.74,-8.85,False,-8.85,1.0,False,3,封次日负,True,2026-06,2026,,,,,,二接三阴,False,实体→下影,全多头,0,0,0,1,0,0,0,1,3.8099999999999996,10.1,-13.5
002085.SZSE,万丰奥威,2024-11-01,二接三,2,阴,2024-10-30,-4.63,-9.4,51.2,+++,34.6,123.0,0,0,10-30,下影,-1.5,0.9,5.7,10-31,下影,10.0,2.1,4.9,下影-2→下影+10,22.76,10.0,27.0,2.16,74,141,True,-3.34,-4.31,False,-4.31,1.0,False,3,封次日负,True,2024-11,2024,,,,,,二接三阴,False,下影→下影,全多头,0,1,0,1,0,0,0,2,0.0,11.5,-0.7999999999999998
002181.SZSE,粤 传 媒,2024-12-19,二接三,2,阴,2024-12-17,-4.28,-12.9,147.6,+++,85.4,2.0,4,4,12-17,实体,-0.3,0.0,20.0,12-18,实体,4.3,0.1,3.4,实体-0→实体+4,10.12,10.0,17.1,1.31,50,84,True,-9.98,-9.98,False,-9.98,1.0,False,3,封次日负,True,2024-12,2024,,,,,,二接三阴,False,实体→实体,全多头,0,0,0,0,0,0,0,0,5.7,4.6,-16.6
002342.SZSE,巨力索具,2026-01-23,二接三,2,阴,2026-01-21,-5.75,-30.4,50.7,+++,40.7,6.0,4,4,01-21,下影,-0.2,2.2,18.5,01-22,实体,5.3,0.0,10.9,下影-0→实体+5,13.54,9.67,7.2,0.43,79,63,True,7.24,1.26,False,1.26,1.0,False,3,封次日正,False,2026-01,2026,,,,,,二接三阴,True,下影→实体,全多头,0,1,0,0,0,0,0,1,4.37,5.5,-7.6
002369.SZSE,卓翼科技,2025-02-21,二接三,2,阴,2025-02-19,-5.01,-23.2,31.2,+++,30.4,38.0,2,3,02-19,实体,0.8,0.0,12.8,02-20,一字,10.1,0.0,1.9,实体+1→一字+10,10.35,9.99,16.0,1.21,82,76,True,5.12,10.05,True,20.48,3.0,False,5,连板,False,2025-02,2025,,,,,,二接三阴,True,实体→一字,全多头,0,0,1,0,0,0,1,0,-0.10999999999999943,9.299999999999999,-10.9
002403.SZSE,爱仕达,2024-12-10,二接三,2,阴,2024-12-06,-9.97,-20.7,127.6,+++,32.1,4.0,5,5,12-06,下影,-3.7,2.9,19.1,12-09,下影,1.6,1.6,26.9,下影-4→下影+2,19.0,10.02,4.9,0.24,82,83,True,0.74,10.0,True,12.0,2.0,False,4,连板,False,2024-12,2024,,,,,,二接三阴,True,下影→下影,全多头,0,1,0,1,0,0,0,2,8.42,5.300000000000001,7.799999999999997
002465.SZSE,海格通信,2026-01-14,二接三,2,阴,2026-01-12,-1.53,-8.9,78.1,+++,52.6,4.0,2,2,01-12,下影,4.7,1.6,14.9,01-13,下影,10.0,7.7,12.7,下影+5→下影+10,26.62,10.0,25.9,1.35,79,52,True,-9.99,-9.99,False,-9.99,1.0,False,3,封次日负,True,2026-01,2026,,,,,,二接三阴,False,下影→下影,全多头,0,1,0,1,0,0,0,2,0.0,5.3,-2.200000000000001
002469.SZSE,三维化学,2024-11-22,二接三,2,阴,2024-11-20,3.87,-5.4,99.3,+++,68.5,2.0,4,4,11-20,一字,10.0,0.0,5.6,11-21,一字,10.0,0.0,1.4,一字+10→一字+10,12.14,9.96,23.6,1.73,60,88,False,7.83,7.83,True,-2.97,2.0,False,4,炸板,False,2024-11,2024,,,,,,二接三阴,True,一字→一字,全多头,1,0,1,0,0,0,2,0,-0.03999999999999915,0.0,-4.199999999999999
002560.SZSE,通达股份,2025-05-19,二接三,2,阴,2025-05-15,-1.18,-7.5,48.4,+++,31.5,-1.0,0,0,05-15,下影,-0.3,2.3,29.2,05-16,下影,7.0,4.4,24.2,下影-0→下影+7,10.0,10.01,53.1,1.81,66,51,False,-9.9,-16.1,False,-16.1,1.0,False,2,炸板,True,2025-05,2025,,,,,,二接三阴,False,下影→下影,全多头,0,1,0,1,0,0,0,2,3.01,7.3,-5.0
002593.SZSE,日上集团,2024-12-06,二接三,2,阴,2024-12-04,-5.48,-14.0,85.7,+++,44.7,2.0,4,4,12-04,下影,10.1,12.4,40.9,12-05,实体,3.5,0.0,7.8,下影+10→实体+4,6.2,9.93,17.0,0.88,94,103,True,2.1,10.0,True,31.77,5.0,False,7,连板,False,2024-12,2024,,,,,,二接三阴,True,下影→实体,全多头,0,1,0,0,0,0,0,1,6.43,-6.6,-33.1
002685.SZSE,华东重机,2024-10-29,二接三,2,阴,2024-10-25,-6.88,-15.3,155.6,+++,109.7,2.0,4,4,10-25,下影,4.3,3.0,25.8,10-28,下影,5.7,2.2,14.6,下影+4→下影+6,9.19,10.06,8.9,0.53,93,179,False,-8.27,3.81,True,11.75,2.0,False,4,炸板,False,2024-10,2024,,,,,,二接三阴,True,下影→下影,全多头,0,1,0,1,0,0,0,2,4.36,1.4000000000000004,-11.200000000000001
002713.SZSE,东易日盛,2024-10-23,二接三,2,阴,2024-10-21,-3.66,-13.4,61.2,+++,30.0,69.0,0,4,10-21,下影,3.2,0.3,8.8,10-22,下影,10.1,4.0,4.7,下影+3→下影+10,4.21,9.92,10.0,1.06,76,85,False,-7.6,0.0,True,16.39,4.0,False,6,炸板,False,2024-10,2024,,,,,,二接三阴,False,下影→下影,全多头,0,1,0,1,0,0,0,2,-0.17999999999999972,6.8999999999999995,-4.1000000000000005
