代码,名称,买入日,组,N,阴阳,首板日,地基涨跌%,距60日新高%,距60日低点%,均线,地基前20日涨幅%,距前波末板,前波60日最高板,前波120日最高板,b1日,b1板型,b1开盘%,b1下影%,b1换手%,b2日,b2板型,b2开盘%,b2下影%,b2换手%,链,买价,买入开盘%,买入换手%,买入量比,买入日涨停家数,昨日涨停家数,封住,次日开%,次日收%,次日连板,持有到断板%,持有天数,未完,最终高度,结果,坏票,月,年,b3日,b3板型,b3开盘%,b3下影%,b3换手%,四组,胜,链组合,均线归并,b1一字,b1开口,b2一字,b2开口,b3一字,b3开口,链一字数,链开口数,竞价梯度,二板梯度,换手梯度
600475.SSE,华光环能,2025-08-07,二接三,2,阴,2025-08-05,0.21,-26.0,51.0,--+,4.6,18.0,6,6,08-05,下影,0.5,1.7,3.6,08-06,实体,0.5,0.0,4.3,下影+0→实体+1,19.26,2.8,1.7,0.68,47,46,True,6.44,10.02,True,18.8,2.0,False,4,连板,False,2025-08,2025,,,,,,二接三阴,True,下影→实体,其他,0,1,0,0,0,0,0,1,2.3,0.0,0.6999999999999997
600503.SSE,华丽家族,2024-12-12,二接三,2,阴,2024-12-10,-8.91,-15.7,88.7,+++,23.3,2.0,3,3,12-10,下影,10.1,4.4,11.5,12-11,下影,5.2,3.4,12.7,下影+10→下影+5,4.22,4.17,29.8,1.89,119,119,False,-18.25,-19.91,False,-19.91,1.0,False,2,炸板,True,2024-12,2024,,,,,,二接三阴,False,下影→下影,全多头,0,1,0,1,0,0,0,2,-1.0300000000000002,-4.8999999999999995,1.1999999999999993
600550.SSE,保变电气,2024-09-13,二接三,2,阴,2024-09-11,-3.32,-12.1,51.7,+++,31.1,5.0,3,3,09-11,下影,-5.9,4.1,13.8,09-12,下影,-0.7,0.4,14.6,下影-6→下影-1,8.51,-0.78,11.0,0.98,31,26,True,2.82,7.99,False,7.99,1.0,False,3,封次日正,False,2024-09,2024,,,,,,二接三阴,True,下影→下影,全多头,0,1,0,1,0,0,0,2,-0.08000000000000007,5.2,0.7999999999999989
600676.SSE,久事动娱,2024-07-29,二接三,2,阴,2024-07-25,-9.89,-24.1,27.2,+++,19.9,5.0,3,3,07-25,实体,-2.7,0.0,6.5,07-26,下影,2.7,2.7,6.8,实体-3→下影+3,4.49,7.84,4.2,0.68,47,44,True,8.91,10.02,True,4.01,2.0,False,4,连板,False,2024-07,2024,,,,,,二接三阴,True,实体→下影,全多头,0,0,0,1,0,0,0,1,5.14,5.4,0.2999999999999998
600800.SSE,渤海化学,2025-04-18,二接三,2,阴,2025-04-16,-0.73,-22.1,21.4,---,-12.3,94.0,0,7,04-16,下影,-0.4,4.8,6.6,04-17,下影,-0.7,0.7,7.5,下影-0→下影-1,3.62,0.0,15.1,2.36,50,78,False,-15.47,-13.81,False,-13.81,1.0,False,2,炸板,True,2025-04,2025,,,,,,二接三阴,False,下影→下影,其他,0,1,0,1,0,0,0,2,0.7,-0.29999999999999993,0.9000000000000004
603052.SSE,可川科技,2026-05-14,二接三,2,阴,2026-05-12,-2.89,-11.6,60.4,-++,34.7,13.0,3,3,05-12,一字,10.0,0.0,0.9,05-13,一字,10.0,0.0,1.8,一字+10→一字+10,115.38,10.0,4.0,1.04,50,101,True,-0.42,-1.66,False,-1.66,1.0,False,3,封次日负,True,2026-05,2026,,,,,,二接三阴,False,一字→一字,纠缠,1,0,1,0,0,0,2,0,0.0,0.0,0.9
603186.SSE,华正新材,2026-08-06,二接三,2,阴,2026-08-04,-8.7,-63.5,17.4,---,-47.1,33.0,3,3,08-04,下影,2.0,2.6,7.6,08-05,下影,0.9,1.8,9.1,下影+2→下影+1,131.24,2.25,15.2,1.46,69,93,False,0.81,8.96,True,15.82,2.0,False,4,炸板,False,2026-08,2026,,,,,,二接三阴,True,下影→下影,其他,0,1,0,1,0,0,0,2,1.35,-1.1,1.5
603280.SSE,南方路机,2025-07-30,二接三,2,阴,2025-07-28,-1.99,-10.9,62.7,+++,48.6,2.0,4,4,07-28,下影,6.8,2.6,46.1,07-29,下影,3.0,4.6,47.8,下影+7→下影+3,49.87,1.46,47.6,1.06,40,33,True,4.27,10.01,True,15.24,2.0,False,4,连板,False,2025-07,2025,,,,,,二接三阴,True,下影→下影,全多头,0,1,0,1,0,0,0,2,-1.54,-3.8,1.6999999999999957
603389.SSE,亚振家居,2024-05-16,二接三,2,阴,2024-05-14,-3.83,-50.9,36.4,-+-,-13.9,28.0,5,5,05-14,下影,7.7,5.2,6.8,05-15,实体,0.4,0.2,7.0,下影+8→实体+0,5.69,6.0,3.5,0.72,30,22,True,10.02,10.02,True,8.96,3.0,False,5,连板,False,2024-05,2024,,,,,,二接三阴,True,下影→实体,其他,0,1,0,0,0,0,0,1,5.6,-7.3,0.20000000000000018
605598.SSE,上海港湾,2025-12-26,二接三,2,阴,2025-12-24,0.97,-8.1,109.2,-++,4.4,91.0,0,3,12-24,实体,-7.4,0.0,4.4,12-25,下影,5.6,0.4,4.4,实体-7→下影+6,68.09,2.1,7.0,1.13,69,72,True,-3.6,3.76,False,3.76,1.0,False,3,封次日正,False,2025-12,2025,,,,,,二接三阴,True,实体→下影,纠缠,0,0,0,1,0,0,0,1,-3.4999999999999996,13.0,0.0
