代码,名称,买入日,组,N,阴阳,首板日,地基涨跌%,距60日新高%,距60日低点%,均线,地基前20日涨幅%,距前波末板,前波60日最高板,前波120日最高板,b1日,b1板型,b1开盘%,b1下影%,b1换手%,b2日,b2板型,b2开盘%,b2下影%,b2换手%,链,买价,买入开盘%,买入换手%,买入量比,买入日涨停家数,昨日涨停家数,封住,次日开%,次日收%,次日连板,持有到断板%,持有天数,未完,最终高度,结果,坏票,月,年,b3日,b3板型,b3开盘%,b3下影%,b3换手%,四组,胜,链组合,均线归并,b1一字,b1开口,b2一字,b2开口,b3一字,b3开口,链一字数,链开口数,竞价梯度,二板梯度,换手梯度
000568.SZSE,泸州老窖,2024-09-30,二接三,2,阴,2024-09-26,1.67,-23.9,13.7,+--,-5.1,-1.0,0,0,09-26,下影,1.2,0.7,2.3,09-27,下影,6.7,1.6,2.6,下影+1→下影+7,149.7,10.0,2.2,1.03,626,107,True,10.0,6.21,False,6.21,1.0,False,3,封次日正,False,2024-09,2024,,,,,,二接三阴,True,下影→下影,纠缠,0,1,0,1,0,0,0,2,3.3,5.5,0.30000000000000027
000596.SZSE,古井贡酒,2024-09-30,二接三,2,阴,2024-09-26,0.22,-29.5,9.1,+--,-9.7,-1.0,0,0,09-26,实体,-0.3,0.2,1.3,09-27,下影,6.1,1.1,1.3,实体-0→下影+6,203.02,9.95,1.0,0.85,626,107,True,10.0,9.98,False,9.98,1.0,False,3,封次日正,False,2024-09,2024,,,,,,二接三阴,True,实体→下影,纠缠,0,0,0,1,0,0,0,1,3.8499999999999996,6.3999999999999995,0.0
002052.SZSE,同洲电子,2025-08-13,二接三,2,阴,2025-08-11,-1.89,-24.9,19.2,---,-15.6,-1.0,0,0,08-11,下影,0.3,0.5,4.9,08-12,下影,9.4,1.3,2.6,下影+0→下影+9,13.16,10.03,9.2,2.0,80,42,True,5.55,4.18,False,4.18,1.0,False,3,封次日正,False,2025-08,2025,,,,,,二接三阴,True,下影→下影,其他,0,1,0,1,0,0,0,2,0.629999999999999,9.1,-2.3000000000000003
002779.SZSE,中坚科技,2024-02-20,二接三,2,阴,2024-02-08,-4.6,-31.1,9.8,--+,-21.4,-1.0,0,0,02-08,下影,0.0,0.7,2.1,02-19,下影,6.4,4.2,2.9,下影+0→下影+6,28.42,-2.09,2.9,1.22,80,186,True,8.69,9.99,True,9.99,2.0,False,4,连板,False,2024-02,2024,,,,,,二接三阴,True,下影→下影,其他,0,1,0,1,0,0,0,2,-8.49,6.4,0.7999999999999998
002802.SZSE,洪汇新材,2023-08-28,二接三,2,阴,2023-08-24,-2.07,-6.7,8.0,+--,-5.6,-1.0,0,0,08-24,下影,9.8,1.6,2.4,08-25,下影,6.0,0.8,2.3,下影+10→下影+6,14.5,10.02,11.8,3.3,28,16,False,-17.17,-14.97,False,-14.97,1.0,False,2,炸板,True,2023-08,2023,,,,,,二接三阴,False,下影→下影,纠缠,0,1,0,1,0,0,0,2,4.02,-3.8000000000000007,-0.10000000000000009
002827.SZSE,高争民爆,2024-08-15,二接三,2,阴,2024-08-13,-1.71,-18.6,16.5,++-,-4.2,69.0,0,3,08-13,实体,0.0,0.0,6.7,08-14,下影,7.8,0.5,2.7,实体+0→下影+8,29.11,0.3,18.0,2.22,31,25,False,-10.68,-12.92,False,-12.92,1.0,False,2,炸板,True,2024-08,2024,,,,,,二接三阴,False,实体→下影,其他,0,0,0,1,0,0,0,1,-7.5,7.8,-4.0
002865.SZSE,钧达股份,2026-01-26,二接三,2,阴,2026-01-22,-2.46,-14.6,129.1,+++,66.0,23.0,2,2,01-22,实体,-0.1,0.0,10.8,01-23,下影,9.0,3.0,2.0,实体-0→下影+9,109.38,10.0,19.5,1.61,57,79,False,-3.57,-4.81,False,-4.81,1.0,False,2,炸板,True,2026-01,2026,,,,,,二接三阴,False,实体→下影,全多头,0,0,0,1,0,0,0,1,1.0,9.1,-8.8
600113.SSE,浙江东日,2025-11-12,二接三,2,阴,2025-11-10,-2.87,-30.0,39.3,---,-23.0,48.0,3,3,11-10,实体,1.1,0.0,2.2,11-11,下影,8.2,0.8,1.0,实体+1→下影+8,58.6,8.88,2.8,1.5,48,52,True,8.87,2.1,False,2.1,1.0,False,3,封次日正,False,2025-11,2025,,,,,,二接三阴,True,实体→下影,其他,0,0,0,1,0,0,0,1,0.6800000000000015,7.1,-1.2000000000000002
600262.SSE,北方股份,2024-04-19,二接三,2,阴,2024-04-17,-5.64,-27.5,20.3,--+,-9.4,-1.0,0,0,04-17,实体,2.0,0.0,2.5,04-18,下影,8.6,3.2,2.7,实体+2→下影+9,18.94,5.17,9.9,2.41,41,52,False,-19.22,-10.93,False,-10.93,1.0,False,2,炸板,True,2024-04,2024,,,,,,二接三阴,False,实体→下影,其他,0,0,0,1,0,0,0,1,-3.4299999999999997,6.6,0.20000000000000018
600589.SSE,大位科技,2024-09-23,二接三,2,阴,2024-09-19,-2.76,-37.9,1.9,---,-15.6,-1.0,0,0,09-19,实体,0.5,0.0,1.0,09-20,下影,6.5,3.0,2.9,实体+0→下影+6,2.81,-1.57,4.8,2.36,45,40,True,2.85,9.96,True,7.83,2.0,False,4,连板,False,2024-09,2024,,,,,,二接三阴,True,实体→下影,其他,0,0,0,1,0,0,0,1,-8.07,6.0,1.9
600620.SSE,天宸股份,2025-07-18,二接三,2,阴,2025-07-16,-5.06,-7.0,24.6,+++,8.0,240.0,0,0,07-16,下影,0.5,1.5,3.0,07-17,实体,9.4,0.0,2.3,下影+1→实体+9,7.74,0.85,11.3,2.26,37,49,True,-1.81,-1.81,False,-1.81,1.0,False,3,封次日负,True,2025-07,2025,,,,,,二接三阴,False,下影→实体,全多头,0,1,0,0,0,0,0,1,-8.55,8.9,-0.7000000000000002
600724.SSE,宁波富达,2024-10-29,二接三,2,阴,2024-10-25,-1.36,-5.2,28.7,+++,22.2,92.0,0,2,10-25,实体,2.5,0.0,3.8,10-28,下影,8.6,4.0,1.8,实体+3→下影+9,5.8,9.87,8.6,2.23,93,179,False,-10.34,-8.45,False,-8.45,1.0,False,2,炸板,True,2024-10,2024,,,,,,二接三阴,False,实体→下影,全多头,0,0,0,1,0,0,0,1,1.2699999999999996,6.1,-1.9999999999999998
600809.SSE,山西汾酒,2024-09-30,二接三,2,阴,2024-09-26,-0.36,-22.2,11.9,+--,-6.4,-1.0,0,0,09-26,下影,0.1,0.4,1.2,09-27,下影,6.1,1.1,1.2,下影+0→下影+6,218.89,8.55,1.5,1.24,626,107,True,10.0,5.44,False,5.44,1.0,False,3,封次日正,False,2024-09,2024,,,,,,二接三阴,True,下影→下影,纠缠,0,1,0,1,0,0,0,2,2.450000000000001,6.0,0.0
600828.SSE,茂业商业,2025-12-11,二接三,2,阴,2025-12-09,-2.32,-13.0,55.4,+++,37.3,7.0,4,4,12-09,下影,-2.5,3.9,6.6,12-10,下影,8.2,1.4,2.6,下影-3→下影+8,7.84,2.1,11.7,1.6,27,50,False,-17.22,-17.86,False,-17.86,1.0,False,2,炸板,True,2025-12,2025,,,,,,二接三阴,False,下影→下影,全多头,0,1,0,1,0,0,0,2,-6.1,10.7,-3.9999999999999996
601155.SSE,新城控股,2024-09-30,二接三,2,阴,2024-09-26,0.47,-4.9,28.9,+++,12.6,-1.0,0,0,09-26,实体,0.6,0.0,2.5,09-27,下影,6.9,1.3,2.0,实体+1→下影+7,14.36,10.04,2.3,1.14,626,107,True,10.03,1.95,False,1.95,1.0,False,3,封次日正,False,2024-09,2024,,,,,,二接三阴,True,实体→下影,全多头,0,0,0,1,0,0,0,1,3.139999999999999,6.300000000000001,-0.5
601801.SSE,皖新传媒,2023-05-05,二接三,2,阴,2023-04-28,1.98,-7.3,17.6,,13.2,-1.0,0,0,04-28,实体,-2.9,0.0,3.6,05-04,下影,8.7,0.8,1.5,实体-3→下影+9,9.58,9.99,3.2,1.02,31,76,True,-0.84,6.47,False,6.47,1.0,False,3,封次日正,False,2023-05,2023,,,,,,二接三阴,True,实体→下影,其他,0,0,0,1,0,0,0,1,1.290000000000001,11.6,-2.1
601991.SSE,大唐发电,2026-05-08,二接三,2,阴,2026-05-06,-3.03,-16.6,14.9,++-,5.6,-1.0,0,0,05-06,下影,10.1,1.7,2.7,05-07,下影,8.7,2.2,2.7,下影+10→下影+9,5.54,9.92,9.8,2.49,89,91,True,8.3,9.93,True,29.96,4.0,False,6,连板,False,2026-05,2026,,,,,,二接三阴,True,下影→下影,其他,0,1,0,1,0,0,0,2,1.2200000000000006,-1.4000000000000004,0.0
601992.SSE,金隅集团,2026-01-14,二接三,2,阴,2026-01-12,-1.68,-5.4,9.3,++-,5.4,-1.0,0,0,01-12,下影,0.6,0.6,3.1,01-13,下影,8.2,1.5,2.2,下影+1→下影+8,2.34,9.86,8.6,2.42,79,52,True,-3.85,-9.83,False,-9.83,1.0,False,3,封次日负,True,2026-01,2026,,,,,,二接三阴,False,下影→下影,其他,0,1,0,1,0,0,0,2,1.6600000000000001,7.6,-0.8999999999999999
