代码,名称,买入日,组,N,阴阳,首板日,地基涨跌%,距60日新高%,距60日低点%,均线,地基前20日涨幅%,距前波末板,前波60日最高板,前波120日最高板,b1日,b1板型,b1开盘%,b1下影%,b1换手%,b2日,b2板型,b2开盘%,b2下影%,b2换手%,链,买价,买入开盘%,买入换手%,买入量比,买入日涨停家数,昨日涨停家数,封住,次日开%,次日收%,次日连板,持有到断板%,持有天数,未完,最终高度,结果,坏票,月,年,b3日,b3板型,b3开盘%,b3下影%,b3换手%,四组,胜,链组合,均线归并,b1一字,b1开口,b2一字,b2开口,b3一字,b3开口,链一字数,链开口数,竞价梯度,二板梯度,换手梯度
002052.SZSE,同洲电子,2025-08-19,二接三,2,阴,2025-08-15,4.18,-5.2,65.4,++-,21.2,2.0,3,3,08-15,实体,-0.1,0.1,9.6,08-18,一字,10.0,0.0,1.5,实体-0→一字+10,18.25,10.01,16.7,1.5,74,78,True,-1.26,4.11,False,4.11,1.0,False,3,封次日正,False,2025-08,2025,,,,,,二接三阴,True,实体→一字,其他,0,0,1,0,0,0,1,0,0.009999999999999787,10.1,-8.1
002094.SZSE,青岛金王,2025-04-23,二接三,2,阴,2025-04-21,-5.88,-20.8,32.0,+++,17.5,7.0,3,6,04-21,下影,-3.3,1.5,34.8,04-22,下影,9.9,0.4,9.2,下影-3→下影+10,8.94,9.96,16.7,0.67,52,68,True,0.67,2.24,False,2.24,1.0,False,3,封次日正,False,2025-04,2025,,,,,,二接三阴,True,下影→下影,全多头,0,1,0,1,0,0,0,2,0.0600000000000005,13.2,-25.599999999999998
002181.SZSE,粤 传 媒,2024-12-19,二接三,2,阴,2024-12-17,-4.28,-12.9,147.6,+++,85.4,2.0,4,4,12-17,实体,-0.3,0.0,20.0,12-18,实体,4.3,0.1,3.4,实体-0→实体+4,10.12,10.0,17.1,1.31,50,84,True,-9.98,-9.98,False,-9.98,1.0,False,3,封次日负,True,2024-12,2024,,,,,,二接三阴,False,实体→实体,全多头,0,0,0,0,0,0,0,0,5.7,4.6,-16.6
002181.SZSE,粤 传 媒,2025-11-04,二接三,2,阴,2025-10-31,-1.64,-9.1,39.9,+++,23.9,31.0,2,4,10-31,下影,2.1,1.9,6.5,11-03,一字,10.0,0.0,0.7,下影+2→一字+10,12.75,9.92,6.9,1.06,44,56,True,-0.94,3.14,False,3.14,1.0,False,3,封次日正,False,2025-11,2025,,,,,,二接三阴,True,下影→一字,全多头,0,1,1,0,0,0,1,1,-0.08000000000000007,7.9,-5.8
002297.SZSE,博云新材,2025-12-26,二接三,2,阴,2025-12-24,-0.97,-5.5,29.1,+++,11.8,104.0,0,3,12-24,下影,-1.2,1.1,11.6,12-25,下影,9.2,1.8,4.2,下影-1→下影+9,13.63,10.01,37.0,2.84,69,72,False,-8.66,-9.54,False,-9.54,1.0,False,2,炸板,True,2025-12,2025,,,,,,二接三阴,False,下影→下影,全多头,0,1,0,1,0,0,0,2,0.8100000000000005,10.399999999999999,-7.3999999999999995
002342.SZSE,巨力索具,2026-01-23,二接三,2,阴,2026-01-21,-5.75,-30.4,50.7,+++,40.7,6.0,4,4,01-21,下影,-0.2,2.2,18.5,01-22,实体,5.3,0.0,10.9,下影-0→实体+5,13.54,9.67,7.2,0.43,79,63,True,7.24,1.26,False,1.26,1.0,False,3,封次日正,False,2026-01,2026,,,,,,二接三阴,True,下影→实体,全多头,0,1,0,0,0,0,0,1,4.37,5.5,-7.6
002369.SZSE,卓翼科技,2025-02-21,二接三,2,阴,2025-02-19,-5.01,-23.2,31.2,+++,30.4,38.0,2,3,02-19,实体,0.8,0.0,12.8,02-20,一字,10.1,0.0,1.9,实体+1→一字+10,10.35,9.99,16.0,1.21,82,76,True,5.12,10.05,True,20.48,3.0,False,5,连板,False,2025-02,2025,,,,,,二接三阴,True,实体→一字,全多头,0,0,1,0,0,0,1,0,-0.10999999999999943,9.299999999999999,-10.9
002593.SZSE,日上集团,2024-12-06,二接三,2,阴,2024-12-04,-5.48,-14.0,85.7,+++,44.7,2.0,4,4,12-04,下影,10.1,12.4,40.9,12-05,实体,3.5,0.0,7.8,下影+10→实体+4,6.2,9.93,17.0,0.88,94,103,True,2.1,10.0,True,31.77,5.0,False,7,连板,False,2024-12,2024,,,,,,二接三阴,True,下影→实体,全多头,0,1,0,0,0,0,0,1,6.43,-6.6,-33.1
002640.SZSE,跨境通,2025-04-23,二接三,2,阴,2025-04-21,-8.22,-39.4,39.5,+--,-16.4,5.0,3,7,04-21,实体,0.3,0.0,10.0,04-22,一字,10.0,0.0,3.6,实体+0→一字+10,4.61,10.02,42.8,2.3,52,68,False,-8.68,-13.67,False,-13.67,1.0,False,2,炸板,True,2025-04,2025,,,,,,二接三阴,False,实体→一字,纠缠,0,0,1,0,0,0,1,0,0.019999999999999574,9.7,-6.4
002681.SZSE,奋达科技,2024-12-06,二接三,2,阴,2024-12-04,-5.51,-5.5,75.9,+++,23.3,61.0,0,3,12-04,下影,0.2,1.1,26.8,12-05,下影,6.0,2.3,7.8,下影+0→下影+6,8.46,10.01,47.0,1.87,94,103,False,-11.11,2.48,True,11.58,4.0,False,6,炸板,False,2024-12,2024,,,,,,二接三阴,True,下影→下影,全多头,0,1,0,1,0,0,0,2,4.01,5.8,-19.0
002685.SZSE,华东重机,2024-10-29,二接三,2,阴,2024-10-25,-6.88,-15.3,155.6,+++,109.7,2.0,4,4,10-25,下影,4.3,3.0,25.8,10-28,下影,5.7,2.2,14.6,下影+4→下影+6,9.19,10.06,8.9,0.53,93,179,False,-8.27,3.81,True,11.75,2.0,False,4,炸板,False,2024-10,2024,,,,,,二接三阴,True,下影→下影,全多头,0,1,0,1,0,0,0,2,4.36,1.4000000000000004,-11.200000000000001
002713.SZSE,东易日盛,2024-12-09,二接三,2,阴,2024-12-05,-5.28,-13.1,123.1,++-,7.7,2.0,3,4,12-05,下影,-2.4,1.4,14.1,12-06,下影,7.6,2.7,7.0,下影-2→下影+8,6.68,10.05,29.2,1.82,83,94,False,-6.44,-11.98,False,-11.98,1.0,False,2,炸板,True,2024-12,2024,,,,,,二接三阴,False,下影→下影,其他,0,1,0,1,0,0,0,2,2.450000000000001,10.0,-7.1
002741.SZSE,光华科技,2024-12-04,二接三,2,阴,2024-12-02,-10.0,-27.1,64.4,+++,35.0,4.0,5,5,12-02,下影,-3.5,1.2,25.0,12-03,一字,10.0,0.0,7.6,下影-4→一字+10,22.76,10.0,41.7,1.69,69,92,False,-11.86,-11.07,False,-11.07,1.0,False,2,炸板,True,2024-12,2024,,,,,,二接三阴,False,下影→一字,全多头,0,1,1,0,0,0,1,1,0.0,13.5,-17.4
600590.SSE,泰豪科技,2025-02-21,二接三,2,阴,2025-02-19,2.28,-10.3,44.4,+++,35.3,31.0,3,3,02-19,下影,4.8,2.1,15.8,02-20,实体,2.6,0.0,10.0,下影+5→实体+3,8.36,10.0,8.1,0.76,82,76,True,10.05,10.05,True,7.42,2.0,False,4,连板,False,2025-02,2025,,,,,,二接三阴,True,下影→实体,全多头,0,1,0,0,0,0,0,1,7.4,-2.1999999999999997,-5.800000000000001
603618.SSE,杭电股份,2026-02-03,二接三,2,阴,2026-01-30,-5.73,-15.0,8.4,-++,0.2,85.0,0,6,01-30,下影,-0.4,3.4,7.2,02-02,一字,10.0,0.0,1.7,下影-0→一字+10,10.93,9.96,6.5,1.24,61,32,True,9.88,9.97,True,14.0,2.0,False,4,连板,False,2026-02,2026,,,,,,二接三阴,True,下影→一字,纠缠,0,1,1,0,0,0,1,1,-0.03999999999999915,10.4,-5.5
