代码,名称,买入日,组,N,阴阳,首板日,地基涨跌%,距60日新高%,距60日低点%,均线,地基前20日涨幅%,距前波末板,前波60日最高板,前波120日最高板,b1日,b1板型,b1开盘%,b1下影%,b1换手%,b2日,b2板型,b2开盘%,b2下影%,b2换手%,链,买价,买入开盘%,买入换手%,买入量比,买入日涨停家数,昨日涨停家数,封住,次日开%,次日收%,次日连板,持有到断板%,持有天数,未完,最终高度,结果,坏票,月,年,b3日,b3板型,b3开盘%,b3下影%,b3换手%,四组,胜,链组合,均线归并,b1一字,b1开口,b2一字,b2开口,b3一字,b3开口,链一字数,链开口数,竞价梯度,二板梯度,换手梯度
000820.SZSE,神雾节能,2026-08-04,三接四,3,阴,2026-07-30,-0.68,-28.3,12.8,+-+,7.0,371.0,0,0,07-30,一字,10.0,0.0,0.2,07-31,一字,10.0,0.0,2.6,一字+10→一字+10→下影+10,4.26,-1.81,32.3,2.77,123,69,True,-3.05,-3.29,False,-3.29,1.0,False,4,封次日负,True,2026-08,2026,08-03,下影,9.9,7.1,22.7,三接四阴,False,一字→一字,其他,1,0,1,0,0,1,2,1,-11.81,0.0,2.4
000953.SZSE,中哲精化,2024-08-02,三接四,3,阴,2024-07-30,0.73,-22.1,23.3,+++,17.0,-1.0,0,0,07-30,下影,7.3,4.4,5.7,07-31,下影,8.9,5.0,18.0,下影+7→下影+9→下影+4,4.03,7.1,4.9,0.53,39,50,True,9.93,9.93,True,8.68,3.0,False,6,连板,False,2024-08,2024,08-01,下影,3.6,0.3,13.4,三接四阴,True,下影→下影,全多头,0,1,0,1,0,1,0,3,-1.8000000000000007,1.6000000000000005,12.3
001208.SZSE,华菱线缆,2025-12-16,三接四,3,阴,2025-12-11,5.39,-8.0,21.5,++-,8.0,428.0,0,0,12-11,一字,10.0,0.0,6.1,12-12,一字,10.0,0.0,2.0,一字+10→一字+10→一字+10,19.77,8.24,27.3,1.8,38,53,True,0.15,5.21,False,5.21,1.0,False,4,封次日正,False,2025-12,2025,12-15,一字,10.0,0.0,3.0,三接四阴,True,一字→一字,其他,1,0,1,0,1,0,3,0,-1.7599999999999998,0.0,-4.1
001318.SZSE,阳光乳业,2025-03-19,三接四,3,阴,2025-03-14,-0.87,-23.7,12.5,--+,1.6,-1.0,0,0,03-14,下影,3.3,1.1,25.2,03-17,实体,4.6,0.0,28.5,下影+3→实体+5→下影+3,16.65,9.97,23.8,1.15,40,56,True,8.11,-0.84,False,-0.84,1.0,False,4,封次日负,True,2025-03,2025,03-18,下影,3.0,1.5,22.2,三接四阴,False,下影→实体,其他,0,1,0,0,0,1,0,2,5.370000000000001,1.2999999999999998,3.3000000000000007
002235.SZSE,安妮股份,2025-12-11,三接四,3,阴,2025-12-08,-1.38,-6.0,32.7,+++,27.8,109.0,0,2,12-08,一字,10.0,0.0,1.2,12-09,一字,10.0,0.0,0.6,一字+10→一字+10→一字+10,13.6,10.03,20.4,1.62,27,50,True,-4.26,-5.51,False,-5.51,1.0,False,4,封次日负,True,2025-12,2025,12-10,一字,10.0,0.0,0.9,三接四阴,False,一字→一字,全多头,1,0,1,0,1,0,3,0,0.02999999999999936,0.0,-0.6
002297.SZSE,博云新材,2026-04-16,三接四,3,阴,2026-04-13,-1.26,-25.1,8.8,+--,-9.9,68.0,0,2,04-13,一字,10.0,0.0,1.7,04-14,一字,10.0,0.0,1.8,一字+10→一字+10→一字+10,16.08,9.99,22.6,3.49,68,53,True,5.78,10.01,True,18.1,3.0,False,6,连板,False,2026-04,2026,04-15,一字,10.0,0.0,1.7,三接四阴,True,一字→一字,纠缠,1,0,1,0,1,0,3,0,-0.009999999999999787,0.0,0.10000000000000009
002344.SZSE,海宁皮城,2024-11-20,三接四,3,阴,2024-11-15,-2.72,-6.9,33.1,+++,9.7,-1.0,0,0,11-15,一字,9.9,0.0,0.7,11-18,一字,9.9,0.0,0.4,一字+10→一字+10→一字+10,5.76,9.92,8.6,3.86,119,79,True,7.64,10.07,True,14.58,2.0,False,5,连板,False,2024-11,2024,11-19,一字,10.1,0.0,0.5,三接四阴,True,一字→一字,全多头,1,0,1,0,1,0,3,0,0.019999999999999574,0.0,-0.29999999999999993
002470.SZSE,金正大,2026-02-27,三接四,3,阴,2026-02-24,-3.64,-6.6,24.0,+++,21.8,-1.0,0,0,02-24,下影,4.2,0.9,9.7,02-25,下影,5.2,0.4,3.0,下影+4→下影+5→一字+10,3.1,4.96,33.0,3.16,69,52,True,8.06,-6.13,False,-6.13,1.0,False,4,封次日负,True,2026-02,2026,02-26,一字,10.2,0.0,0.9,三接四阴,False,下影→下影,全多头,0,1,0,1,1,0,1,2,-0.2400000000000002,1.0,-6.699999999999999
002552.SZSE,宝鼎科技,2026-08-07,三接四,3,阴,2026-08-04,-7.25,-58.8,16.9,---,-44.7,34.0,4,4,08-04,下影,4.1,5.1,3.9,08-05,下影,5.0,4.1,5.1,下影+4→下影+5→实体+4,47.6,8.62,1.2,0.28,59,69,True,10.0,10.0,True,14.73,2.0,False,5,连板,False,2026-08,2026,08-06,实体,3.7,0.0,4.8,三接四阴,True,下影→下影,其他,0,1,0,1,0,0,0,2,3.619999999999999,0.9000000000000004,1.1999999999999997
002580.SZSE,圣阳股份,2026-04-14,三接四,3,阴,2026-04-09,-2.55,-19.1,26.3,+++,15.8,270.0,0,0,04-09,下影,-1.1,3.1,25.1,04-10,下影,0.0,2.4,41.6,下影-1→下影+0→下影+2,22.97,9.15,39.0,1.3,49,52,True,6.57,10.01,True,43.67,4.0,False,7,连板,False,2026-04,2026,04-13,下影,2.5,0.5,22.6,三接四阴,True,下影→下影,全多头,0,1,0,1,0,1,0,3,9.15,1.1,16.5
