代码,名称,买入日,组,N,阴阳,首板日,地基涨跌%,距60日新高%,距60日低点%,均线,地基前20日涨幅%,距前波末板,前波60日最高板,前波120日最高板,b1日,b1板型,b1开盘%,b1下影%,b1换手%,b2日,b2板型,b2开盘%,b2下影%,b2换手%,链,买价,买入开盘%,买入换手%,买入量比,买入日涨停家数,昨日涨停家数,封住,次日开%,次日收%,次日连板,持有到断板%,持有天数,未完,最终高度,结果,坏票,月,年,b3日,b3板型,b3开盘%,b3下影%,b3换手%,四组,胜,链组合,均线归并,b1一字,b1开口,b2一字,b2开口,b3一字,b3开口,链一字数,链开口数,竞价梯度,二板梯度,换手梯度
000428.SZSE,华天酒店,2026-07-30,三接四,3,阴,2026-07-27,-1.94,-23.0,2.0,---,-2.3,-1.0,0,0,07-27,下影,6.9,3.0,3.5,07-28,实体,2.4,0.0,3.1,下影+7→实体+2→下影+10,4.44,9.9,10.7,2.39,46,73,False,-14.86,-5.18,True,-10.14,2.0,False,5,炸板,True,2026-07,2026,07-29,下影,10.1,6.0,4.3,三接四阴,False,下影→实体,其他,0,1,0,0,0,1,0,2,7.5,-4.5,-0.3999999999999999
001298.SZSE,好上好,2024-02-21,三接四,3,阴,2024-02-08,-7.69,-58.7,2.0,---,-43.4,80.0,0,5,02-08,下影,0.1,3.4,9.8,02-19,实体,2.1,0.0,10.9,下影+0→实体+2→下影-0,21.97,0.0,17.9,1.49,93,80,False,-9.01,-4.55,False,-4.55,1.0,False,3,炸板,True,2024-02,2024,02-20,下影,-0.2,3.7,11.0,三接四阴,False,下影→实体,其他,0,1,0,0,0,1,0,2,-2.1,2.0,1.0999999999999996
002498.SZSE,汉缆股份,2026-02-25,三接四,3,阴,2026-02-12,-2.27,-14.4,59.3,+++,40.5,17.0,3,3,02-12,下影,1.4,2.9,8.3,02-13,实体,2.1,0.0,8.2,下影+1→实体+2→下影+5,8.2,5.1,7.9,1.16,61,82,True,-0.61,2.2,False,2.2,1.0,False,4,封次日正,False,2026-02,2026,02-24,下影,4.9,0.4,7.2,三接四阴,True,下影→实体,全多头,0,1,0,0,0,1,0,2,2.9999999999999996,0.7000000000000002,-0.10000000000000142
002513.SZSE,蓝丰生化,2024-11-05,三接四,3,阴,2024-10-31,-3.29,-14.1,48.7,+++,21.8,3.0,2,2,10-31,下影,-0.4,1.1,18.4,11-01,实体,2.3,0.0,18.8,下影-0→实体+2→下影-1,6.89,8.31,4.1,0.3,139,122,True,9.87,10.01,True,15.09,3.0,False,6,连板,False,2024-11,2024,11-04,下影,-0.5,3.0,15.3,三接四阴,True,下影→实体,全多头,0,1,0,0,0,1,0,2,6.010000000000001,2.6999999999999997,0.40000000000000213
002952.SZSE,亚世光电,2024-02-26,三接四,3,阴,2024-02-21,-1.4,-43.2,48.7,---,-30.6,30.0,9,9,02-21,下影,-1.7,0.6,14.9,02-22,实体,1.7,0.0,9.8,下影-2→实体+2→下影+3,37.02,4.01,14.8,1.07,72,79,True,-2.19,9.99,True,-1.0,2.0,False,5,连板,False,2024-02,2024,02-23,下影,3.0,1.2,13.4,三接四阴,True,下影→实体,其他,0,1,0,0,0,1,0,2,2.3099999999999996,3.4,-5.1
003018.SZSE,金富科技,2026-04-22,三接四,3,阴,2026-04-17,0.17,-6.6,112.2,+++,30.7,42.0,3,7,04-17,下影,-0.4,3.3,6.6,04-20,实体,0.2,0.0,7.5,下影-0→实体+0→下影+2,52.2,4.53,8.4,1.25,49,44,True,5.36,4.92,False,4.92,1.0,False,4,封次日正,False,2026-04,2026,04-21,下影,2.0,1.0,5.5,三接四阴,True,下影→实体,全多头,0,1,0,0,0,1,0,2,4.33,0.6000000000000001,0.9000000000000004
600088.SSE,中视传媒,2023-05-11,三接四,3,阴,2023-05-08,0.38,-4.9,23.6,,15.1,-1.0,0,0,05-08,下影,-0.6,0.9,8.4,05-09,实体,1.9,0.0,4.3,下影-1→实体+2→下影+3,19.2,10.03,19.5,1.97,35,26,False,-19.22,-2.45,True,4.27,2.0,False,5,炸板,True,2023-05,2023,05-10,下影,3.3,1.5,6.6,三接四阴,False,下影→实体,其他,0,1,0,0,0,1,0,2,8.129999999999999,2.5,-4.1000000000000005
600363.SSE,联创光电,2024-11-01,三接四,3,阴,2024-10-29,4.09,-5.1,59.7,+++,59.2,-1.0,0,0,10-29,下影,2.0,0.4,8.6,10-30,实体,0.2,0.0,4.9,下影+2→实体+0→一字+10,51.4,9.99,18.2,2.27,74,141,False,-0.68,-0.68,True,8.17,4.0,False,7,炸板,True,2024-11,2024,10-31,一字,10.0,0.0,1.9,三接四阴,False,下影→实体,全多头,0,1,0,0,1,0,1,1,9.790000000000001,-1.8,-3.6999999999999993
600397.SSE,江钨装备,2026-08-07,三接四,3,阴,2026-08-04,0.56,-60.1,4.6,---,-45.1,30.0,5,5,08-04,下影,1.0,0.8,8.0,08-05,实体,0.4,0.1,14.8,下影+1→实体+0→实体+7,18.58,7.28,21.8,2.04,59,69,False,-2.74,-3.71,False,-3.71,1.0,False,3,炸板,True,2026-08,2026,08-06,实体,7.5,0.0,2.4,三接四阴,False,下影→实体,其他,0,1,0,0,0,0,0,1,6.88,-0.6,6.800000000000001
600475.SSE,华光环能,2025-08-08,三接四,3,阴,2025-08-05,0.21,-26.0,51.0,--+,4.6,18.0,6,6,08-05,下影,0.5,1.7,3.6,08-06,实体,0.5,0.0,4.3,下影+0→实体+1→下影+3,21.19,6.44,1.2,0.5,48,47,True,2.41,7.98,False,7.98,1.0,False,4,封次日正,False,2025-08,2025,08-07,下影,2.8,0.7,1.7,三接四阴,True,下影→实体,其他,0,1,0,0,0,1,0,2,5.94,0.0,0.6999999999999997
