月,触发,方案点命中,S级出手,炸板坏票,封次日负,好票,连板,坏票率%
2023-01,2,0,0,0,0,2,1,0
2023-04,5,0,0,0,0,5,3,0
2023-05,6,0,0,2,1,3,0,50
2023-06,9,0,0,3,1,5,2,44
2023-07,3,0,0,0,1,2,1,33
2023-08,4,0,0,2,1,1,1,75
2023-09,2,0,0,0,0,2,2,0
2023-10,6,1,1,3,2,1,1,83
2023-11,8,0,0,1,5,2,1,75
2023-12,9,0,0,4,2,3,2,67
2024-01,5,1,1,0,4,1,1,80
2024-02,22,0,0,7,3,12,1,45
2024-03,7,1,1,3,1,3,2,57
2024-04,7,0,0,3,1,3,0,57
2024-05,9,0,0,5,3,1,0,89
2024-06,1,0,0,0,1,0,0,100
2024-07,10,0,0,1,2,7,3,30
2024-08,6,0,0,1,4,1,0,83
2024-09,15,0,0,1,5,9,3,40
2024-10,28,2,2,9,7,12,8,57
2024-11,24,0,0,9,9,6,1,75
2024-12,22,1,1,6,8,8,6,64
2025-01,8,0,0,2,2,4,2,50
2025-02,10,0,0,2,5,3,0,70
2025-03,8,0,0,1,3,4,3,50
2025-04,6,0,0,2,2,2,0,67
2025-05,13,0,0,1,9,3,0,77
2025-06,12,1,1,1,5,6,3,50
2025-07,12,1,1,3,4,5,1,58
2025-08,16,0,0,3,1,12,4,25
2025-09,8,0,0,0,6,2,0,75
2025-10,7,0,0,1,1,5,0,29
2025-11,12,0,0,5,3,4,1,67
2025-12,10,0,0,2,4,4,1,60
2026-01,21,0,0,5,5,11,4,48
2026-02,8,0,0,2,3,3,1,62
2026-03,17,0,0,6,4,7,3,59
2026-04,14,0,0,1,6,7,1,50
2026-05,21,0,0,4,9,8,2,62
2026-06,13,0,0,3,3,7,0,46
2026-07,8,0,0,5,3,0,0,100
2026-08,15,1,1,3,3,9,3,40
2026-09,7,0,0,3,2,2,1,71
