月,触发,方案点命中,S级出手,炸板坏票,封次日负,好票,连板,坏票率%
2023-04,1,0,0,0,0,1,0,0
2023-05,2,1,1,0,1,1,0,50
2023-06,2,1,0,2,0,0,0,100
2023-09,2,1,0,0,1,1,1,50
2023-10,1,0,0,0,1,0,0,100
2023-11,2,2,2,0,1,1,1,50
2023-12,3,3,2,1,1,1,1,67
2024-01,4,3,2,2,0,2,2,50
2024-02,2,2,2,1,0,1,1,50
2024-03,5,5,3,2,1,2,0,60
2024-09,3,3,2,1,1,1,0,67
2024-10,6,3,1,1,1,4,2,33
2024-11,10,8,7,3,3,4,3,60
2024-12,6,5,3,1,2,3,3,50
2025-01,4,4,4,0,2,2,1,50
2025-02,3,1,1,1,2,0,0,100
2025-03,3,3,3,0,0,3,2,0
2025-04,4,2,2,0,3,1,0,75
2025-05,5,5,3,2,2,1,0,80
2025-06,2,1,1,0,0,2,0,0
2025-07,8,5,5,1,1,6,3,25
2025-08,2,2,2,0,0,2,2,0
2025-09,4,2,1,2,0,2,0,50
2025-10,1,1,0,0,0,1,0,0
2025-11,1,1,1,0,1,0,0,100
2025-12,7,6,6,3,2,2,0,71
2026-01,4,3,2,1,1,2,0,50
2026-02,4,2,2,2,0,2,1,50
2026-03,5,3,3,0,3,2,0,60
2026-05,6,4,2,1,2,3,2,50
2026-06,4,2,1,1,0,3,2,25
2026-07,1,0,0,0,0,1,0,0
2026-08,6,4,2,0,2,4,3,33
2026-09,1,1,1,0,0,1,1,0
