四组,月,笔数,坏票率,封住率,次日收益,持有到断板
二接三阳,2025-06,34,53%,65%,-1.29,2.92
二接三阳,2025-07,47,55%,64%,-1.33,-0.52
二接三阳,2025-08,35,49%,66%,-1.48,-0.47
二接三阳,2025-09,31,55%,65%,-2.9,-2.82
二接三阳,2025-10,26,77%,62%,-4.83,-0.07
二接三阳,2025-11,37,46%,59%,-0.22,2.06
二接三阳,2025-12,43,49%,70%,-0.17,0.31
二接三阳,2026-01,48,40%,58%,1.4,0.86
二接三阳,2026-02,19,63%,63%,-1.82,-1.66
二接三阳,2026-03,24,58%,67%,-0.19,1.55
二接三阳,2026-04,21,67%,52%,-2.36,-2.39
二接三阳,2026-05,27,41%,74%,0.92,1.57
二接三阳,2026-06,29,45%,62%,0.96,1.12
二接三阳,2026-07,22,68%,68%,-4.16,-0.09
二接三阳,2026-08,36,56%,61%,-0.99,1.13
二接三阳,2026-09,6,83%,33%,-4.42,-1.86
二接三阴,2023-04,6,50%,50%,-1.87,-2.06
二接三阴,2023-05,11,45%,73%,0.45,-0.46
二接三阴,2023-06,17,41%,71%,0.65,2.12
二接三阴,2023-07,18,72%,50%,-4.78,-4.3
二接三阴,2023-08,16,75%,31%,-4.12,-0.2
二接三阴,2023-09,14,50%,71%,0.59,2.93
二接三阴,2023-10,17,59%,59%,-4.26,-5.35
二接三阴,2023-11,21,62%,67%,-3.61,3.21
二接三阴,2023-12,22,55%,59%,-2.2,-0.85
二接三阴,2024-01,34,65%,56%,-5.25,-7.4
二接三阴,2024-02,34,50%,68%,0.66,1.54
二接三阴,2024-03,25,72%,60%,-2.83,2.58
二接三阴,2024-04,14,79%,50%,-7.56,-8.79
二接三阴,2024-05,14,79%,64%,-8.18,-8.56
二接三阴,2024-06,14,71%,64%,-2.59,-3.78
二接三阴,2024-07,15,60%,47%,-2.15,-2.49
二接三阴,2024-08,18,67%,67%,-6.35,-6.5
二接三阴,2024-09,32,22%,72%,2.68,5.11
二接三阴,2024-10,39,64%,59%,-2.15,10.06
二接三阴,2024-11,55,56%,45%,-1.34,1.72
二接三阴,2024-12,67,66%,54%,-4.08,-3.39
二接三阴,2025-01,29,59%,66%,-2.58,1.02
二接三阴,2025-02,22,55%,59%,-2.05,0.23
二接三阴,2025-03,19,47%,63%,-0.58,1.5
二接三阴,2025-04,19,63%,58%,-3.6,-2.95
二接三阴,2025-05,26,50%,65%,-1.73,-0.45
二接三阴,2025-06,25,36%,68%,-0.05,0.72
二接三阴,2025-07,34,62%,65%,-3.78,-3.18
二接三阴,2025-08,31,32%,77%,2.43,5.47
二接三阴,2025-09,24,50%,71%,-1.36,-0.1
二接三阴,2025-10,12,58%,67%,-2.37,-2.84
二接三阴,2025-11,22,64%,77%,-2.19,-2.01
二接三阴,2025-12,33,67%,79%,-3.4,-1.29
二接三阴,2026-01,31,58%,68%,-1.97,0.06
二接三阴,2026-02,9,56%,78%,0.48,-0.03
二接三阴,2026-03,19,58%,63%,-1.01,-1.36
二接三阴,2026-04,25,56%,60%,-1.96,0.72
二接三阴,2026-05,25,68%,72%,-1.46,-0.23
二接三阴,2026-06,32,47%,66%,0.59,1.14
二接三阴,2026-07,27,74%,56%,-2.77,-2.49
二接三阴,2026-08,32,41%,72%,0.62,1.74
二接三阴,2026-09,3,100%,33%,-7.21,-7.21
