组,月,U形态,炸板,封D1负,好票,连板,差票率%
2板补涨阳,2007-11,1,1,0,0,0,100
2板补涨阳,2010-01,1,1,0,0,0,100
2板补涨阳,2012-05,2,1,1,1,0,50
2板补涨阳,2020-07,1,0,0,1,1,0
2板补涨阳,2023-04,8,2,3,4,2,50
2板补涨阳,2023-05,18,4,6,8,3,56
2板补涨阳,2023-06,12,3,4,5,1,58
2板补涨阳,2023-07,7,2,1,4,1,43
2板补涨阳,2023-08,11,3,3,5,1,55
2板补涨阳,2023-09,7,4,1,2,0,71
2板补涨阳,2023-10,14,7,3,6,2,57
2板补涨阳,2023-11,16,4,5,7,2,56
2板补涨阳,2023-12,12,3,3,6,3,50
2板补涨阳,2024-01,8,3,4,1,1,88
2板补涨阳,2024-02,16,4,4,7,1,56
2板补涨阳,2024-03,26,8,9,9,0,65
2板补涨阳,2024-04,19,6,7,6,3,68
2板补涨阳,2024-05,16,6,3,7,2,56
2板补涨阳,2024-06,6,0,3,3,1,50
2板补涨阳,2024-07,16,3,4,9,1,44
2板补涨阳,2024-08,12,4,6,2,0,83
2板补涨阳,2024-09,25,5,6,17,5,32
2板补涨阳,2024-10,61,19,20,27,10,56
2板补涨阳,2024-11,58,17,13,28,11,52
2板补涨阳,2024-12,58,14,21,23,7,60
2板补涨阳,2025-01,37,13,10,13,7,65
2板补涨阳,2025-02,30,13,6,12,1,60
2板补涨阳,2025-03,28,8,11,10,1,64
2板补涨阳,2025-04,22,2,8,12,3,45
2板补涨阳,2025-05,17,6,3,9,2,47
2板补涨阳,2025-06,23,6,9,8,2,65
2板补涨阳,2025-07,19,5,8,6,5,68
2板补涨阳,2025-08,9,1,1,6,5,33
2板补涨阳,2025-09,32,9,10,13,3,59
2板补涨阳,2025-10,8,2,2,4,1,50
2板补涨阳,2025-11,21,6,6,11,2,48
2板补涨阳,2025-12,26,4,9,13,3,50
2板补涨阳,2026-01,34,7,9,22,12,35
2板补涨阳,2026-02,23,7,8,9,1,61
2板补涨阳,2026-03,28,8,11,10,1,64
2板补涨阳,2026-04,16,3,5,8,3,50
2板补涨阳,2026-05,24,7,3,15,2,38
2板补涨阳,2026-06,40,7,10,26,9,35
2板补涨阳,2026-07,32,13,14,7,2,78
2板补涨阳,2026-08,38,7,15,17,2,55
2板补涨阳,2026-09,3,2,1,0,0,100
