组,月,笔数,坏票率,封住率,次日收,持有到断板
2板反包阴,2025-05,15,40%,87%,2.01,6.0
2板反包阴,2025-06,17,71%,59%,-2.98,-2.33
2板反包阴,2025-07,15,47%,80%,0.27,0.49
2板反包阴,2025-08,24,54%,75%,0.67,0.31
2板反包阴,2025-09,20,55%,75%,-0.37,0.04
2板反包阴,2025-10,16,56%,62%,0.25,3.33
2板反包阴,2025-11,25,56%,72%,-1.57,-0.34
2板反包阴,2025-12,26,54%,69%,-1.48,-1.63
2板反包阴,2026-01,29,55%,69%,-1.42,-1.1
2板反包阴,2026-02,12,42%,83%,1.69,3.07
2板反包阴,2026-03,23,61%,74%,-2.54,-0.58
2板反包阴,2026-04,13,62%,92%,0.35,0.86
2板反包阴,2026-05,17,59%,65%,-0.81,1.31
2板反包阴,2026-06,33,45%,82%,0.59,2.95
2板反包阴,2026-07,33,73%,73%,-2.75,-1.65
2板反包阴,2026-08,22,68%,82%,-1.88,-1.38
2板反包阴,2026-09,17,82%,59%,-4.91,-3.5
3板反包,2023-04,8,38%,62%,0.45,1.31
3板反包,2023-05,14,50%,79%,0.13,0.5
3板反包,2023-06,10,60%,90%,-0.86,2.07
3板反包,2023-07,12,75%,67%,-2.93,-4.07
3板反包,2023-08,6,67%,67%,-0.98,-2.8
3板反包,2023-09,8,75%,75%,-0.36,-1.52
3板反包,2023-10,13,62%,62%,-1.19,0.34
3板反包,2023-11,27,59%,70%,-0.53,1.02
3板反包,2023-12,26,54%,73%,-0.03,4.4
3板反包,2024-01,39,67%,69%,-1.19,-1.82
3板反包,2024-02,39,28%,72%,2.45,2.33
3板反包,2024-03,37,54%,70%,-0.0,-0.42
3板反包,2024-04,25,52%,48%,-0.04,-0.26
3板反包,2024-05,19,53%,68%,0.0,-0.11
3板反包,2024-06,13,62%,69%,-2.24,-1.69
3板反包,2024-07,26,58%,65%,-0.05,1.15
3板反包,2024-08,24,54%,54%,-2.03,-1.91
3板反包,2024-09,42,14%,69%,4.12,2.66
3板反包,2024-10,77,56%,58%,-1.72,2.68
3板反包,2024-11,77,57%,70%,-0.64,1.67
3板反包,2024-12,64,69%,50%,-2.07,-1.75
3板反包,2025-01,51,63%,69%,-1.48,-1.13
3板反包,2025-02,46,50%,78%,0.4,-0.04
3板反包,2025-03,44,59%,66%,-0.67,-0.51
3板反包,2025-04,44,59%,64%,-1.29,-0.78
3板反包,2025-05,26,77%,69%,-2.67,-2.11
3板反包,2025-06,39,59%,79%,-1.58,0.74
