组,月,U形态,炸板,封D1负,好票,连板,差票率%
2板补涨阴,2006-05,1,0,0,1,0,0
2板补涨阴,2006-06,1,1,0,0,0,100
2板补涨阴,2008-05,1,0,0,1,1,0
2板补涨阴,2009-02,1,0,0,1,0,0
2板补涨阴,2010-01,1,0,0,1,0,0
2板补涨阴,2012-05,1,0,1,0,0,100
2板补涨阴,2015-02,1,1,0,0,0,100
2板补涨阴,2020-06,1,0,0,1,0,0
2板补涨阴,2021-02,1,0,1,0,0,100
2板补涨阴,2022-06,2,1,0,1,0,50
2板补涨阴,2023-04,7,4,0,5,0,29
2板补涨阴,2023-05,10,2,3,6,3,40
2板补涨阴,2023-06,23,4,11,10,4,57
2板补涨阴,2023-07,14,3,3,8,3,43
2板补涨阴,2023-08,18,2,4,13,2,28
2板补涨阴,2023-09,8,2,5,2,0,75
2板补涨阴,2023-10,8,2,3,4,1,50
2板补涨阴,2023-11,14,3,3,9,2,36
2板补涨阴,2023-12,18,6,3,10,2,44
2板补涨阴,2024-01,27,11,14,5,2,81
2板补涨阴,2024-02,11,5,1,8,0,27
2板补涨阴,2024-03,37,7,11,20,6,46
2板补涨阴,2024-04,31,10,10,13,5,58
2板补涨阴,2024-05,16,5,5,7,1,56
2板补涨阴,2024-06,16,5,2,11,1,31
2板补涨阴,2024-07,15,3,2,10,5,33
2板补涨阴,2024-08,32,7,11,15,4,53
2板补涨阴,2024-09,15,2,8,5,2,67
2板补涨阴,2024-10,63,27,12,29,8,54
2板补涨阴,2024-11,69,18,18,38,10,45
2板补涨阴,2024-12,57,10,20,26,7,54
2板补涨阴,2025-01,41,9,13,19,6,54
2板补涨阴,2025-02,19,6,3,12,2,37
2板补涨阴,2025-03,28,8,9,12,4,57
2板补涨阴,2025-04,34,6,6,23,4,32
2板补涨阴,2025-05,27,5,8,16,5,41
2板补涨阴,2025-06,24,3,13,8,3,67
2板补涨阴,2025-07,21,3,6,12,5,43
2板补涨阴,2025-08,28,4,6,21,5,25
2板补涨阴,2025-09,30,7,13,11,0,63
2板补涨阴,2025-10,33,11,7,16,5,52
2板补涨阴,2025-11,30,10,9,12,2,60
2板补涨阴,2025-12,41,11,12,17,5,59
2板补涨阴,2026-01,33,7,12,16,3,52
2板补涨阴,2026-02,34,6,10,19,2,44
2板补涨阴,2026-03,46,11,12,25,4,46
2板补涨阴,2026-04,42,10,16,16,2,62
2板补涨阴,2026-05,41,9,14,16,4,61
2板补涨阴,2026-06,76,12,24,43,8,43
2板补涨阴,2026-07,72,20,32,21,5,71
2板补涨阴,2026-08,49,14,21,18,7,63
2板补涨阴,2026-09,3,0,3,0,0,100
