代码,名称,买入日,四组,方案点,阴阳,地基涨跌%,地基档,距MA5%,距MA10%,距MA20%,距MA30%,站上均线数,MA10位置,MA10斜率%,MA20斜率%,反包结构,断板天数,前板高度,反包收复%,断板回撤%,前板日,链,买入开盘%,次日收%,持有到断板%,月,年
000002.SZSE,万 科Ａ,2024-09-30,二接三阳,—,阳,2.67,小阳0~3,4.4,9.5,11.5,10.8,4,上,4.07,1.86,60日内无板,,,,,,实体-1→实体+6,9.95,6.79,6.79,2024-09,2024
000002.SZSE,万 科Ａ,2024-10-08,三接四阳,—,阳,2.67,小阳0~3,4.4,9.5,11.5,10.8,4,上,4.07,1.86,60日内无板,,,,,,实体-1→实体+6→下影+10,9.98,-12.63,-12.63,2024-10,2024
000006.SZSE,深振业Ａ,2024-10-22,二接三阴,—,阴,-4.01,大阴-5~-3,0.4,4.5,16.8,24.3,4,上,13.18,8.57,断8~15天,9.0,1.0,23.0,-6.0,09-27,下影+0→下影+4,-0.86,-4.46,-4.46,2024-10,2024
000006.SZSE,深振业Ａ,2025-10-14,二接三阳,—,阳,5.44,巨阳≥5,10.1,19.7,30.2,36.0,4,上,13.69,8.42,断1天,1.0,1.0,16.0,0.3,09-30,下影-1→实体+2,9.9,-14.06,-14.06,2025-10,2025
000008.SZSE,神州高铁,2024-03-12,三接四阳,—,阳,0.0,小阳0~3,-0.7,-0.7,1.3,-0.6,1,下,1.66,-1.27,60日内无板,,,,,,实体+0→下影+1→一字+10,6.71,-13.83,-13.83,2024-03,2024
000008.SZSE,神州高铁,2026-04-01,二接三阳,—,阳,1.12,小阳0~3,1.0,-2.2,-4.8,-6.8,1,下,-4.4,-2.93,断16~60天,52.0,1.0,-5.7,-19.4,01-06,下影-1→下影+9,10.09,-13.33,-13.33,2026-04,2026
000011.SZSE,深物业A,2026-07-27,二接三阳,—,阳,0.59,小阳0~3,1.2,4.4,4.3,0.2,4,上,2.12,-1.94,60日内无板,,,,,,实体+0→下影+5,1.57,-16.94,-16.94,2026-07,2026
000017.SZSE,深中华A,2026-08-25,三接四阴,—,阴,-2.65,小阴-3~0,-1.9,-3.6,-2.5,-0.6,0,下,-0.46,2.66,断16~60天,19.0,1.0,13.7,-0.9,07-23,实体+1→下影+10→一字+10,9.97,10.0,30.35,2026-08,2026
000020.SZSE,深华发Ａ,2023-07-10,二接三阴,B1,阴,-5.31,巨阴≤-5,1.9,3.9,5.9,7.1,4,上,2.42,1.49,断1天,1.0,1.0,4.2,-6.3,07-04,实体-2→下影+7,7.12,-9.74,-9.74,2023-07,2023
000020.SZSE,深华发Ａ,2024-01-17,二接三阳,—,阳,0.0,小阳0~3,0.5,-1.2,-0.4,-0.4,1,下,0.61,-0.3,60日内无板,,,,,,下影-2→下影+1,3.51,-9.99,-9.99,2024-01,2024
000020.SZSE,深华发Ａ,2024-01-26,二接三阴,—,阴,2.49,小阳0~3,2.4,9.8,16.6,19.2,4,上,10.13,5.5,断1天,1.0,1.0,12.8,-3.9,01-22,实体-9→下影+5,5.12,-9.99,-9.99,2024-01,2024
000020.SZSE,深华发Ａ,2025-06-19,二接三阳,—,阳,1.21,小阳0~3,-0.5,0.2,1.3,2.5,3,上,1.34,1.36,60日内无板,,,,,,下影+0→下影+1,5.01,-18.17,-18.17,2025-06,2025
000025.SZSE,特 力Ａ,2024-10-29,二接三阴,—,阴,-1.74,小阴-3~0,-0.1,2.3,4.6,8.8,3,上,0.13,4.3,60日内无板,,,,,,下影+5→下影+10,9.99,-12.21,-12.21,2024-10,2024
000025.SZSE,特 力Ａ,2025-04-18,二接三阴,—,阴,-1.61,小阴-3~0,0.6,-3.7,-4.4,-3.9,1,下,-2.82,-1.12,断8~15天,10.0,1.0,-2.9,-23.2,03-31,实体+1→下影+8,4.78,-5.19,-5.19,2025-04,2025
000026.SZSE,飞亚达,2025-07-01,三接四阳,—,阳,3.04,大阳3~5,3.1,1.3,-6.4,-6.5,2,上,-5.31,-3.35,断16~60天,32.0,1.0,12.5,-4.3,05-09,下影-0→下影+0→一字+10,9.99,4.37,8.05,2025-07,2025
000029.SZSE,深深房Ａ,2024-09-30,二接三阳,—,阳,0.93,小阳0~3,4.9,9.5,13.8,16.3,4,上,5.53,4.05,60日内无板,,,,,,实体-0→下影+5,5.03,-10.01,-10.01,2024-09,2024
000032.SZSE,深桑达Ａ,2024-10-08,二接三阳,—,阳,4.0,大阳3~5,4.2,7.5,10.7,11.6,4,上,4.11,2.66,60日内无板,,,,,,实体+1→下影+8,9.99,-0.68,-0.68,2024-10,2024
000032.SZSE,深桑达Ａ,2026-06-15,二接三阳,—,阳,0.64,小阳0~3,-0.4,-2.9,-10.5,-11.8,0,下,-8.23,-4.14,60日内无板,,,,,,下影+1→下影+1,1.48,10.0,11.58,2026-06,2026
000032.SZSE,深桑达Ａ,2026-06-16,三接四阳,—,阳,0.64,小阳0~3,-0.4,-2.9,-10.5,-11.8,0,下,-8.23,-4.14,60日内无板,,,,,,下影+1→下影+1→下影+1,3.17,1.44,1.44,2026-06,2026
000037.SZSE,深南电A,2023-06-27,二接三阴,—,阴,-2.36,小阴-3~0,-3.1,-3.3,1.1,4.6,2,下,3.37,3.28,断4~7天,7.0,1.0,2.5,-7.3,06-09,实体-0→下影+4,9.98,10.03,14.26,2023-06,2023
000037.SZSE,深南电A,2023-06-28,三接四阴,—,阴,-2.36,小阴-3~0,-3.1,-3.3,1.1,4.6,2,下,3.37,3.28,断4~7天,7.0,1.0,2.5,-7.3,06-09,实体-0→下影+4→下影+10,0.17,3.85,3.85,2023-06,2023
000037.SZSE,深南电A,2024-01-31,二接三阴,—,阴,-6.05,巨阴≤-5,-1.4,1.8,6.2,8.8,3,上,6.54,4.56,断4~7天,7.0,1.0,10.9,-7.9,01-17,下影-2→实体+5,10.04,-25.83,-25.83,2024-01,2024
000042.SZSE,中洲控股,2024-03-13,二接三阳,—,阳,0.49,小阳0~3,0.0,-2.6,2.4,-7.8,2,下,3.29,-6.95,断8~15天,8.0,1.0,-3.2,-13.8,02-27,下影+0→下影-0,-4.67,-13.65,-13.65,2024-03,2024
000045.SZSE,深纺织Ａ,2024-10-29,二接三阳,—,阳,2.01,小阳0~3,1.5,4.5,7.0,10.3,4,上,1.06,4.51,断16~60天,32.0,2.0,10.4,-20.6,08-30,实体+5→一字+10,9.97,2.58,2.58,2024-10,2024
000045.SZSE,深纺织Ａ,2024-10-30,三接四阳,—,阳,2.01,小阳0~3,1.5,4.5,7.0,10.3,4,上,1.06,4.51,断16~60天,32.0,2.0,10.4,-20.6,08-30,实体+5→一字+10→下影+10,3.36,-2.13,-2.13,2024-10,2024
000048.SZSE,京基智农,2026-06-11,二接三阳,—,阳,4.54,大阳3~5,2.7,7.7,5.8,4.1,4,上,1.7,-0.99,断4~7天,5.0,1.0,17.5,-2.1,06-01,下影+3→下影+9,6.28,-3.57,-3.57,2026-06,2026
000058.SZSE,深 赛 格,2024-10-29,二接三阳,—,阳,1.51,小阳0~3,2.3,4.7,7.3,7.7,4,上,0.4,3.95,断16~60天,26.0,1.0,-0.6,-28.0,09-09,一字+10→一字+10,9.97,9.98,12.02,2024-10,2024
000058.SZSE,深 赛 格,2024-10-30,三接四阳,—,阳,1.51,小阳0~3,2.3,4.7,7.3,7.7,4,上,0.4,3.95,断16~60天,26.0,1.0,-0.6,-28.0,09-09,一字+10→一字+10→下影+10,-3.26,1.85,1.85,2024-10,2024
000061.SZSE,农 产 品,2025-08-29,二接三阳,—,阳,1.61,小阳0~3,1.3,2.2,3.7,4.5,4,上,1.54,0.82,60日内无板,,,,,,下影+1→下影+5,-0.95,-9.92,-9.92,2025-08,2025
000062.SZSE,深圳华强,2024-08-20,三接四阳,A1,阳,1.28,小阳0~3,1.0,0.7,1.2,0.9,4,上,0.31,-0.47,断16~60天,40.0,1.0,-5.7,-19.9,06-19,下影+1→下影+2→一字+10,10.01,10.04,83.92,2024-08,2024
000062.SZSE,深圳华强,2024-09-03,二接三阴,B1,阴,3.81,大阳3~5,14.7,40.8,84.9,107.1,4,上,53.6,30.06,断1天,1.0,10.0,14.2,-4.7,08-28,下影+3→下影+9,-1.34,9.99,19.8,2024-09,2024
000062.SZSE,深圳华强,2024-09-04,三接四阴,—,阴,3.81,大阳3~5,14.7,40.8,84.9,107.1,4,上,53.6,30.06,断1天,1.0,10.0,14.2,-4.7,08-28,下影+3→下影+9→下影-1,5.64,9.99,8.91,2024-09,2024
000066.SZSE,中国长城,2024-10-31,二接三阳,—,阳,4.74,大阳3~5,5.1,10.5,16.2,24.4,4,上,5.5,7.9,断2~3天,3.0,1.0,13.0,-4.0,10-23,下影-0→下影+5,9.98,10.02,-0.19,2024-10,2024
000066.SZSE,中国长城,2024-11-01,三接四阳,—,阳,4.74,大阳3~5,5.1,10.5,16.2,24.4,4,上,5.5,7.9,断2~3天,3.0,1.0,13.0,-4.0,10-23,下影-0→下影+5→下影+10,4.66,-9.28,-9.28,2024-11,2024
000066.SZSE,中国长城,2024-11-08,二接三阳,—,阳,6.06,巨阳≥5,4.5,20.2,39.2,51.6,4,上,25.31,15.03,断2~3天,2.0,4.0,5.8,-10.0,11-01,下影-4→下影-1,3.3,3.94,3.94,2024-11,2024
000066.SZSE,中国长城,2026-05-07,二接三阳,—,阳,1.07,小阳0~3,5.7,10.2,15.2,16.3,4,上,5.62,3.33,断16~60天,36.0,1.0,14.8,-18.0,03-09,下影+5→一字+10,6.83,-3.71,-3.71,2026-05,2026
000068.SZSE,华控赛格,2024-01-26,二接三阳,—,阳,0.98,小阳0~3,0.0,6.7,11.6,13.1,4,上,7.96,4.46,断2~3天,2.0,2.0,0.0,-18.9,01-19,下影-3→一字+10,9.38,9.98,-1.09,2024-01,2024
000068.SZSE,华控赛格,2024-01-29,三接四阳,—,阳,0.98,小阳0~3,0.0,6.7,11.6,13.1,4,上,7.96,4.46,断2~3天,2.0,2.0,0.0,-18.9,01-19,下影-3→一字+10→下影+9,0.0,-10.07,-10.07,2024-01,2024
000069.SZSE,华侨城Ａ,2024-10-08,三接四阳,—,阳,4.78,大阳3~5,6.2,10.3,13.3,12.9,4,上,4.03,1.98,60日内无板,,,,,,下影+0→一字+10→一字+10,9.93,-9.97,-9.97,2024-10,2024
000070.SZSE,特发信息,2024-01-24,二接三阳,—,阳,0.28,小阳0~3,-0.7,-1.9,-4.8,-9.2,0,下,-3.69,-3.37,断16~60天,53.0,1.0,-14.0,-24.9,11-06,下影-0→下影-1,9.53,10.02,8.98,2024-01,2024
000070.SZSE,特发信息,2025-11-25,二接三阳,—,阳,3.26,大阳3~5,0.5,0.5,-2.3,-1.8,2,上,-1.73,-0.27,断16~60天,20.0,1.0,0.4,-11.9,10-23,实体-2→下影+5,5.22,10.04,14.15,2025-11,2025
000070.SZSE,特发信息,2025-11-26,三接四阳,—,阳,3.26,大阳3~5,0.5,0.5,-2.3,-1.8,2,上,-1.73,-0.27,断16~60天,20.0,1.0,0.4,-11.9,10-23,实体-2→下影+5→下影+5,7.91,3.74,3.74,2025-11,2025
000070.SZSE,特发信息,2026-02-12,二接三阳,—,阳,2.45,小阳0~3,6.3,15.1,19.3,19.6,4,上,9.22,2.96,断2~3天,3.0,1.0,19.2,-3.0,02-04,下影+6→一字+10,9.98,-10.0,-10.0,2026-02,2026
000099.SZSE,中信海直,2024-04-01,三接四阴,—,阴,-1.17,小阴-3~0,-6.3,-6.8,2.5,9.7,2,下,7.89,6.59,断8~15天,9.0,2.0,0.2,-9.2,03-13,下影-1→一字+10→一字+10,8.14,-2.43,-2.43,2024-04,2024
000099.SZSE,中信海直,2024-04-19,二接三阳,—,阳,0.84,小阳0~3,4.8,5.1,14.7,24.5,4,上,8.96,7.42,断1天,1.0,1.0,10.9,-4.7,04-15,实体-0→下影+8,3.75,-7.82,-7.82,2024-04,2024
000099.SZSE,中信海直,2024-07-31,二接三阳,—,阳,1.43,小阳0~3,0.8,-1.5,-3.7,-6.3,1,下,-3.04,-2.18,60日内无板,,,,,,下影-0→下影+4,0.78,0.35,0.35,2024-07,2024
000100.SZSE,TCL科技,2024-11-01,二接三阴,—,阴,-1.35,小阴-3~0,-0.0,2.7,2.4,7.0,4,上,1.33,3.99,60日内无板,,,,,,下影-1→下影+4,10.0,-12.18,-12.18,2024-11,2024
000151.SZSE,中成股份,2024-01-29,三接四阳,—,阳,0.84,小阳0~3,-4.1,-7.5,-10.6,-15.3,0,下,-4.95,-4.37,断16~60天,36.0,1.0,-16.2,-25.8,12-01,实体+1→下影+10→一字+10,1.17,-9.99,-9.99,2024-01,2024
000158.SZSE,常山北明,2024-10-10,三接四阴,—,阴,-2.91,小阴-3~0,1.2,13.3,32.4,45.9,4,上,26.21,15.38,断2~3天,2.0,1.0,9.2,-4.6,09-25,实体+2→一字+10→一字+10,10.03,0.74,0.74,2024-10,2024
000402.SZSE,金 融 街,2026-05-06,二接三阴,—,阴,-0.76,小阴-3~0,-1.8,-4.3,-2.9,-2.0,0,下,-2.32,0.92,断8~15天,11.0,2.0,-5.9,-15.7,04-13,一字+10→下影+8,0.0,-4.01,-4.01,2026-05,2026
000409.SZSE,云鼎科技,2023-12-13,二接三阳,—,阳,1.49,小阳0~3,1.4,1.7,0.9,2.8,4,上,-0.79,0.97,60日内无板,,,,,,下影+1→下影+8,7.87,4.13,4.13,2023-12,2023
000409.SZSE,云鼎科技,2023-12-14,三接四阳,—,阳,1.49,小阳0~3,1.4,1.7,0.9,2.8,4,上,-0.79,0.97,60日内无板,,,,,,下影+1→下影+8→下影+8,0.09,-14.26,-14.26,2023-12,2023
000409.SZSE,云鼎科技,2025-03-05,二接三阴,—,阴,-6.08,巨阴≤-5,-4.0,-3.9,-2.6,0.9,1,下,0.76,2.45,断16~60天,58.0,1.0,-2.7,-26.5,11-29,下影+1→实体+2,10.03,10.04,8.96,2025-03,2025
000417.SZSE,合百集团,2026-05-20,二接三阴,—,阴,-4.16,大阴-5~-3,-0.7,1.9,5.9,6.8,3,上,6.06,2.18,60日内无板,,,,,,一字+10→一字+10,9.12,-2.31,-2.31,2026-05,2026
000417.SZSE,合百集团,2026-05-21,三接四阴,—,阴,-4.16,大阴-5~-3,-0.7,1.9,5.9,6.8,3,上,6.06,2.18,60日内无板,,,,,,一字+10→一字+10→下影+9,9.97,-2.29,-1.24,2026-05,2026
000420.SZSE,吉林化纤,2025-05-16,二接三阴,—,阴,-2.1,小阴-3~0,-0.1,1.5,4.2,3.8,3,上,2.4,2.04,断8~15天,11.0,1.0,7.6,-8.7,04-23,下影+3→下影+3,3.77,1.61,-6.25,2025-05,2025
000421.SZSE,南京公用,2023-12-12,二接三阴,—,阴,-4.17,大阴-5~-3,-1.3,1.8,4.2,5.8,3,上,3.98,2.53,60日内无板,,,,,,实体+0→下影+9,7.18,9.27,9.27,2023-12,2023
000421.SZSE,南京公用,2023-12-13,三接四阴,—,阴,-4.17,大阴-5~-3,-1.3,1.8,4.2,5.8,3,上,3.98,2.53,60日内无板,,,,,,实体+0→下影+9→下影+7,1.83,4.86,4.86,2023-12,2023
000421.SZSE,南京公用,2024-07-18,二接三阴,—,阴,-4.67,大阴-5~-3,-0.4,2.1,3.3,2.3,3,上,2.61,0.08,断16~60天,49.0,1.0,1.0,-16.2,05-06,下影-1→下影+1,-0.53,-14.54,-14.54,2024-07,2024
000421.SZSE,南京公用,2024-07-31,二接三阴,—,阴,-2.19,小阴-3~0,-1.9,-5.3,0.6,3.3,2,下,3.67,3.01,断4~7天,7.0,2.0,-4.9,-19.2,07-17,实体+1→实体+2,2.52,-12.98,-12.98,2024-07,2024
000421.SZSE,南京公用,2025-01-15,三接四阴,—,阴,-6.36,巨阴≤-5,-5.6,-9.1,-15.3,-12.6,0,下,-6.79,-1.43,断16~60天,16.0,1.0,-20.2,-28.6,12-03,下影+3→一字+10→一字+10,9.95,-17.52,-17.52,2025-01,2025
000428.SZSE,华天酒店,2026-07-29,二接三阴,—,阴,-1.94,小阴-3~0,-0.5,-1.4,-1.5,-3.2,0,下,-0.48,-1.33,60日内无板,,,,,,下影+7→实体+2,10.08,-5.2,-5.2,2026-07,2026
000428.SZSE,华天酒店,2026-07-30,三接四阴,—,阴,-1.94,小阴-3~0,-0.5,-1.4,-1.5,-3.2,0,下,-0.48,-1.33,60日内无板,,,,,,下影+7→实体+2→下影+10,9.9,-5.18,-10.14,2026-07,2026
000503.SZSE,国新健康,2024-10-09,二接三阳,—,阳,6.93,巨阳≥5,7.9,13.2,18.8,21.8,4,上,7.54,5.07,断16~60天,46.0,1.0,26.2,-14.3,07-23,下影+6→下影+10,7.11,-11.33,-11.33,2024-10,2024
000504.SZSE,南华生物,2024-05-10,二接三阳,—,阳,1.65,小阳0~3,5.8,12.0,9.2,1.4,4,上,4.11,-3.76,断2~3天,2.0,1.0,11.8,-3.7,04-30,一字+10→一字+10,4.85,-13.68,-13.68,2024-05,2024
000505.SZSE,京粮控股,2026-08-19,二接三阴,—,阴,-0.71,小阴-3~0,-1.8,-1.9,0.9,2.3,2,下,1.94,1.33,60日内无板,,,,,,实体+1→下影+1,2.06,0.27,0.27,2026-08,2026
000506.SZSE,招金黄金,2024-04-08,二接三阴,—,阴,0.49,小阳0~3,2.0,2.9,4.3,11.4,4,上,2.52,5.11,断4~7天,7.0,1.0,7.8,-10.0,03-21,下影-1→下影+3,5.79,-4.54,-4.54,2024-04,2024
000506.SZSE,招金黄金,2026-01-21,二接三阴,—,阴,-1.89,小阴-3~0,1.2,4.6,6.0,9.0,4,上,3.92,2.24,60日内无板,,,,,,实体+2→下影+3,2.5,0.88,0.88,2026-01,2026
000506.SZSE,招金黄金,2026-01-28,二接三阴,—,阴,-0.1,小阴-3~0,6.0,19.1,31.1,35.4,4,上,17.85,8.47,断2~3天,2.0,3.0,10.9,-5.8,01-21,实体+3→下影-0,6.49,9.99,-1.0,2026-01,2026
000506.SZSE,招金黄金,2026-01-29,三接四阴,—,阴,-0.1,小阴-3~0,6.0,19.1,31.1,35.4,4,上,17.85,8.47,断2~3天,2.0,3.0,10.9,-5.8,01-21,实体+3→下影-0→下影+6,9.99,-9.99,-9.99,2026-01,2026
000509.SZSE,华塑控股,2024-08-13,三接四阳,—,阳,-0.41,小阴-3~0,0.0,1.2,1.3,-0.4,3,上,1.74,-0.4,60日内无板,,,,,,下影-0→下影+10→一字+10,8.39,-8.47,-8.47,2024-08,2024
000509.SZSE,华塑控股,2025-10-23,二接三阳,—,阳,2.61,小阳0~3,0.2,-1.6,-3.4,-3.0,1,下,-3.65,-0.49,断8~15天,14.0,1.0,-0.9,-13.2,09-22,下影+1→下影+2,2.11,-14.59,-14.59,2025-10,2025
000509.SZSE,华塑控股,2026-05-27,二接三阳,—,阳,3.16,大阳3~5,0.8,1.0,4.4,5.1,4,上,2.02,1.58,断8~15天,11.0,1.0,9.7,-6.9,05-07,实体+1→实体+1,0.0,9.98,-0.96,2026-05,2026
000509.SZSE,华塑控股,2026-05-28,三接四阳,—,阳,3.16,大阳3~5,0.8,1.0,4.4,5.1,4,上,2.02,1.58,断8~15天,11.0,1.0,9.7,-6.9,05-07,实体+1→实体+1→下影+0,9.79,-9.95,-9.95,2026-05,2026
000510.SZSE,新金路,2025-04-15,二接三阳,—,阳,6.98,巨阳≥5,1.9,-2.3,-5.2,-3.5,1,下,-4.46,-1.04,60日内无板,,,,,,下影+10→一字+10,9.94,-5.7,-5.7,2025-04,2025
000510.SZSE,新金路,2025-04-16,三接四阳,A1,阳,6.98,巨阳≥5,1.9,-2.3,-5.2,-3.5,1,下,-4.46,-1.04,60日内无板,,,,,,下影+10→一字+10→下影+10,6.09,-5.71,-11.96,2025-04,2025
000510.SZSE,新金路,2025-11-27,二接三阳,—,阳,0.31,小阳0~3,-5.8,-5.6,0.7,5.0,2,下,4.29,5.23,60日内无板,,,,,,实体+4→实体+10,9.97,5.65,5.65,2025-11,2025
000510.SZSE,新金路,2026-05-26,二接三阴,—,阴,1.34,小阳0~3,-1.0,-9.4,-7.4,-7.9,0,下,-3.1,-2.01,断16~60天,54.0,2.0,-33.5,-43.4,03-02,下影+2→实体+5,0.73,-0.39,-0.39,2026-05,2026
000510.SZSE,新金路,2026-06-15,二接三阴,—,阴,-4.7,大阴-5~-3,-8.3,-10.5,-2.9,-0.5,0,下,3.65,1.32,断4~7天,7.0,1.0,-3.9,-14.7,06-01,下影-0→实体+3,9.96,7.7,7.7,2026-06,2026
000514.SZSE,渝 开 发,2024-05-23,二接三阴,B1,阴,-5.75,巨阴≤-5,2.5,6.6,12.4,13.6,4,上,5.68,4.32,60日内无板,,,,,,下影+1→下影+6,-7.44,-9.94,-9.94,2024-05,2024
000514.SZSE,渝 开 发,2025-07-09,二接三阴,—,阴,0.65,小阳0~3,1.8,3.4,3.6,3.9,4,上,1.34,0.49,断16~60天,47.0,1.0,12.7,-8.8,04-24,实体+2→下影+10,0.0,9.94,13.46,2025-07,2025
000514.SZSE,渝 开 发,2025-07-10,三接四阴,—,阴,0.65,小阳0~3,1.8,3.4,3.6,3.9,4,上,1.34,0.49,断16~60天,47.0,1.0,12.7,-8.8,04-24,实体+2→下影+10→下影+0,2.24,3.21,3.21,2025-07,2025
000518.SZSE,四环生物,2026-05-22,二接三阴,—,阴,-4.02,大阴-5~-3,-0.3,1.3,3.0,3.8,3,上,3.48,0.79,60日内无板,,,,,,下影+2→下影+3,8.53,9.93,-0.97,2026-05,2026
000518.SZSE,四环生物,2026-05-25,三接四阴,—,阴,-4.02,大阴-5~-3,-0.3,1.3,3.0,3.8,3,上,3.48,0.79,60日内无板,,,,,,下影+2→下影+3→下影+9,-6.3,-9.91,-9.91,2026-05,2026
000520.SZSE,凤凰航运,2024-10-30,三接四阳,—,阳,0.51,小阳0~3,7.8,19.2,35.5,49.2,4,上,17.03,14.7,断2~3天,2.0,1.0,14.7,-5.5,10-22,实体+6→下影+8→一字+10,0.0,9.95,-1.03,2024-10,2024
000520.SZSE,凤凰航运,2025-05-15,二接三阳,—,阳,2.66,小阳0~3,2.5,5.9,5.5,6.3,4,上,2.2,2.01,断16~60天,18.0,1.0,11.1,-12.0,04-11,下影+2→下影+0,5.18,-14.94,-14.94,2025-05,2025
000526.SZSE,学大教育,2023-05-30,二接三阳,—,阳,1.58,小阳0~3,0.6,-3.2,7.6,16.9,3,下,3.29,8.84,断8~15天,8.0,1.0,-4.8,-16.2,05-15,下影-1→下影+8,-1.18,-11.29,-11.29,2023-05,2023
000530.SZSE,冰山冷热,2024-11-08,二接三阳,—,阳,0.64,小阳0~3,2.1,4.0,8.3,12.2,4,上,5.54,2.78,60日内无板,,,,,,下影+1→下影+9,10.09,-5.21,-5.21,2024-11,2024
000530.SZSE,冰山冷热,2025-12-03,二接三阳,—,阳,0.65,小阳0~3,0.1,-3.7,-8.6,-8.7,1,下,-6.69,-2.21,60日内无板,,,,,,下影+0→下影+3,0.67,-10.49,-10.49,2025-12,2025
000532.SZSE,华金资本,2025-02-06,二接三阳,—,阳,5.81,巨阳≥5,3.9,4.5,4.4,-2.1,3,上,1.99,-2.35,60日内无板,,,,,,一字+10→一字+10,10.01,4.64,4.64,2025-02,2025
000533.SZSE,顺钠股份,2025-01-09,二接三阴,—,阴,-7.77,巨阴≤-5,4.6,24.2,35.0,39.2,4,上,22.29,10.09,断1天,1.0,6.0,1.5,-9.8,01-03,实体-10→下影-1,3.41,-23.17,-23.17,2025-01,2025
000533.SZSE,顺钠股份,2025-11-07,二接三阳,—,阳,0.42,小阳0~3,2.2,2.8,2.0,2.9,4,上,-0.68,1.16,60日内无板,,,,,,下影-1→下影+7,-1.26,3.54,3.23,2025-11,2025
000533.SZSE,顺钠股份,2026-02-04,二接三阴,—,阴,-2.78,小阴-3~0,-5.9,-9.1,-8.3,-6.7,0,下,-2.01,0.79,断16~60天,33.0,1.0,5.7,-6.4,12-12,一字+10→下影+3,5.52,-3.32,-3.32,2026-02,2026
000533.SZSE,顺钠股份,2026-03-09,三接四阴,A2,阴,-1.84,小阴-3~0,-3.0,-2.9,4.4,8.7,2,下,2.52,5.0,断4~7天,7.0,1.0,2.4,-10.3,02-12,实体-1→一字+10→一字+10,5.91,7.88,7.88,2026-03,2026
000533.SZSE,顺钠股份,2026-07-27,二接三阳,—,阳,-0.75,小阴-3~0,-1.1,-4.7,-10.5,-16.4,0,下,-6.29,-6.65,断16~60天,36.0,1.0,-31.6,-42.8,06-01,实体+0→一字+10,5.65,9.99,15.41,2026-07,2026
000533.SZSE,顺钠股份,2026-07-28,三接四阳,—,阳,-0.75,小阴-3~0,-1.1,-4.7,-10.5,-16.4,0,下,-6.29,-6.65,断16~60天,36.0,1.0,-31.6,-42.8,06-01,实体+0→一字+10→实体+6,9.99,4.93,4.93,2026-07,2026
000536.SZSE,华映科技,2023-09-06,二接三阴,—,阴,-4.81,大阴-5~-3,2.9,5.9,5.0,3.7,4,上,1.36,-0.95,断1天,1.0,1.0,4.8,-6.2,08-31,下影-1→下影+0,2.5,9.85,10.23,2023-09,2023
000536.SZSE,华映科技,2023-09-07,三接四阴,—,阴,-4.81,大阴-5~-3,2.9,5.9,5.0,3.7,4,上,1.36,-0.95,断1天,1.0,1.0,4.8,-6.2,08-31,下影-1→下影+0→实体+3,9.09,10.0,0.34,2023-09,2023
000536.SZSE,华映科技,2023-09-14,二接三阴,—,阴,-8.78,巨阴≤-5,3.6,21.1,37.3,41.0,4,上,26.22,11.73,断1天,1.0,5.0,0.3,-9.7,09-08,下影-5→下影-0,0.0,-9.04,-9.04,2023-09,2023
000536.SZSE,华映科技,2023-09-28,二接三阳,—,阳,-0.55,小阴-3~0,-1.8,1.0,20.5,38.2,3,上,13.51,18.31,断4~7天,4.0,1.0,5.9,-8.3,09-19,下影-4→下影+3,6.67,10.02,5.01,2023-09,2023
000536.SZSE,华映科技,2023-10-09,三接四阳,—,阳,-0.55,小阴-3~0,-1.8,1.0,20.5,38.2,3,上,13.51,18.31,断4~7天,4.0,1.0,5.9,-8.3,09-19,下影-4→下影+3→下影+7,4.38,-4.55,-4.55,2023-10,2023
000536.SZSE,华映科技,2024-10-09,二接三阳,—,阳,3.07,大阳3~5,4.7,-2.3,10.8,18.2,3,下,6.26,7.62,断8~15天,8.0,5.0,-8.5,-26.4,09-13,下影+3→下影+10,2.19,-9.95,-9.95,2024-10,2024
000536.SZSE,华映科技,2024-10-29,二接三阴,—,阴,-2.82,小阴-3~0,-4.1,-2.1,2.3,8.2,2,下,0.86,2.33,断8~15天,11.0,3.0,-6.0,-20.4,10-09,实体+1→下影+6,10.1,10.04,75.98,2024-10,2024
000537.SZSE,绿发电力,2026-03-12,二接三阳,—,阳,1.18,小阳0~3,2.8,4.3,7.1,7.8,4,上,3.04,1.7,60日内无板,,,,,,一字+10→下影+7,9.06,-0.96,-0.96,2026-03,2026
000537.SZSE,绿发电力,2026-03-13,三接四阳,—,阳,1.18,小阳0~3,2.8,4.3,7.1,7.8,4,上,3.04,1.7,60日内无板,,,,,,一字+10→下影+7→下影+9,9.99,-18.39,-18.39,2026-03,2026
000539.SZSE,粤电力Ａ,2026-05-29,二接三阴,—,阴,-1.33,小阴-3~0,1.5,-2.8,-4.0,0.9,2,下,-4.57,0.9,断16~60天,22.0,1.0,14.9,-2.7,04-21,下影-2→下影+8,8.67,10.02,2.82,2026-05,2026
000539.SZSE,粤电力Ａ,2026-06-01,三接四阴,—,阴,-1.33,小阴-3~0,1.5,-2.8,-4.0,0.9,2,下,-4.57,0.9,断16~60天,22.0,1.0,14.9,-2.7,04-21,下影-2→下影+8→下影+9,10.02,-6.55,-6.55,2026-06,2026
000546.SZSE,金圆股份,2025-11-19,二接三阴,—,阴,-2.89,小阴-3~0,1.4,4.4,8.1,9.7,4,上,4.89,2.81,60日内无板,,,,,,下影+2→下影+10,8.54,-5.26,-5.26,2025-11,2025
