代码,名称,买入日,四组,方案点,阴阳,地基涨跌%,地基档,距MA5%,距MA10%,距MA20%,距MA30%,站上均线数,MA10位置,MA10斜率%,MA20斜率%,反包结构,断板天数,前板高度,反包收复%,断板回撤%,前板日,链,买入开盘%,次日收%,持有到断板%,月,年
002265.SZSE,建设工业,2024-12-04,二接三阳,—,阳,4.02,大阳3~5,2.5,-0.3,-2.8,-0.6,1,下,-4.35,-0.19,断16~60天,49.0,1.0,36.2,-6.3,09-12,实体+0→一字+10,10.01,10.03,27.24,2024-12,2024
002265.SZSE,建设工业,2024-12-05,三接四阳,A1,阳,4.02,大阳3~5,2.5,-0.3,-2.8,-0.6,1,下,-4.35,-0.19,断16~60天,49.0,1.0,36.2,-6.3,09-12,实体+0→一字+10→下影+10,5.54,10.01,15.65,2024-12,2024
002265.SZSE,建设工业,2024-12-12,二接三阳,—,阳,5.12,巨阳≥5,15.8,37.7,49.3,54.4,4,上,21.76,9.57,断1天,1.0,5.0,15.6,-8.8,12-06,实体+0→下影+5,9.98,10.01,-0.97,2024-12,2024
002265.SZSE,建设工业,2024-12-13,三接四阳,—,阳,5.12,巨阳≥5,15.8,37.7,49.3,54.4,4,上,21.76,9.57,断1天,1.0,5.0,15.6,-8.8,12-06,实体+0→下影+5→下影+10,6.74,-9.99,-9.99,2024-12,2024
002265.SZSE,建设工业,2025-07-21,二接三阳,—,阳,-0.93,小阴-3~0,0.2,0.8,4.2,11.1,4,上,-1.75,6.11,断8~15天,14.0,2.0,6.5,-7.8,06-26,实体-0→下影+10,0.15,6.84,6.84,2025-07,2025
002266.SZSE,浙富控股,2025-07-23,二接三阳,—,阳,3.4,大阳3~5,2.3,3.4,5.8,6.4,4,上,2.56,1.61,60日内无板,,,,,,实体+7→下影+8,10.1,-4.03,-4.03,2025-07,2025
002266.SZSE,浙富控股,2025-07-24,三接四阳,—,阳,3.4,大阳3~5,2.3,3.4,5.8,6.4,4,上,2.56,1.61,60日内无板,,,,,,实体+7→下影+8→下影+10,10.07,-18.7,-18.7,2025-07,2025
002268.SZSE,电科网安,2024-02-08,二接三阴,—,阴,-8.62,巨阴≤-5,-10.1,-15.1,-19.3,-24.3,0,下,-5.79,-6.5,60日内无板,,,,,,下影-0→下影+1,3.98,-2.48,-2.48,2024-02,2024
002269.SZSE,美邦服饰,2024-12-03,二接三阳,—,阳,4.55,大阳3~5,4.2,4.5,-0.5,2.9,3,上,-3.77,0.43,断16~60天,17.0,1.0,-1.5,-18.5,11-05,下影-1→下影+4,4.95,-9.84,-9.84,2024-12,2024
002269.SZSE,美邦服饰,2025-09-05,二接三阳,—,阳,0.92,小阳0~3,6.3,7.3,10.6,11.6,4,上,3.24,1.98,断16~60天,39.0,1.0,15.3,-11.0,07-09,下影+0→下影+10,-1.89,-8.22,-8.22,2025-09,2025
