代码,买入日,方案点,四组,年,封住,缩量强趋势,E0,E1,E2,E3,E4,E5,E6
600362.SSE,2025-10-10,—,二接三阳,2025,False,False,-3.586399627387049,-9.711224965067522,-3.586399627387049,-1.956217978574748,-9.711224965067522,-3.586399627387049,-10.153702841173729
600363.SSE,2024-11-01,—,三接四阴,2024,False,False,8.17120622568095,-0.6809338521400754,-0.6809338521400754,-9.70817120622568,-0.6809338521400754,8.17120622568095,4.8443579766537015
600366.SSE,2025-06-13,—,二接三阳,2025,False,False,-0.257953568357705,-8.77042132416166,-0.257953568357705,-4.127257093723136,-8.77042132416166,-0.257953568357705,1.5477214101461634
600367.SSE,2026-06-03,—,二接三阴,2026,True,True,9.971910112359538,5.89887640449438,9.971910112359538,9.971910112359538,9.971910112359538,15.87078651685394,15.87078651685394
600369.SSE,2023-08-01,—,二接三阴,2023,False,False,-9.404990403071023,-6.717850287907867,-9.404990403071023,-6.142034548944341,-6.717850287907867,-9.404990403071023,-6.525911708253352
600371.SSE,2025-04-09,—,二接三阳,2025,True,False,4.2735042735042805,-5.128205128205121,4.2735042735042805,4.2735042735042805,-5.128205128205121,-6.153846153846143,-6.153846153846143
600371.SSE,2026-08-27,—,二接三阳,2026,True,True,37.464251668255486,10.0095328884652,10.0095328884652,37.464251668255486,37.464251668255486,24.690181124880837,24.690181124880837
600375.SSE,2024-02-20,—,二接三阴,2024,False,False,38.74345549738221,-4.973821989528792,5.235602094240832,-4.450261780104714,-4.973821989528792,38.74345549738221,52.617801047120416
600375.SSE,2024-02-23,—,二接三阴,2024,True,False,9.053497942386812,0.0,10.082304526748963,9.053497942386812,9.053497942386812,18.518518518518512,19.958847736625508
600375.SSE,2024-02-26,—,三接四阴,2024,True,False,-0.9345794392523366,0.0,10.093457943925245,-0.9345794392523366,-0.9345794392523366,7.663551401869162,8.971962616822449
600376.SSE,2024-09-30,—,二接三阳,2024,True,False,-3.92749244712991,8.761329305135956,-3.92749244712991,-3.92749244712991,-3.92749244712991,-13.595166163142004,-13.595166163142004
600376.SSE,2025-09-05,—,二接三阴,2025,True,False,42.73504273504274,-3.988603988603978,9.971509971509974,42.73504273504274,-3.988603988603978,106.83760683760686,56.98005698005699
600376.SSE,2025-09-08,—,三接四阴,2025,True,False,29.792746113989633,6.994818652849744,10.103626943005196,29.792746113989633,29.792746113989633,88.08290155440415,42.7461139896373
600376.SSE,2025-09-16,—,二接三阳,2025,True,True,8.845577211394296,2.8485757121439415,10.04497751124438,8.845577211394296,8.845577211394296,14.842578710644672,19.790104947526245
600376.SSE,2025-09-17,—,三接四阳,2025,True,False,-1.0899182561307952,5.585831062670299,9.945504087193457,-1.0899182561307952,-1.0899182561307952,4.3596730245231585,8.855585831062672
600378.SSE,2024-02-08,—,二接三阳,2024,False,False,-6.214856466410179,-3.2258064516128893,-6.214856466410179,-0.5918910920390541,-3.2258064516128893,-6.214856466410179,-5.652559928973067
600378.SSE,2026-07-01,—,二接三阴,2026,False,False,-0.904486251808978,-7.368547998070429,-0.904486251808978,-2.315484804630974,-7.368547998070429,-0.904486251808978,-8.333333333333325
600379.SSE,2026-04-30,—,二接三阴,2026,True,False,6.376638855780703,8.760429082240751,10.011918951132293,6.376638855780703,6.376638855780703,-0.17878426698451078,-0.17878426698451078
600379.SSE,2026-05-06,—,三接四阴,2026,True,True,-3.304442036836397,10.021668472372692,-3.304442036836397,-3.304442036836397,-3.304442036836397,-9.263271939328277,-9.263271939328277
600382.SSE,2024-12-03,—,二接三阳,2024,True,False,-1.936619718309851,10.035211267605648,-1.936619718309851,-1.936619718309851,-1.936619718309851,-10.2112676056338,-10.2112676056338
600382.SSE,2024-12-04,—,三接四阳,2024,False,False,-18.400000000000006,-17.12,-18.400000000000006,-10.88,-17.12,-18.400000000000006,-20.799999999999997
600383.SSE,2024-09-30,—,二接三阳,2024,True,False,3.8391224862888373,10.05484460694699,3.8391224862888373,3.8391224862888373,3.8391224862888373,-6.58135283363801,-6.58135283363801
600383.SSE,2024-10-08,—,三接四阳,2024,False,False,-15.116279069767435,-11.960132890365449,-15.116279069767435,-5.647840531561455,-11.960132890365449,-15.116279069767435,-18.43853820598006
600386.SSE,2024-07-31,—,二接三阳,2024,True,False,10.304449648711955,7.259953161592514,10.070257611241228,10.304449648711955,10.304449648711955,-0.7025761124121677,-0.7025761124121677
